measured_sweep,plaquette_mean,plaquette_square_mean,ward_mean,acceptance
1,0.6112621757919791,0.46341957428857466,-1.925461782505099,0.515625
2,0.6235917438420356,0.45796841190437215,-2.3097077134478985,0.625
3,0.6434954265534548,0.4882131501079132,-3.12132845218173,0.546875
4,0.6590446214225724,0.48969241192520235,-1.3351781635395013,0.734375
5,0.6309935027755939,0.4738248832708784,0.4161595268858219,0.5
6,0.6248365088830955,0.45248629348948927,4.447608803695019,0.484375
7,0.6032253674643208,0.43968863555988696,4.077435994321098,0.59375
8,0.6201262341770389,0.45677557603920677,4.512914912374624,0.5625
9,0.6314237274759651,0.4716265137405998,1.8131224230283702,0.515625
10,0.6247643116154217,0.47775036383934416,2.6238881611154485,0.5
11,0.6565730961948545,0.5056399694202875,-1.54930308024772,0.515625
12,0.6399136513933666,0.4898338282934965,-1.6479399901311378,0.578125
13,0.6539814206801704,0.5063210139545425,-4.310369665631376,0.53125
14,0.673161358438215,0.505877802990314,-7.0840880483872395,0.5625
15,0.6578869611936041,0.48053720228684954,-2.295464589532497,0.484375
16,0.6511336359904298,0.4860480350235963,-1.374869304631218,0.515625
17,0.605515652279525,0.45026462246812216,3.017828734047468,0.5
18,0.6102545002289387,0.43768965460665027,0.5338074754006359,0.5625
19,0.5950945231279702,0.4358768726957094,1.7911572859706417,0.53125
20,0.6075825138283318,0.449703085229622,2.7901099054759397,0.625
21,0.624419513945896,0.4587137834421162,5.323433224040451,0.578125
22,0.652480789869405,0.5002322667933042,0.8510686391535037,0.609375
23,0.6334394787680292,0.4870248078419454,1.3658686380044145,0.453125
24,0.6252104383603689,0.48235203300693613,0.4227083800779643,0.515625
25,0.6061960296127011,0.4662782040489029,2.2669423300520353,0.484375
26,0.6105663887579978,0.46537103042466116,1.5233646786711474,0.5625
27,0.6685706205762423,0.5209732352819357,-4.474401966510164,0.515625
28,0.6822163551426973,0.5269034142616847,-5.052035294713074,0.53125
29,0.6792612356916771,0.5244162072448446,-5.743906360912599,0.5625
30,0.6583592888362734,0.5023830871636304,-3.3371721208638934,0.546875
31,0.6261825834943172,0.4716155732875582,-0.42864224168269405,0.640625
32,0.5918606298005343,0.4264249167301379,2.1271426464517305,0.6875
33,0.5855177964791295,0.44053925308984027,2.1366419772470664,0.609375
34,0.6073236037252182,0.45988736069664,-0.7907274391407638,0.625
35,0.6314778837523293,0.46282562087938334,-0.42667496870949945,0.515625
36,0.6395914830640997,0.47964669970283547,-2.117520203452932,0.515625
37,0.6508279524619501,0.48670582995263056,-1.7314696536779985,0.6875
38,0.6136290656269943,0.4582921606086079,1.8169337538246424,0.578125
39,0.6057965419342525,0.4604578857182215,0.9752595260032213,0.515625
40,0.6155693134715688,0.458741939305838,1.6089549772011802,0.546875
41,0.6276021120704794,0.47272671598962673,-0.22118848369229754,0.59375
42,0.6477339542297958,0.49687913701855546,-2.846123859607166,0.546875
43,0.6382052220699613,0.4906121317354257,-0.6903377902837269,0.484375
44,0.634461815960092,0.4947841878237833,0.536924682515624,0.46875
45,0.6418213468717012,0.5062958307956683,-0.5585846222169255,0.609375
46,0.643284891190078,0.5181497539738157,-4.8336467232450975,0.484375
47,0.6366315667198381,0.4955206189720884,-3.404502177626789,0.640625
48,0.6152541383944027,0.47494690380616483,-4.214332085017344,0.59375
49,0.5926810356171482,0.4436726192230516,-0.8545842249959791,0.484375
50,0.5774981547504174,0.43108414420872254,0.7242569335796087,0.5625
51,0.557048993488478,0.4002777138569866,7.383838247285461,0.703125
52,0.5880785457803205,0.4260083555246272,2.549068892734614,0.640625
53,0.6219656675303549,0.4730383727009853,0.7957031894306602,0.546875
54,0.6512660059686612,0.48570416527978577,-0.35500929630208816,0.59375
55,0.6563739581878697,0.5031406866828648,-2.322410691108309,0.546875
