warmup_sweep,plaquette_mean,acceptance
1,0.1428700591643001,0.78125
17,0.47211474226466627,0.59375
33,0.41906615109507683,0.65625
49,0.47367934453636873,0.578125
65,0.571784200290158,0.65625
81,0.6075207966532387,0.515625
97,0.5336847447902021,0.625
113,0.6328151715429788,0.71875
129,0.638066444822926,0.578125
145,0.6646089904819226,0.578125
161,0.5939264343374872,0.46875
177,0.6455869539057119,0.5
193,0.6587120441543277,0.578125
209,0.6368647607502483,0.5625
225,0.6752582418925077,0.515625
241,0.6408376865631206,0.578125
257,0.5881403933794941,0.609375
273,0.6920327597883839,0.65625
289,0.5138721672623462,0.53125
305,0.598484562159351,0.59375
321,0.6639107963890164,0.375
337,0.6476643511941195,0.53125
353,0.6332266536917026,0.453125
369,0.624987106420763,0.640625
385,0.6740977612484697,0.578125
401,0.6257811460860442,0.578125
417,0.58638410077773,0.5625
433,0.5718274524147405,0.59375
449,0.6330526242030197,0.609375
465,0.6579647766444202,0.6875
481,0.5510209372231568,0.640625
497,0.7006994679170585,0.640625
512,0.5682526447094466,0.59375
