sample,scalar_trace
1,0.5652375815550493
2,-0.05488496334880935
3,-0.04298058041886097
4,0.5994383089697601
5,-0.5931673770183096
6,0.07761544197151427
7,0.4818835746238006
8,-0.5472856226897563
9,0.0809978499005642
10,-0.40113422883287697
11,-0.01980122490313334
12,0.6890331664054632
13,-0.32738872000484237
14,0.010612632089600638
15,-0.9124827994681669
16,-0.13524911008295964
17,-0.770719046977735
18,0.5157237619758371
19,-0.5133967670475774
20,-0.6410073310435181
21,0.4655255957343911
22,-0.9330828710631524
23,-0.8513601031078297
24,-0.32838680760548006
25,0.3899117997781961
26,0.23988112158121971
27,-0.0652318705054172
28,0.7997244448917548
29,0.6813787045830276
30,0.03428203657544674
31,-0.679236987581547
32,0.12367295971834022
33,-0.07950985606197829
34,-0.18357069928265485
35,-0.09015308989321578
36,0.5484530377087373
37,0.2947759880309699
38,-0.35048551912627846
39,-0.6108765419100394
40,0.25485789692817995
41,-0.335729338274026
42,-0.3337506078144747
43,-0.4885848163323594
44,-0.9717394225388927
45,-0.0008956619119516134
46,0.24514626827125754
47,-0.045672517571862185
48,-0.22883117317623028
49,-0.40906892491809244
50,-0.08904053262895535
51,-0.7647742568428811
52,0.47592722116116654
53,0.6508885308945028
54,-0.0431652656557403
55,-0.17994284829902196
56,0.16762089967961497
57,0.7266457719043672
58,-0.9156426061352806
59,-0.53835149046032
60,0.058930683653122644
61,0.181395726875014
62,-0.10668385038272553
63,0.14922591587888712
64,0.4418207375276999
65,-0.38373909538699963
66,-0.1723023421119362
67,0.09530894943840355
68,0.8261765743423879
69,0.345071759207072
70,0.5690395783184035
71,-0.6082758653994187
72,0.569511682825733
73,-0.7247931808128922
74,0.9143813298662783
75,-0.4531329708374114
76,0.1955824646248248
77,-0.3158503543102867
78,-0.7834044051625274
79,0.9637607330255741
80,-0.7204551558572223
81,0.7073061782001939
82,0.11959355041002208
83,-0.5351434167038581
84,0.007988066174531662
85,-0.7975462166135022
86,0.6461625674532387
87,0.5288302509836152
88,-0.8806669085165377
89,-0.8437147203180306
90,0.18669459143103992
91,-0.8293323700223704
92,-0.27519138419130834
93,-0.5762641851769263
94,0.23925092836714282
95,-0.22751648982154307
96,-0.6043664058357581
97,0.19571604995472558
98,-0.1592732668113587
99,-0.5164808643042291
100,0.5318425632893912
101,0.014177885952403973
102,-0.6758682164763194
103,-0.27902867977602713
104,-0.3943807600553768
105,0.6785654349456579
106,-0.2323584024792163
107,0.14826645184989684
108,-0.7539176890613257
109,0.5263621807294745
110,0.27056624661990564
111,0.32224533357091173
112,0.9035917322804838
113,0.47043045695868774
114,-0.25482892875589214
115,0.7733561883679663
116,-0.873856055605597
117,-0.29218388427828257
118,0.3039908980697283
119,-0.419499943081152
120,0.8322557515305995
121,0.3401214541083255
122,-0.6117591404368308
123,-0.23688229667276045
124,0.08849513420307852
125,-0.6232593082687784
126,-0.8110492456347957
127,-0.5258107120887168
128,-0.3572234800988876
129,-0.21047812478160355
130,-0.18639532783253357
131,-0.0002872498762960676
132,0.5381350243715982
133,-0.6213219741439172
134,-0.9258407522950937
135,0.4034426444166023
136,0.7572143259744563
137,0.02117315968478677
138,0.5002337080821461
139,0.8152743922800734
140,-0.49120316613898374
141,-0.4794408718828359
142,0.19688652445327204
143,0.9532122955362128
144,0.5432005831156471
145,0.351156804414693
146,-0.3539180349233275
147,0.7265986035212538
148,0.5645326897480856
149,0.355969270682238
150,0.9763507970410504
151,-0.7748328615812313
152,-0.42077832124796927
153,0.11552045138670998
154,0.5949938984318547
155,0.8703132885330951
156,0.23523145067684723
157,0.7442032144903254
158,0.5891106240769319
159,-0.449605417324348
160,-0.22927314433857546
161,-0.30203970095078336
162,-0.39633448104388774
163,0.4777431577347784
164,0.2001461069505806
165,0.8236524155513408
166,0.054797563759021006
167,-0.39282590092920716
168,0.5685656406402151
169,-0.9114697250587648
170,0.704377558208084
171,0.049900465699201646
172,-0.7593884684761804
173,0.033707051495161046
174,-0.08664291034944942
175,-0.4584595037305882
176,0.6808061545247474
177,0.3052640176512531
178,0.10009562929738483
179,-0.1435556557973905
180,0.23901016107838904
181,0.10260485317323242
182,0.14009882944427762
183,0.026544223655409125
184,-0.36117206316376027
185,0.5409575324514678
186,0.14660209185072431
187,0.693477428839989
