warmup_sweep,plaquette_mean,acceptance
1,0.9399326814022692,0.515625
17,0.7034571376763609,0.546875
33,0.5837009371774285,0.5625
49,0.6630584170993266,0.578125
65,0.6516486853970571,0.671875
81,0.6431413427931437,0.578125
97,0.6533728766721206,0.5625
113,0.644825440873425,0.546875
129,0.5980836932484593,0.59375
145,0.523086557002895,0.546875
161,0.5569346795355076,0.640625
177,0.6556555562289033,0.609375
193,0.586990493843865,0.5
209,0.6924982853018177,0.53125
225,0.6594214204916372,0.609375
241,0.679401678653381,0.515625
257,0.6927990673689427,0.546875
273,0.6153610607042088,0.625
289,0.5653073639492922,0.65625
305,0.5186683833139644,0.5625
321,0.5474674819367148,0.578125
337,0.612779677510196,0.484375
353,0.6485045199891152,0.390625
369,0.7040416281168076,0.53125
385,0.7017910841037031,0.515625
401,0.6240113427564683,0.609375
417,0.5752482729353263,0.5625
433,0.64045205739552,0.59375
449,0.7337820307762257,0.375
465,0.51110528042976,0.484375
481,0.6124466324047293,0.546875
497,0.49490046185704206,0.5625
512,0.5848475155752625,0.65625
