measured_sweep,plaquette_mean,plaquette_square_mean,ward_mean,acceptance
1,-0.005883174046176173,0.22844567120006162,0.0,1.0
2,-0.09288998944866377,0.2649369830395715,0.0,1.0
3,-0.026912705619360072,0.22208459859921004,0.0,1.0
4,0.02587885317365195,0.22801854092806592,0.0,1.0
5,0.03228097601341128,0.22895877660132014,0.0,1.0
6,0.11853360435426634,0.26324704104594787,0.0,1.0
7,0.06577241729521459,0.24288857380449622,0.0,1.0
8,-0.04588252845349896,0.219294476964619,0.0,1.0
9,-0.0222916941240367,0.26820271370874765,0.0,1.0
10,0.03176319853058623,0.26007615681352675,0.0,1.0
11,0.0120812196540208,0.25814623222236693,0.0,1.0
12,-0.04091826878972329,0.22959707514756045,0.0,1.0
13,0.0713648010421903,0.24756283604725784,0.0,1.0
14,-0.052656905670895066,0.26432381930968135,0.0,1.0
15,0.004078785822448802,0.23867921435230197,0.0,1.0
16,-0.0671036386007942,0.267557670871559,0.0,1.0
17,0.018356156286297703,0.24175121029594523,0.0,1.0
18,-0.018620477462307383,0.23079785458901633,0.0,1.0
19,0.005101417684047427,0.21419240535124687,0.0,1.0
20,-0.012211364691354086,0.23407272526085995,0.0,1.0
21,0.042835817211070625,0.2270380277863524,0.0,1.0
22,0.021408860817987957,0.23335060279215805,0.0,1.0
23,0.024923467680557348,0.25614499404507846,0.0,1.0
24,0.025430752772232987,0.23300272946524644,0.0,1.0
25,-0.010440292209789087,0.2672155951552744,0.0,1.0
26,0.03201499218558181,0.22542737119930548,0.0,1.0
27,0.06191219903074441,0.22970267588892224,0.0,1.0
28,0.05462173233643619,0.2653646410150259,0.0,1.0
29,0.015428613562341884,0.30039885961450985,0.0,1.0
30,-0.027106006858582884,0.2635755218694958,0.0,1.0
31,-0.02653009142247581,0.22509631536356012,0.0,1.0
32,0.03923212105344744,0.27983832904050754,0.0,1.0
33,0.0818797755948009,0.23837503467857593,0.0,1.0
34,0.07910531803746601,0.2544292650804991,0.0,1.0
35,0.06806954616494185,0.25128776866319136,0.0,1.0
36,0.08867679787649897,0.2726483250417255,0.0,1.0
37,0.01056037104856447,0.21513051591729027,0.0,1.0
38,-0.09835278801923182,0.24918487736873873,0.0,1.0
39,0.07353538780899788,0.24928104496894155,0.0,1.0
40,0.048574684876179726,0.253567695866081,0.0,1.0
41,0.03324257484486097,0.2745248425738003,0.0,1.0
42,0.06218486099170991,0.26759476482796046,0.0,1.0
43,0.05244714761013336,0.23799122449548812,0.0,1.0
44,0.017881192189436918,0.2790566393529522,0.0,1.0
45,0.03754087657205538,0.25516724244793215,0.0,1.0
46,-0.00872886871783445,0.2366883560189784,0.0,1.0
47,-0.009719902925920844,0.2617230800750045,0.0,1.0
48,-0.0024714189836428507,0.2342121846120081,0.0,1.0
49,0.022452563885298715,0.22523994097643096,0.0,1.0
50,0.12939021320548394,0.2537423790421302,0.0,1.0
51,0.0022479707094362985,0.2723539243964221,0.0,1.0
52,0.1176730591249604,0.27169103745707696,0.0,1.0
53,-0.0900441927141621,0.22450786954483273,0.0,1.0
54,0.04573548065659009,0.24786065619879663,0.0,1.0
55,-0.0206355488467755,0.27419491114408767,0.0,1.0
56,-0.05683310376477443,0.2344537964530904,0.0,1.0
57,-0.012598098613490613,0.2869850201205835,0.0,1.0
58,0.04251173954086007,0.26403349843479434,0.0,1.0
59,0.0014298089107896705,0.2466670826706271,0.0,1.0
60,0.024526059503197712,0.2767943768917602,0.0,1.0
61,0.11126380569321757,0.2783930707484426,0.0,1.0
62,-0.03277054659274246,0.24304328708368383,0.0,1.0
63,-0.010708160114747534,0.20052283626607018,0.0,1.0
64,0.022734644869749843,0.22104484829557722,0.0,1.0
65,0.03772607274403252,0.25630952217478725,0.0,1.0
66,0.02515720405951069,0.21567085811416564,0.0,1.0
67,-0.00941784153773946,0.24058213171064116,0.0,1.0
68,-0.03492719952142223,0.23137222791569803,0.0,1.0
69,-0.004871246925148949,0.2435259013423806,0.0,1.0
70,-0.03028424898761387,0.2734700415427725,0.0,1.0
71,0.0012797766927086878,0.24809147781153654,0.0,1.0
72,0.059911811455499765,0.23235090727176863,0.0,1.0
73,-0.01536412727891976,0.24290349082597598,0.0,1.0
74,-0.010765746224495063,0.25546473991414476,0.0,1.0
75,0.04644448651911681,0.24851548394751252,0.0,1.0
