measured_sweep,plaquette_mean,plaquette_square_mean,ward_mean,acceptance
1,-0.03192355875629798,0.2514886684557988,0.0,1.0
2,0.012363302882867577,0.21125594141086687,0.0,1.0
3,0.04523131181576487,0.24034088085406544,0.0,1.0
4,0.029339022405730556,0.2597509263210551,0.0,1.0
5,0.016383671332633895,0.2561584040489869,0.0,1.0
6,0.04055755451188013,0.27612751223676896,0.0,1.0
7,0.03188111292683402,0.24771543689668987,0.0,1.0
8,-0.013113701085776917,0.2612077275333179,0.0,1.0
9,-0.07649720897267848,0.26840712559640745,0.0,1.0
10,-0.0353301775313421,0.23683759111323477,0.0,1.0
11,-0.03265336522309234,0.19483313276808192,0.0,1.0
12,0.05044622589184169,0.3014385080803626,0.0,1.0
13,0.1160920245696354,0.22735394197812187,0.0,1.0
14,-0.011284767611784699,0.20103103084187887,0.0,1.0
15,0.08805258753754518,0.24241872767867437,0.0,1.0
16,0.05615494619511064,0.2118947415555862,0.0,1.0
17,0.02915002326264349,0.28942256208875317,0.0,1.0
18,0.03965985099062078,0.2879142465278533,0.0,1.0
19,0.04703034012610402,0.3110899937563072,0.0,1.0
20,-0.04661418498883865,0.27158901738543245,0.0,1.0
21,-0.02327927797821767,0.22060560257747044,0.0,1.0
22,-0.029535185029260207,0.25789785286007777,0.0,1.0
23,-0.052712835171705996,0.24193923560594435,0.0,1.0
24,-0.009055336452199475,0.22773393623117502,0.0,1.0
25,0.10483292674956408,0.2229876391661416,0.0,1.0
26,-0.028009415961712174,0.23167529194014078,0.0,1.0
27,-0.12500062595440461,0.2327870980369285,0.0,1.0
28,-0.015821242033515103,0.23577963930504145,0.0,1.0
29,-0.015219439815695991,0.2471014035608714,0.0,1.0
30,-0.019721480534968874,0.1991664854151074,0.0,1.0
31,0.02737557949296623,0.22519187592577547,0.0,1.0
32,0.0048472083852956205,0.25911338982641263,0.0,1.0
33,-0.051888060061835155,0.3013040487146255,0.0,1.0
34,-0.006388448417839472,0.2544767273320625,0.0,1.0
35,0.024746617780608576,0.24563594926240453,0.0,1.0
36,0.02701649126662666,0.25444281764310506,0.0,1.0
37,-0.055109237786646524,0.25748736366060104,0.0,1.0
38,0.016166109987875207,0.2693320678598586,0.0,1.0
39,-0.0449830352290784,0.25128480569008094,0.0,1.0
40,-0.008860985138172656,0.26379410064333975,0.0,1.0
41,-0.08881094078176405,0.26046704838995144,0.0,1.0
42,-0.14632148130337466,0.2851575597978119,0.0,1.0
43,0.025645180395743077,0.2507246534830651,0.0,1.0
44,-0.018515379656717054,0.2531154789533943,0.0,1.0
45,-0.08265707497915342,0.2609882325144228,0.0,1.0
46,-0.06233915379834063,0.3185661264572182,0.0,1.0
47,-0.013746203255848147,0.26577722704107193,0.0,1.0
48,-0.057340464987729566,0.29514446003731304,0.0,1.0
49,0.008723850178292422,0.24960416938299143,0.0,1.0
50,0.0070913981171374,0.2522838493174578,0.0,1.0
51,-0.02210070207811933,0.2637912744279345,0.0,1.0
52,-0.04606084574363966,0.22096597067373971,0.0,1.0
53,-0.07013608508261503,0.2643085971411086,0.0,1.0
54,-0.0673841749527626,0.28098440496947424,0.0,1.0
55,-0.08282874017137655,0.2229848341158451,0.0,1.0
56,-0.06449303036671807,0.27450614464612955,0.0,1.0
57,-0.005663928085877197,0.29713923078613563,0.0,1.0
58,-0.05272506467482724,0.2611536966820572,0.0,1.0
59,-0.0003491646241553144,0.28308382604677423,0.0,1.0
60,0.0640187640657151,0.21192289415988522,0.0,1.0
61,0.045179504672822356,0.23688853431972012,0.0,1.0
62,0.05237385062326389,0.26336736920897647,0.0,1.0
63,-0.04501467454846735,0.2501552234362668,0.0,1.0
64,-0.07822206000324956,0.27105289098529056,0.0,1.0
65,-0.01052769435031387,0.24732544902580922,0.0,1.0
66,-0.03289655160436956,0.22015792391940733,0.0,1.0
67,0.06157097196207128,0.21685436319103588,0.0,1.0
68,0.016696231051642998,0.2525891560921711,0.0,1.0
69,-0.06527934978874325,0.26696104369492973,0.0,1.0
70,-0.017858568519545405,0.2477354752094004,0.0,1.0
71,-0.019563878517097868,0.26322716873480934,0.0,1.0
72,-0.037804531682464594,0.23954822225874395,0.0,1.0
73,-0.03913530461452635,0.25799563990884145,0.0,1.0
74,0.09833420991092086,0.22580998850055503,0.0,1.0
75,0.02208617095963609,0.28750454698875866,0.0,1.0
76,-0.012711276762451457,0.262556339335165,0.0,1.0
77,0.04764111913105135,0.2245625589688708,0.0,1.0
78,0.018326205846753953,0.2623499370250783,0.0,1.0
79,0.031137664349999355,0.23533165444684265,0.0,1.0
80,-0.005208112373631617,0.26010387799477325,0.0,1.0
81,0.047332866810396446,0.22827389711599588,0.0,1.0
82,-0.06654746672080526,0.28540011744689786,0.0,1.0
83,-0.0172164075103104,0.26658055450847923,0.0,1.0
84,-0.03956851515431309,0.29111170392920205,0.0,1.0
85,0.00216172953950435,0.2870048422849652,0.0,1.0
86,-0.07223660393940623,0.2933148376822919,0.0,1.0
87,-0.05415222500898712,0.3083234397728889,0.0,1.0
88,0.004974860547670175,0.22976758177180942,0.0,1.0
89,0.006263812064298507,0.25238772288813766,0.0,1.0
90,0.01784947653546966,0.25990491040778174,0.0,1.0
91,-0.09751004232940062,0.2226718616792264,0.0,1.0
92,-0.034526704849435326,0.2689178966453787,0.0,1.0
93,-0.12242220753520024,0.23583799670376082,0.0,1.0
94,-0.034064288804951555,0.22885792131627222,0.0,1.0
95,0.04539033102443781,0.20974363184661185,0.0,1.0
96,0.013551205897122262,0.30221490237075216,0.0,1.0
97,-0.002878372985225109,0.2651810084505278,0.0,1.0
98,-0.08579034580641959,0.22849791690977983,0.0,1.0
99,-0.05390612671755044,0.23449823356387803,0.0,1.0
100,-0.0147427508276843,0.26518228871189425,0.0,1.0
101,0.021496803970452245,0.28479957194433275,0.0,1.0
102,-0.05252887576202104,0.2705026672947231,0.0,1.0
103,0.018744122332430623,0.2198060295624793,0.0,1.0
104,-0.05845913647542488,0.22371304606453582,0.0,1.0
105,-0.17019630382887088,0.26699121941356824,0.0,1.0
106,-0.0068525511275738206,0.22336753237757137,0.0,1.0
107,0.05980445550428349,0.2429518738081019,0.0,1.0
108,0.09989927661372466,0.2605346369605191,0.0,1.0
109,-0.04013828589808371,0.26824339051933616,0.0,1.0
110,-0.006257998501685313,0.25417027134875075,0.0,1.0
111,-0.036038815205072995,0.23667132394853155,0.0,1.0
112,-0.05180042260247029,0.2258801152041882,0.0,1.0
113,0.003977923295916591,0.26645824519449096,0.0,1.0
114,0.008362326829489758,0.2758167332077734,0.0,1.0
115,0.005669098250256026,0.25653799969943986,0.0,1.0
116,-0.0060502988873590265,0.231244256914664,0.0,1.0
117,0.019534286013752813,0.24749969372801858,0.0,1.0
118,-0.0032392469066378493,0.2455107474558389,0.0,1.0
119,0.013829619043792249,0.3040392731854103,0.0,1.0
120,-0.03691441125990239,0.27547305068468037,0.0,1.0
121,0.05980450519814636,0.24088257483700282,0.0,1.0
122,0.022710020082013782,0.2887464495653575,0.0,1.0
123,0.04625328530410828,0.2585463574387103,0.0,1.0
124,-0.022644795035819048,0.2640049721920333,0.0,1.0
125,-0.08120725344886416,0.25181476172041645,0.0,1.0
126,-0.028609551577629153,0.22787718634797302,0.0,1.0
127,0.007451288762566382,0.21256247329250857,0.0,1.0
128,-0.048049586658101696,0.23549136632613185,0.0,1.0
129,0.0045636472368613306,0.2587053908445168,0.0,1.0
130,0.04612648111961345,0.2613060319588861,0.0,1.0
131,-0.03670088833569876,0.22556874401232108,0.0,1.0
132,0.023041340063110278,0.21910714576040027,0.0,1.0
133,-0.028356072532410726,0.21432224230909935,0.0,1.0
134,-0.005020677079057648,0.25176964232005816,0.0,1.0
135,-0.024621227979998595,0.23653354312510733,0.0,1.0
136,-0.053856110833906956,0.2526182010167756,0.0,1.0
137,0.010396393279898242,0.2312027256835966,0.0,1.0
138,0.04395462536475264,0.2299153700199347,0.0,1.0
139,0.010001198839433238,0.24339814126377654,0.0,1.0
140,0.035631842602950214,0.2924039398231189,0.0,1.0
141,-0.03331337744087944,0.28680385593436614,0.0,1.0
142,-0.01704207182842284,0.22839680843238455,0.0,1.0
143,0.004122677808628292,0.22207549931325535,0.0,1.0
144,0.019864570650635047,0.2640454635202833,0.0,1.0
145,0.04075707221740654,0.25126369493382333,0.0,1.0
146,-0.05027573686535484,0.23995251319938524,0.0,1.0
147,-0.04938455295243279,0.22091815587667954,0.0,1.0
148,0.0036284712326270347,0.292236480591584,0.0,1.0
149,0.035450004765830025,0.2440639912871244,0.0,1.0
150,-0.012054496247813892,0.22350073583954677,0.0,1.0
151,-0.016707675116858733,0.24454336838787386,0.0,1.0
152,-0.006103428167196563,0.25371972539853394,0.0,1.0
153,-0.020483404543304298,0.268168342807401,0.0,1.0
154,-0.013951284239878707,0.2543395211720371,0.0,1.0
155,0.030898241750255837,0.22127839457305845,0.0,1.0
156,0.06206217066053756,0.24600942228932965,0.0,1.0
157,0.023862981838024863,0.26712442247675544,0.0,1.0
158,-0.00356194293919151,0.2775481550964069,0.0,1.0
159,0.00030379200646238336,0.21129182506495728,0.0,1.0
160,0.008127158936029609,0.249244525897765,0.0,1.0
161,0.008682555956376604,0.2106697968168522,0.0,1.0
162,-0.0605351266530823,0.2782773235100751,0.0,1.0
163,-0.01984392377281819,0.2790294536437812,0.0,1.0
164,0.04533596153998038,0.2438983610864943,0.0,1.0
165,0.03516618407492051,0.24011796149360207,0.0,1.0
166,0.0338190402030866,0.21192066412568514,0.0,1.0
167,0.045964394902538175,0.2560613896576179,0.0,1.0
168,-0.01400024994023076,0.22086850599176366,0.0,1.0
169,0.01101592653897158,0.21588596649346745,0.0,1.0
170,0.12363872483807099,0.2186141131556055,0.0,1.0
171,0.0665845329462516,0.2667110175586884,0.0,1.0
172,0.035022120698657906,0.2617162311389655,0.0,1.0
173,-0.006026755213767086,0.2312566873519343,0.0,1.0
174,0.005869122494105779,0.22661086481524118,0.0,1.0
175,-0.036678368362575896,0.2502306466440659,0.0,1.0
176,0.017591369305955156,0.24128767029235645,0.0,1.0
177,0.04888590896718209,0.26264138922228436,0.0,1.0
178,0.06765109422922932,0.25778014411562716,0.0,1.0
179,-0.03437444441958882,0.23023048007562297,0.0,1.0
180,-0.1048351325108627,0.24656696469607506,0.0,1.0
181,-0.03809735904358503,0.2815372916695384,0.0,1.0
182,-0.06597552494468967,0.23197882309412354,0.0,1.0
183,-0.047706061151984815,0.2496667882770225,0.0,1.0
184,0.03823129201642033,0.25058314029790413,0.0,1.0
185,0.02625009023910384,0.24950988876335614,0.0,1.0
186,-0.033246067992582666,0.26636843482671235,0.0,1.0
187,0.0007941198254449063,0.256679332404055,0.0,1.0
188,-0.013737231507423077,0.2802693465789801,0.0,1.0
189,0.004867127954813172,0.22124668294709368,0.0,1.0
190,-0.030652307043525267,0.2146131685734868,0.0,1.0
191,-0.012073437857900183,0.22641831829598624,0.0,1.0
192,0.06296526473771584,0.20717692448942893,0.0,1.0
193,0.06369011353606882,0.21156847965611725,0.0,1.0
194,-0.03362344360562006,0.20609920102583665,0.0,1.0
195,0.012309996897625233,0.21956909784919645,0.0,1.0
196,0.03825064603040224,0.2451515458887863,0.0,1.0
197,-0.009443810709751227,0.26641678147158837,0.0,1.0
198,-0.03564362933006574,0.2573393550607508,0.0,1.0
199,0.02809803844384275,0.2585706039774511,0.0,1.0
200,0.028230527225898538,0.2477934971753152,0.0,1.0
201,-0.006096041470291885,0.2841488545108945,0.0,1.0
202,-0.06398676566970478,0.26018202224738524,0.0,1.0
203,-0.0006701120771129693,0.2756273309796594,0.0,1.0
204,-0.028320096274951145,0.23214834931436776,0.0,1.0
205,-0.004875420138430582,0.25110972487865835,0.0,1.0
206,0.04723874767286332,0.21375383216194233,0.0,1.0
207,-0.00716037770948181,0.22859715203156958,0.0,1.0
208,0.013737065849802747,0.2467666590178029,0.0,1.0
209,0.07219793404329,0.27010535489578297,0.0,1.0
210,-0.05887154428585101,0.2671545772919471,0.0,1.0
211,-0.024419337113419825,0.25655411252243293,0.0,1.0
212,0.06272739768207675,0.2718358451730194,0.0,1.0
