case,ncut,nK,Kmax,tfinal,final_x,max_abs_x,final_J0,max_abs_J0,min_Z,max_energy_work_residual_abs,max_energy_work_residual_relative,wall_seconds
K40_nK1024_ncut8,8,1024,40.0,50.0,-0.037582795446405075,0.9893066812111194,,,0.99601998261292,7.595535311821777e-12,1.5257994118268183e-11,10.804326117
K40_nK2048_ncut8,8,2048,40.0,50.0,-0.037571645750985525,0.989306681211118,0.28052710335580855,0.2805330562032111,0.9960199826129184,4.842459766507545e-12,9.72758595701918e-12,21.326658312
K60_nK3072_ncut8,8,3072,60.0,50.0,-0.03757164570991101,0.9893066812124596,0.28051909647803086,0.28052495601428973,0.9960188176293606,1.084649037252916e-11,2.1788548076447695e-11,36.288620851
K40_nK2048_ncut12,12,2048,40.0,50.0,-0.037571595136045126,0.9893066813382658,,,0.995724614114085,1.5866696845279193e-11,3.1873193717840736e-11,30.951715864
K40_nK4096_ncut8,8,4096,40.0,50.0,-0.037571642493999025,0.9893066812111118,,,0.9960199826129171,5.887124121528586e-12,1.1826119099199267e-11,51.370052796
