s,a,x,Fdrive,Jrz,Jkin,J0,Sx2,C,Z,Wdrive,Wexact,energy_work_residual,energy_work_relative,max_r2_error,raw_f_min,raw_f_max,raw_f_mean
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.10673050443942433,0.9960213652141541,0.0,1.5259143133559108e-16,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,-4.238587650087275e-18
0.1,-7.673365185321625e-17,-8.00840583801465e-15,5.4173128523318617e-17,7.105427357601002e-15,0.0,7.105427357601002e-15,1.3142083567815277e-45,0.10673050443942433,0.9960213652141541,-2.2150280392414853e-25,-2.064135662509676e-15,-2.216727093623764e-15,4.4529860652004485e-15,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,-6.388946247688585e-18
0.2,-2.1491983292771292e-12,2.345659941267115e-10,2.5583013895423085e-08,6.821210263296962e-13,1.8033574633591343e-11,1.871569565992104e-11,-1.470958517048216e-34,0.10673050443942433,0.9960213652141541,-1.7214539652855083e-18,-6.695392667397371e-16,-8.204092441100426e-16,1.6480472234457686e-15,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,-4.1165015483754294e-18
0.30000000000000004,-6.882313646343755e-09,3.8867950866948777e-07,1.9538570710754258e-05,-7.4314314701950934e-09,5.776453804173798e-08,5.0333106571542885e-08,-1.2885162857289754e-24,0.10673050443942435,0.9960213652141541,7.464602837314833e-14,7.414396108758632e-14,-6.546587168976023e-16,1.3150857190279873e-15,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,-5.0073695980700255e-18
0.4,-5.376159757188494e-07,1.816187354503155e-05,0.0005314950053165182,-1.257952295219411e-06,4.512310919579932e-06,3.2543586243605205e-06,-2.197685051147422e-19,0.10673050443942474,0.9960213652141541,1.643494333913386e-10,1.6435772894605145e-10,8.1429632815327e-15,1.635767529814763e-14,6.661338147750939e-16,-2.220446049250313e-16,6.417089082333405e-14,2.116811286229797e-16
0.5,-8.617266547787239e-06,0.00019691830509336293,0.0038045301052811974,-3.117588688184014e-05,7.232632162867958e-05,4.115043474683944e-05,-4.1410807422949755e-16,0.10673050443951636,0.9960213652141456,1.932841453981684e-08,1.93284099003087e-08,-4.792099569721106e-15,9.626422967627136e-15,6.661338147750939e-16,-2.220446049250313e-16,1.6442402994698568e-11,4.844578706945634e-14
0.6000000000000001,-6.061315589454142e-05,0.0010114495717746703,0.013956039834743908,-0.0002888196782642183,0.0005087374963288482,0.00021991781806462996,-7.684707075239095e-14,0.10673050444397744,0.9960213652137366,5.101420404396154e-07,5.101419481291301e-07,-9.246307674000426e-14,1.8574085797621465e-13,9.103828801926284e-15,-3.3306690738754696e-16,8.10480738078212e-10,2.1167837789286115e-12
0.7000000000000001,-0.00026162307377625583,0.0033579814701762117,0.034905440528406266,-0.001481262217190249,0.002195851141038929,0.0007145889238486802,-3.655980030677577e-12,0.10673050452424931,0.9960213652063755,5.625114640225123e-06,5.625114673485081e-06,3.3107366945606814e-14,6.65064473151999e-14,3.219646771412954e-15,1.1102230246251565e-16,1.5022280530629928e-08,3.4812047312726073e-11
0.8,-0.0008231913177550635,0.008436641397462532,0.06865195657471022,-0.00519872722350101,0.006909197909546805,0.0017104706860457952,-7.261124618612995e-11,0.10673050527921207,0.9960213651371446,3.5520184878368134e-05,3.552018462445631e-05,-2.540644154476815e-13,5.103674263313902e-13,2.2870594307278225e-14,9.992007221626409e-16,1.4774420775687247e-07,3.0673845729921594e-10
0.9,-0.00208295155548867,0.017530927943861484,0.11492532934679696,-0.014122557976385508,0.017482600003017268,0.00336004202663176,-7.932486360085576e-10,0.10673050981598456,0.9960213647211169,0.00015342610275330935,0.0001534261031352058,3.8174384443465104e-13,7.66851284776179e-13,2.7755575615628914e-14,4.6074255521944e-15,9.382874548991005e-07,1.7686292506273663e-09
