s,a,x,Fdrive,Jrz,Jkin,J0,Sx2,C,Z,Wdrive,Wexact,energy_work_residual,energy_work_relative,max_r2_error,raw_f_min,raw_f_max,raw_f_mean
0.0,0.0,0.0,0.0,-2.1316282072803006e-14,2.1316282072803006e-14,0.0,0.0,0.8636330943939021,0.9945693252627812,0.0,1.0996954602272632e-13,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,4.8166763046667784e-18
0.1,4.984205814427332e-18,-8.596963149520528e-17,3.602883171749742e-89,0.0,2.1316282072803006e-14,2.1316282072803006e-14,3.2898771635839112e-49,0.8636330943939021,0.9945693252627812,-8.263121919213077e-76,1.2621660490195685e-13,1.6247058879230532e-14,3.4891092521785567e-10,5.551115123125783e-16,-2.220446049250313e-16,2.220446049250313e-16,6.368088314112771e-18
0.2,1.1266847474877942e-17,-2.2170294528907578e-16,9.635936768776462e-46,0.0,2.1316282072803006e-14,2.1316282072803006e-14,-5.4056974572210975e-49,0.8636330943939021,0.9945693252627812,-1.1034237957576658e-56,1.1571479328936537e-13,5.745247266639055e-15,1.23381071879474e-10,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,5.7577583929871584e-18
0.30000000000000004,9.706869811407097e-17,-1.650975731438475e-15,2.87177137979044e-31,-4.973799150320701e-14,2.1316282072803006e-14,-2.842170943040401e-14,1.9698471528083117e-46,0.8636330943939019,0.9945693252627813,-5.441095829725793e-47,1.113152834598446e-13,1.3457374371182841e-15,2.8900153423182777e-11,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,4.833086549905192e-18
0.4,1.9338255405270006e-16,-1.138243826285424e-15,4.944719916430449e-24,-7.105427357601002e-15,1.4210854715202004e-14,7.105427357601002e-15,5.767135551163937e-47,0.863633094393902,0.9945693252627812,-1.037328749114229e-40,1.1788743457017153e-13,7.917888547445216e-15,1.7003925691391435e-10,6.661338147750939e-16,-2.220446049250313e-16,3.3306690738754696e-16,5.215100079154304e-18
0.5,3.220448842001472e-16,-1.269887978307934e-15,1.0834625704663723e-19,0.0,7.105427357601002e-15,7.105427357601002e-15,-1.968317292981306e-46,0.8636330943939019,0.9945693252627813,-1.7805543663044117e-36,1.302642420606866e-13,2.0294696037960285e-14,4.358352625084617e-10,7.771561172376096e-16,-2.220446049250313e-16,2.7755575615628914e-16,6.569570606363977e-18
0.6000000000000001,4.3435279005690343e-16,-1.1871601053708085e-15,8.468654723385366e-17,3.552713678800501e-14,7.105427357601002e-15,4.263256414560601e-14,-1.720215559899268e-46,0.8636330943939017,0.9945693252627813,-1.830921701945059e-33,1.0901582049391506e-13,-9.537255288112575e-16,2.04815689494925e-11,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,4.952915299545325e-18
0.7000000000000001,5.566848931623204e-16,-1.1573648103619569e-15,9.852888378139132e-15,-7.105427357601002e-15,7.105427357601002e-15,0.0,2.83045135815138e-46,0.8636330943939018,0.9945693252627813,-2.758996332834368e-31,1.1475185517648973e-13,4.7823091537634175e-15,1.0270165966164333e-10,8.881784197001252e-16,-2.220446049250313e-16,3.3306690738754696e-16,5.002675638741158e-18
0.8,4.524891023768629e-16,8.598684291620893e-15,3.485549813167397e-13,-9.947598300641403e-14,7.105427357601002e-15,-9.237055564881302e-14,-9.002562019434798e-45,0.8636330943939017,0.9945693252627813,2.9618043151245987e-29,1.1692102015764494e-13,6.951474134918596e-15,1.4928519001940802e-10,8.881784197001252e-16,-2.220446049250313e-16,3.3306690738754696e-16,5.404294658233858e-18
0.9,-6.300584835421489e-15,2.0657049565190725e-13,5.575403715082619e-12,-2.4868995751603507e-13,3.552713678800501e-13,1.0658141036401503e-13,2.989113432708431e-42,0.8636330943939018,0.9945693252627813,2.1309980657404592e-26,1.1894753872123128e-13,8.977992698483655e-15,1.928053417121267e-10,8.881784197001252e-16,-2.220446049250313e-16,2.220446049250313e-16,5.87350564497124e-18
1.0,-9.775118382994537e-14,2.3433943246016756e-12,5.1166027790846165e-11,-3.595346242946107e-12,5.151434834260726e-12,1.5560885913146194e-12,6.689384771461932e-40,0.8636330943939017,0.9945693252627813,2.7389042007395404e-24,1.1741660655200158e-13,7.44706052653636e-15,1.5992807053766473e-10,8.881784197001252e-16,-2.220446049250313e-16,3.3306690738754696e-16,4.720493547726068e-18
1.1,-8.664982421640486e-13,1.7257633316802663e-11,3.1346513163642446e-10,-3.6060043839825084e-11,4.552447308014962e-11,9.464429240324534e-12,6.460289884491822e-38,0.8636330943939017,0.9945693252627813,1.4849728781497305e-22,1.0627604453637954e-13,-3.6935016348440606e-15,7.931916061155662e-11,1.1102230246251565e-15,-2.220446049250313e-16,2.7755575615628914e-16,4.033568067851643e-18
1.2000000000000002,-5.438465527367697e-12,9.218422862304173e-11,1.4182952726081885e-09,-2.339248794669402e-10,2.856452852029179e-10,5.172040573597769e-11,1.1598039189569028e-36,0.8636330943939019,0.9945693252627813,4.239259975661612e-21,1.2341040792859991e-13,1.3440857666613621e-14,2.8864683257686155e-10,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,5.76195937173089e-18
1.3,-2.6271285449112142e-11,3.8459163160545674e-10,5.0825748371144534e-09,-1.1609273542489973e-09,1.379795833145181e-09,2.1886847889618366e-10,6.00707721299614e-35,0.8636330943939019,0.9945693252627813,7.382760184794003e-20,1.1267787498505302e-13,2.708255134724856e-15,5.81606684512496e-11,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,4.481580769030688e-18
1.4000000000000001,-1.0320699165122858e-10,1.320211068511962e-09,1.5164679233538472e-08,-4.644306272894028e-09,5.4205315791477915e-09,7.762253062537638e-10,2.8093788714065062e-33,0.8636330943939013,0.9945693252627813,8.705586273700723e-19,1.2304788988872387e-13,1.3077473307370179e-14,2.808430341210433e-10,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,5.246896539480255e-18
1.5,-3.4320039208499424e-10,3.874519637691119e-09,3.907714142150844e-08,-1.567735807839199e-08,1.802537497042067e-08,2.3480168920286815e-09,8.087503032156663e-32,0.8636330943939016,0.9945693252627813,7.50359849492102e-18,1.0013118416122114e-13,-9.845865460000093e-15,2.1144319428858126e-10,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,2.71494562895441e-18
1.6,-9.955860272601342e-10,1.0004913120657318e-08,8.938881570075466e-08,-4.5988429064891534e-08,5.228959309988568e-08,6.3011640349941445e-09,1.5515080001336345e-30,0.8636330943939018,0.9945693252627813,5.007708088944357e-17,1.191908292258291e-13,9.171206122213349e-15,1.9695466344100996e-10,1.1102230246251565e-15,-3.3306690738754696e-16,3.3306690738754696e-16,4.518686468208947e-18
1.7000000000000002,-2.5784461537356154e-09,2.323929359188966e-08,1.853692969145577e-07,-1.2002184490711443e-07,1.3542370425057015e-07,1.5401859343455726e-08,2.155551108988166e-29,0.8636330943939019,0.9945693252627813,2.704499438580906e-16,1.1205828158558586e-13,1.818285619001449e-15,3.904828082128323e-11,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,3.8917715832920524e-18
1.8,-6.070873484316145e-09,4.94000535694615e-08,3.5422768418961577e-07,-2.8454568479219233e-07,3.188510504514852e-07,3.4305365659292875e-08,2.295430169894188e-28,0.8636330943939018,0.9945693252627813,1.2234250846248372e-15,1.1215718126237836e-13,9.642101550272099e-16,2.070672974079411e-11,1.1102230246251565e-15,-3.3306690738754696e-16,3.3306690738754696e-16,3.683513609128379e-18
1.9000000000000001,-1.3182715094831175e-08,9.742077846204076e-08,6.31857520768947e-07,-6.214822292349709e-07,6.923752238208181e-07,7.089299458584719e-08,1.9388467445414066e-27,0.8636330943939019,0.9945693252627813,4.763899509779436e-15,1.2323914387376778e-13,8.505698341262029e-15,1.8266266528199275e-10,1.1102230246251565e-15,-3.3306690738754696e-16,3.3306690738754696e-16,3.1839678501780947e-18
2.0,-2.670826064500727e-08,1.801983994843202e-07,1.0629900106330362e-06,-1.265430306318649e-06,1.4027564247953705e-06,1.373261184767216e-07,1.3438679902607615e-26,0.8636330943939016,0.9945693252627813,1.6321260806440936e-14,1.304096073700964e-13,4.118800540929149e-15,8.845259429449765e-11,1.1102230246251565e-15,-3.3306690738754696e-16,3.3306690738754696e-16,3.600732283384496e-18
2.1,-5.096431956817862e-08,3.1541856593198504e-07,1.7007491892274177e-06,-2.4253688266639983e-06,2.6767196814603267e-06,2.5135085479632835e-07,7.85764421855971e-26,0.8636330943939016,0.9945693252627813,5.008116224042445e-14,1.7686748423028125e-13,1.6816775967130486e-14,3.61145786784444e-10,1.1102230246251565e-15,-3.3306690738754696e-16,6.661338147750939e-16,5.784783882548273e-18
2.2,-9.230706995861513e-08,5.262968027946091e-07,2.605676192987724e-06,-4.41045659727024e-06,4.848100651599907e-06,4.376440543296667e-07,3.962275176737422e-25,0.8636330943939016,0.9945693252627813,1.3965739932492368e-13,2.604581545637791e-13,1.0831209216129125e-14,2.326037750536397e-10,1.3322676295501878e-15,-3.3306690738754696e-16,1.887379141862766e-15,8.534564066284554e-18
