s,a,x,Fdrive,Jrz,Jkin,J0,Sx2,C,Z,Wdrive,Wexact,energy_work_residual,energy_work_relative,max_r2_error,raw_f_min,raw_f_max,raw_f_mean
0.0,0.0,0.0,0.0,-2.1316282072803006e-14,2.1316282072803006e-14,0.0,0.0,0.8636330943939021,0.9208037770255746,0.0,1.0996954602272632e-13,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,4.8166763046667784e-18
0.1,5.387543048937576e-18,-9.243897353592995e-17,3.602883171749742e-89,0.0,2.1316282072803006e-14,2.1316282072803006e-14,3.803643285524564e-49,0.8636330943939021,0.9208037770255746,-8.868227479842627e-76,1.2621660490195685e-13,1.6247058879230532e-14,3.2494150664345676e-10,5.551115123125783e-16,-2.220446049250313e-16,2.220446049250313e-16,6.368088314112771e-18
0.2,1.225980303028825e-17,-2.35802699636872e-16,9.635936768776462e-46,1.4210854715202004e-14,2.1316282072803006e-14,3.552713678800501e-14,-6.11513932293773e-49,0.8636330943939021,0.9208037770255746,-1.1735961287465872e-56,1.1571479328936537e-13,5.745247266639055e-15,1.1490506169380683e-10,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,5.7577583929871584e-18
0.30000000000000004,1.0549593689589979e-16,-1.765802913173311e-15,2.87177137979044e-31,-3.552713678800501e-14,2.1316282072803006e-14,-1.4210854715202004e-14,1.3879506043392697e-46,0.8636330943939019,0.9208037770255747,-5.851208633234643e-47,1.113152834598446e-13,1.3457374371182841e-15,2.6914775998179277e-11,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,4.793099469690369e-18
0.4,1.9573193464686994e-16,-1.0211320116490641e-15,4.944719916430449e-24,-7.105427357601002e-15,1.4210854715202004e-14,7.105427357601002e-15,-1.1467601498134995e-47,0.863633094393902,0.9208037770255746,-1.0804635155192044e-40,1.186776791960948e-13,8.708133173368475e-15,1.7416283983702974e-10,6.661338147750939e-16,-2.220446049250313e-16,3.3306690738754696e-16,5.334341913874836e-18
0.5,3.311908974352322e-16,-1.4980461129566476e-15,1.0834625704663723e-19,0.0,7.105427357601002e-15,7.105427357601002e-15,-2.7391426390232744e-46,0.8636330943939019,0.9208037770255747,-7.113135403200954e-37,1.3006200818133713e-13,2.0092462158610814e-14,4.018496501137103e-10,7.771561172376096e-16,-2.220446049250313e-16,2.7755575615628914e-16,6.649268954013532e-18
0.6000000000000001,5.132078377849159e-16,-1.883599197736159e-15,8.468654723385366e-17,8.526512829121202e-14,7.105427357601002e-15,9.237055564881302e-14,-3.809425877435238e-47,0.8636330943939018,0.9208037770255747,-3.077695758821368e-33,1.2081036144543744e-13,1.0840815422711122e-14,2.1681652801803646e-10,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,6.2059992159738075e-18
0.7000000000000001,7.007552449587259e-16,-1.7662273603182864e-15,9.852888378139132e-15,3.552713678800501e-14,7.105427357601002e-15,4.263256414560601e-14,3.1282482008944388e-46,0.8636330943939018,0.9208037770255747,-4.374924289909205e-31,1.183951548578387e-13,8.425608835112392e-15,1.6851234734981808e-10,8.881784197001252e-16,-2.220446049250313e-16,3.3306690738754696e-16,5.967752743226336e-18
0.8,5.853187533021824e-16,9.084202031144688e-15,3.485549813167397e-13,2.1316282072803006e-13,7.105427357601002e-15,2.2026824808563106e-13,1.0566283222909263e-44,0.8636330943939018,0.9208037770255747,3.7530866940363353e-29,1.2208369299507615e-13,1.2114146972349797e-14,2.422831848001552e-10,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,6.1426197824074976e-18
0.9,-6.736524472779997e-15,2.242014819348043e-13,5.575403715082619e-12,-3.694822225952521e-13,3.694822225952521e-13,0.0,-3.463741680075999e-42,0.8636330943939017,0.9208037770255747,2.3067918931714398e-26,1.114938778740485e-13,1.5243318512991109e-15,3.0486667898947214e-11,8.881784197001252e-16,-2.220446049250313e-16,2.220446049250313e-16,5.380252962270808e-18
1.0,-1.057080950068996e-13,2.5343718755037596e-12,5.1166027790846165e-11,-2.7711166694643907e-12,5.5706550483591855e-12,2.7995383788947947e-12,-1.2702542864513692e-40,0.8636330943939016,0.9208037770255747,2.965914671395809e-24,1.2049790100853102e-13,1.0528354982838785e-14,2.1056731289219068e-10,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,5.624975037335493e-18
1.1,-9.361212023009882e-13,1.86411189670784e-11,3.1346513163642446e-10,-3.948485982618877e-11,4.915534645988373e-11,9.670486633694964e-12,-4.014751139824654e-40,0.8636330943939019,0.9208037770255747,1.6040803812222851e-22,1.0597749889435713e-13,-3.9920472887772226e-15,7.984102662823812e-11,1.1102230246251565e-15,-3.3306690738754696e-16,3.3306690738754696e-16,3.95511784410432e-18
1.2000000000000002,-5.873194924121874e-12,9.953913884715118e-11,1.4182952726081885e-09,-2.625881734275026e-10,3.084608124481747e-10,4.587263902067207e-11,1.2388243307776747e-36,0.8636330943939017,0.9208037770255747,4.577658039624699e-21,1.0810700676166333e-13,-1.8625438387210247e-15,3.725091449734198e-11,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,4.611568966215808e-18
1.3,-2.8369065528008912e-11,4.152812783947169e-10,5.0825748371144534e-09,-1.25451293797596e-09,1.4899583788974269e-09,2.354454409214668e-10,7.90773157045936e-35,0.8636330943939018,0.9208037770255747,7.972056348825729e-20,1.0876025095088501e-13,-1.2093747924047948e-15,2.418752034209673e-11,1.1102230246251565e-15,-3.3306690738754696e-16,2.7755575615628914e-16,4.136577857599504e-18
1.4000000000000001,-1.1144233894161365e-10,1.4255129618460896e-09,1.5164679233538472e-08,-5.014697990191053e-09,5.853117102105898e-09,8.384191119148454e-10,3.6986728207351856e-33,0.8636330943939017,0.9208037770255747,9.40007925622568e-19,1.0047737231900289e-13,-9.493113711649048e-15,1.8986246650119808e-10,1.1102230246251565e-15,-2.220446049250313e-16,3.3306690738754696e-16,3.989320004783725e-18
1.5,-3.7056807891799774e-10,4.18328722625029e-09,3.907714142150844e-08,-1.692176709866544e-08,1.946278160858128e-08,2.54101450991584e-09,9.883237181849505e-32,0.8636330943939018,0.9208037770255747,8.101809742249736e-18,1.0930047295608113e-13,-6.771748763874356e-16,1.3543511242870022e-11,1.1102230246251565e-15,-3.3306690738754696e-16,3.3306690738754696e-16,4.38648061833284e-18
1.6,-1.074921171300925e-09,1.0801587580317384e-08,8.938881570075466e-08,-4.9600345164435566e-08,5.645641465434892e-08,6.856069489913352e-09,1.936613725526898e-30,0.8636330943939017,0.9208037770255747,5.406643340190231e-17,7.617406524398643e-14,-3.384954721214178e-14,6.769916298126382e-10,1.2212453270876722e-15,-2.220446049250313e-16,3.3306690738754696e-16,-1.6265010004070028e-19
1.7000000000000002,-2.783752108628777e-09,2.5088015835701626e-08,1.853692969145577e-07,-1.2957863759766042e-07,1.462066876456447e-07,1.662805004798429e-08,2.7178296698370646e-29,0.863633094393902,0.9208037770255746,2.9197661208772934e-16,1.1626190982188609e-13,6.00038718707204e-15,1.2000786526992784e-10,1.1102230246251565e-15,-2.220446049250313e-16,2.7755575615628914e-16,4.548890950515157e-18
1.8,-6.553841678460868e-09,5.332569615467868e-08,3.5422768418961577e-07,-3.0720084964741545e-07,3.442172413770095e-07,3.7016391729594034e-08,2.8877911325469184e-28,0.8636330943939017,0.9208037770255747,1.3207130418111619e-15,9.900349034983202e-14,-1.2286768714705462e-14,2.4573562314345275e-10,1.1102230246251565e-15,-2.220446049250313e-16,2.7755575615628914e-16,1.8645283384786608e-18
1.9000000000000001,-1.4230466591223677e-08,1.0515321819685838e-07,6.31857520768947e-07,-6.70865887286709e-07,7.474046697097947e-07,7.653878242308565e-08,2.4400897518269936e-27,0.8636330943939019,0.9208037770255747,5.142337148857262e-15,1.232783944632347e-13,8.166511291651125e-15,1.6333039123297598e-10,1.2212453270876722e-15,-3.3306690738754696e-16,3.885780586188048e-16,4.275650190605641e-18
2.0,-2.882879473988813e-08,1.9448234510791715e-07,1.0629900106330362e-06,-1.3659093980322723e-06,1.5141299556375998e-06,1.4822055760532749e-07,1.690145802284243e-26,0.8636330943939015,0.9208037770255747,1.7616324101472204e-14,1.297328685494014e-13,2.146998425202869e-15,4.2940011988163e-11,1.2212453270876722e-15,-3.3306690738754696e-16,3.885780586188048e-16,4.591498587330814e-18
2.1,-5.5006098302215765e-08,3.4038539717647484e-07,1.7007491892274177e-06,-2.6177284837558545e-06,2.888999738104303e-06,2.7127125434844856e-07,9.874895219033811e-26,0.8636330943939017,0.9208037770255747,5.4050094522309996e-14,1.709408943162042e-13,6.921253771167896e-15,1.3842521560256185e-10,1.1102230246251565e-15,-3.3306690738754696e-16,6.661338147750939e-16,5.467221377821573e-18
2.2,-9.961860384753052e-08,5.678911732219621e-07,2.605676192987724e-06,-4.75983925696255e-06,5.232112968656111e-06,4.7227371169356047e-07,4.979056342005946e-25,0.8636330943939018,0.9208037770255747,1.5071044442032624e-13,2.4947955734367364e-13,-1.1200433099378914e-14,2.2400888883488765e-10,1.3322676295501878e-15,-3.3306690738754696e-16,2.3314683517128287e-15,7.186715825973798e-18
2.3000000000000003,-1.723510956426032e-07,9.086365870377505e-07,3.844336923090071e-06,-8.265498507853408e-06,9.05212852586601e-06,7.866300180126018e-07,2.2053681228411463e-24,0.8636330943939016,0.9208037770255747,3.865532980155095e-13,4.857741368257469e-13,-1.0748707212488953e-14,2.1497436194808488e-10,1.3322676295501878e-15,-3.3306690738754696e-16,6.716849298982197e-15,1.692417673361035e-17
2.4000000000000004,-2.8640298223048623e-07,1.4013396947941428e-06,5.487648521162457e-06,-1.3782792422034618e-05,1.5042298400658183e-05,1.2595059786235652e-06,8.716733341049543e-24,0.8636330943939018,0.9208037770255747,9.212686873722723e-13,1.0272007951207697e-12,-4.037438274228922e-15,8.074884725659575e-11,1.4432899320127035e-15,-3.3306690738754696e-16,1.7985612998927536e-14,4.325650613878994e-17
2.5,-4.592117604943228e-07,2.0920727388489407e-06,7.609060210562394e-06,-2.2171926815417464e-05,2.411846503491688e-05,1.9465382194994163e-06,3.1148849778815386e-23,0.8636330943939017,0.9208037770255747,2.05766658950966e-12,2.160308589470012e-12,-7.32754606237424e-15,1.465510696555056e-10,1.3322676295501878e-15,-3.3306690738754696e-16,4.574118861455645e-14,1.044952509152489e-16
