s,a,x,Fdrive,Jrz,Jkin,J0,Sx2,C,Z,Wdrive,Wexact,energy_work_residual,energy_work_relative,max_r2_error,raw_f_min,raw_f_max,raw_f_mean
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.10449040346863787,0.996226785243932,0.0,-4.250466936066628e-15,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,-8.91746718312993e-18
0.1,-3.302003493252543e-18,-2.345931572566722e-15,5.4173128523318617e-17,0.0,0.0,0.0,-1.2231925144522553e-47,0.10449040346863787,0.996226785243932,-8.902443049352651e-27,-5.341347515575804e-15,-1.0908805795002738e-15,2.1913730453767736e-15,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,-1.1143725723157821e-17
0.2,-2.2128023759837566e-12,2.338457028934729e-10,2.5583013895423085e-08,9.272582701669307e-13,1.4289014416135615e-11,1.5216272686302545e-11,-1.4969408595879155e-34,0.10449040346863789,0.996226785243932,-8.542274006692031e-19,-2.2023640394710398e-15,2.048957123996257e-15,4.115967867642277e-15,5.551115123125783e-16,-2.220446049250313e-16,2.220446049250313e-16,-7.108010162160307e-18
0.30000000000000004,-6.880987850662748e-09,3.8861523095787187e-07,1.9538570710754258e-05,-5.112546830332576e-09,4.442423318096189e-08,3.9311686350629316e-08,-1.2878777912137645e-24,0.10449040346863789,0.996226785243932,7.52443051264393e-14,6.80820574955753e-14,-2.9117806947973756e-15,5.849217456552787e-15,5.551115123125783e-16,-2.220446049250313e-16,2.220446049250313e-16,-1.2994571012025375e-17
0.4,-5.375445478494531e-07,1.815971558308688e-05,0.0005314950053165182,-8.137957436815668e-07,3.4704328193413403e-06,2.6566370756597735e-06,-2.196931263167384e-19,0.10449040346863823,0.996226785243932,1.6433320437311815e-10,1.6432711664126777e-10,-1.837264914304691e-15,3.6907182014993024e-15,6.661338147750939e-16,-2.220446049250313e-16,6.417089082333405e-14,2.4492487315228256e-16
0.5,-8.61649628586001e-06,0.00019690404833231628,0.0038045301052811974,-2.089118404668966e-05,5.5628824849662806e-05,3.4737640802973146e-05,-4.1402246931049417e-16,0.10449040346872987,0.9962267852439236,1.9326816584579156e-08,1.932680785843382e-08,-4.475678401611768e-15,8.990792570127121e-15,6.661338147750939e-16,-2.220446049250313e-16,1.643934988138085e-11,5.924581189781364e-14
0.6000000000000001,-6.0609747486520816e-05,0.0010114091430414886,0.013956039834743908,-0.0001993304916467764,0.0003913016282908188,0.00019197113664404242,-7.683871560640825e-14,0.10449040347319058,0.9962267852435146,5.101167682174277e-07,5.101167614668639e-07,-2.5000968355225173e-15,5.022222339594265e-15,6.661338147750939e-16,-1.1102230246251565e-16,8.103898108124952e-10,2.634851121356096e-12
0.7000000000000001,-0.0002616139501416626,0.0033579067584156757,0.034905440528406266,-0.001048811096026725,0.001689001669195278,0.0006401905731685531,-3.655790200649837e-12,0.10449040355345926,0.9962267852361538,5.624949587223402e-06,5.6249495780207915e-06,-4.9521433977714295e-15,9.947920755623037e-15,6.661338147750939e-16,1.1102230246251565e-16,1.5021237531609444e-08,4.391983347516656e-11
0.8,-0.0008231728799268612,0.008436529860965361,0.06865195657471022,-0.0037541407043271136,0.005314473358609462,0.0015603326542823481,-7.260969301568932e-11,0.10449040430841104,0.9962267851669239,3.551953727982951e-05,3.5519537253181826e-05,-2.2397218086243897e-14,4.49917808859551e-14,1.3322676295501878e-15,9.992007221626409e-16,1.4773764872577644e-07,3.9061521138047273e-10
0.9,-0.002082920260873424,0.017530783526339525,0.11492532934679696,-0.010342093969065047,0.013447508422785859,0.0031054144537208117,-7.932454267894938e-10,0.10449040884518412,0.9962267847508961,0.0001534242749561011,0.00015342427494503848,-6.812123564889361e-15,1.3684269609706379e-14,8.881784197001252e-16,4.6074255521944e-15,9.382596904972118e-07,2.2665999122944615e-09
1.0,-0.004502180385676161,0.03180152162582721,0.17169442521388753,-0.023673956541255592,0.029066455320030826,0.005392498778775234,-5.6397693151918995e-09,0.10449042858224378,0.9962267829409833,0.0005050532473879536,0.0005050532474283784,4.467530945878595e-14,8.974425870400691e-14,1.5543122344752192e-15,1.5265566588595902e-14,4.341701150822885e-06,9.696299171482408e-09
1.1,-0.008646090507711621,0.05214689695293908,0.23589237227962495,-0.047306277324207,0.0558198878059315,0.008513610481724498,-2.907840406608523e-08,0.10449049601909619,0.9962267767569406,0.0013584750232321057,0.001358475023090826,-1.3702927681435995e-13,2.7526593586991754e-13,9.325873406851315e-15,4.1300296516055823e-14,1.5838207898077883e-05,3.306703843970361e-08
1.2000000000000002,-0.015153250854439596,0.07913111923159524,0.3040356215300072,-0.08528177142016702,0.09783066315650757,0.01254889173634055,-1.1685519970794176e-07,0.10449068714861502,0.9962267592301273,0.0031293294597493676,0.0031293294597412066,-3.910500395720717e-15,7.855456703650517e-15,1.1102230246251565e-15,9.514611321037592e-14,4.8062695549355716e-05,9.471968538647801e-08
