s,a,x,Fdrive,Jrz,Jkin,J0,Sx2,C,Z,Wdrive,Wexact,energy_work_residual,energy_work_relative,max_r2_error,raw_f_min,raw_f_max,raw_f_mean
0.0,0.0,0.0,0.0,7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,0.1061286068956409,0.9960765599633997,0.0,1.6437012132668512e-14,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,1.6653345369377348e-16,-3.817219351549733e-18
0.1,-5.186856155201046e-18,-2.2940031433328798e-15,5.4173128523318617e-17,1.0658141036401503e-14,-7.105427357601002e-15,3.552713678800501e-15,2.995419094352418e-47,0.1061286068956409,0.9960765599633997,-8.924000264141433e-27,1.6149664452851838e-14,-2.873476798077501e-16,5.772301744015881e-16,4.440892098500626e-16,-2.220446049250313e-16,1.6653345369377348e-16,-3.128300875652706e-18
0.2,-1.981145034991136e-12,2.349359352419619e-10,2.5583013895423085e-08,-6.963318810448982e-13,1.687538997430238e-11,1.617905809325748e-11,-2.510974630758368e-33,0.1061286068956409,0.9960765599633997,2.6839769784716283e-20,1.2261737475678575e-14,-4.175301496759722e-15,8.387435084794524e-15,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,-3.328142456589332e-18
0.30000000000000004,-6.881926831794574e-09,3.886561908416334e-07,1.9538570710754258e-05,-8.396952466682706e-09,5.8574819661316724e-08,5.017786719463402e-08,-2.388613490985517e-23,0.10612860689564091,0.9960765599633997,7.524064125437078e-14,8.488228215418634e-14,-6.795371232852946e-15,1.3650687294526214e-14,6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,-3.4254488345781757e-18
0.4,-5.375847886429899e-07,1.8160844086426405e-05,0.0005314950053165182,-1.3081275049842134e-06,4.575598712364126e-06,3.267471207379913e-06,-4.074024994382451e-18,0.10612860689564758,0.996076559963399,1.6434400930430326e-10,1.643594071790958e-10,-1.0391373401175295e-15,2.0874413479327703e-15,8.881784197001252e-16,-2.220446049250313e-16,5.6066262743570405e-14,1.3851072603716646e-16
0.5,-8.616780519184383e-06,0.00019690720981885664,0.0038045301052811974,-3.2153994553141274e-05,7.334085833932136e-05,4.1186863786180083e-05,-7.676670931749244e-15,0.106128606897347,0.9960765599632432,1.9327321915441477e-08,1.9327337735445687e-08,-6.170079221550391e-16,1.2394587307995686e-15,8.881784197001252e-16,-2.220446049250313e-16,1.4334589071296477e-11,3.224773962601281e-14
0.6000000000000001,-6.060974087352836e-05,0.0010113926625116218,0.013956039834743908,-0.00029584597428922166,0.0005158736965427124,0.00022002772225349077,-1.4245794081462157e-12,0.1061286069800501,0.9960765599556592,5.101132879560357e-07,5.101133031768087e-07,-1.2162391506111625e-15,2.4432072585065836e-15,1.1102230246251565e-15,-2.220446049250313e-16,7.064020479674582e-10,1.4086217354707685e-12
0.7000000000000001,-0.00026160836220523654,0.0033577929496234117,0.034905440528406266,-0.0015118504884767958,0.002226653190120942,0.0007148027016441461,-6.777409781313814e-11,0.10612860846820274,0.9960765598191939,5.6247984923876226e-06,5.624798504353762e-06,-4.470872829668692e-15,8.981185109702689e-15,9.992007221626409e-16,-1.1102230246251565e-16,1.3088856221088463e-08,2.3159299872056017e-11
0.8,-0.0008231451460833066,0.00843616955130283,0.06865195657471022,-0.005295481370026778,0.007006116896263848,0.0017106355262370698,-1.3460714548604257e-09,0.10612862246446168,0.9960765585357195,3.551819427236132e-05,3.5518194278938966e-05,-9.859368638349963e-15,1.9805710915821365e-14,8.881784197001252e-16,-1.1102230246251565e-16,1.2868020826672932e-07,2.0400815286997906e-10
0.9,-0.0020828351106094377,0.01752995217889746,0.11492532934679696,-0.014368046347204455,0.01772784105822467,0.003359794711020214,-1.4706122962441283e-08,0.10612870657449323,0.9960765508227256,0.00015341753628639847,0.0001534175363009945,-1.8409752888803865e-15,3.698190595380539e-15,1.1102230246251565e-15,2.7755575615628914e-16,8.169109080302661e-07,1.1759874652012141e-09
