mode,b,target_E,Tpump,tfinal,ncut,nK,Kmax,final_x,late_mean_x,min_Z,energy_work_scale,max_energy_work_residual_abs,max_energy_work_residual_relative
matched,100.0,0.01,20.0,40.0,8,256,20.0,0.00931297233766367,0.009313010643160565,0.9945693252627812,4.656506204007819e-05,1.6890904907390647e-13,3.627377301216258e-09
unrenormalized,100.0,0.01,20.0,40.0,8,256,20.0,0.00926610911970817,0.009266146901707361,1.0,4.6330740305666214e-05,9.871896594453033e-14,2.130744410584285e-09
omitted_matching,100.0,0.01,20.0,40.0,8,256,20.0,0.009999939283157133,0.00999998496574935,0.9208037770255746,4.999994936644913e-05,6.749870031397959e-14,1.3499753733605265e-09
sign_reversed,100.0,0.01,20.0,40.0,8,256,20.0,0.010796322304782098,0.010796378964273807,0.847038228788368,5.398194370329799e-05,1.0599686953898305e-13,1.963561559057149e-09
