index,left,right,center,point_lower,point_upper,transported_lower,transported_upper
10,21/128,11/64,43/256,135613389738088248170685077821646076216938033823831801936842651393438951765463687922663426976107125274011637900077591236844940800135928141988596602302373926180848314106178249821458944/16645495382629860062403592690251353627824099508418990364074750448916038952082818126669471639848411952192183315120286850337986962934489402184042898483183654380862448726741677714096641025,135613389738088962887466382530294557871793581016695902022597767476768837477615042458312604346384800131006548707353958992814004583394934677864959298689991654993048314106178249821458944/16645495382629859150967598536226026377644950184935267534934834655548271984099639979192627302602008089883105720519533273122447787925364009584888288272609108018508448726741677714096641025,713018503845435703444097270919344127943968821031480283841108929444146873896533927431447013093300082881306336089644827978165459482909399990497466611520208170286135478849138263050103807/2130623408976622087987659864352173264361484737077630766601568057461252985866600720213692369900596729880599464335396716843262331255614643479557491005847507760750393437022934747404370051200,34004009269105246400563295500103729785234528555072342993827348892574683181234365413856640658939262506651943955060840024202640374599915648351603078504928039857618632932332493691243385857/2130623408976621971323852612636931376338553623671714244471658835910178813964753917336656294733057035505037532226500258959673316854446593226865700898893965826369081437022934747404370051200
11,11/64,23/128,45/256,88720845522666501735384565370760337821476974690371400889360804803769921497690257517835389471622845046969504131360719893517128717535249346476601397296490670614765341273135971162577804800/10412876844428186500862495271029283701493157497398712737874128570208248897695309830795260171815531770560215948070115761229740820673640677106257823236794552623437793076371218100909044005409,88720845522666991122621387126391495366566434812315463518919197729311012238540768629400712123589054711394349017297575323485482645646652591646582997824760662633911639548447790051967475200/10412876844428185877330864838328056481426857272408492289892539413097794809709532607984264117418082048645823894744081152928676919111850833322319764821745168546711117916147665222151237925409,943391382473125721266729096428039539655895262968826575964054444674301054009043131487669680552192395451880580744056385140451655170871239242747155617156253215252170606590186207900915008991/1332848236086807872110399394691748313791124159667035230447888456986655858904999658341793301992388066631707641352974817437406825046226006669601001374309702735800037513775515916916357632692352,21769145071329560741026402390506167888347360928384871620314196722449604376242750992547555269237481051704300568958170794334818697754622365053082388543314533363851807778348982348803074751009/1332848236086807792298350699305991229622637730868287013106245044876517735642820173821985807029514502226665458527242387574870645646316906665256929897183381573979023093266901148435358454452352
12,23/128,3/16,47/256,548446455066907543990609112274787845883688946664535378364287164151093983224741396069593347513354274807353378776604065393882044820169133560632829942788599032372878941705945365978790400/61672404533745348630089296495243983869767422851198332434068721699741178368013504899204068923526382288403249263623077389546121998109077601812878956639213865472240585228430476147081603889,548446455066910715531850286095342612935430630812524314876278822800248312401191598417886882059816838745112401740442435183343029682788072316232148309882034719566130324830070074823129600/61672404533745344592793873172300763759146209316203091450825127866166066120519772730910528532550161495090824852917002555577342342672947933571066846884254596146411829498398547930746448689,8528741714818817000708669875928860403344762321862195996560035311598851484753393797703879558182964886937983219782242980870779738872571493948123276037726810671487919309930530698203567311/7894067780319404624651429951391229935330230124953386551560796377566870831105728627098120822211376932915615905743753905861903615757961933032048506449819374780446794909239100946826445297792,131873550782309916180870709792504618214881330060206203754988817184597850107872297328400049436206716854465212275693634259045250142069821190048781830549155040250876511076647517508107037489/7894067780319404107877615766054497761170714792473995705705616366869256463426530909556547652166420671371625581173376327113899819862137335497096556401184588306740714175795014135135545432192
13,3/16,25/128,49/256,334458419188130830386063812331076104049813118966105114907512101406222268227023728949382964908782163358979082589715524397623791659533389397164459556321358189664137044863735235055040000/36099355738297697107151930776046587738084463982737160811598490973410954596986338612910533181353566011426433732045465415371910726143997556134007568755959665827382254557269407643318450169,334458419188132861014350258766480327297320411425389081150574605328250009146566774782149585254900459786170571401216249914562523912129778629900948530824589839009699519155952007744960000/36099355738297694524501783185780845675397490538708439004749487153208352446138867091444202695352143343919479751490133440180337967301792572933548443820989595147987392617951450130921650169,6711321917783049182264237202331153580291615244924293896563058006585495736072698692610486326970550898522888839438121707523934606276276286703043254453174182449627287185288702443726669831/4620717534502105229715447139333963230474811389790356583884606844596602188414251342452548247213256449462583517701819573167604572946431687185152968800762837225904928583330484178344761621632,78910033394378700734338616307890327569454503201158241392023036635224353616899414263559349607979402196549312890845813429244341028054404237560869855766537094541228931069913307122276530169/4620717534502104899136228247779948246450878788954680192607934355610669113105774987704857945005074348021693408190737080343083259814629449335494200809086668178942386255097785616757971221632
14,25/128,13/64,51/256,100634240954432222404879189059623966892960289030750208559240906233625799561761174656679349750528102088576321816190379600120517285216884909756082421887614600187492535888763109604530496000/10443109823624302543621109579150492521102453983814206096950177818939105800561852541901242208054361393314723647068662612620589706020820372819074623355223109125581570125982532700236004749409,100634240954432864748238571002602517808125394938643887133865935317773098467212029435530202651352135741071119100470214452050139424184285017362338005194102313407093470389258675028957504000/10443109823624301727380801045153065377412141187846565918793698983289213280299774519849579412337838256742542227457681130643667006119594515961112765647201559981121852736956778346545003917409,2438073018543021924203426620481375241196463012121820598632658178964996543343577814153714560013235674023045545403705976194836506486940895629703926646391559698417474467779145329143898738591/1336718057423910725583502026131263042701114109928218380409622760824205542471917125363359002630958258344284626824788814415435482370665007720841551789468557968074440976125764185630208607924352,23324292665791708415155338133486187656852191739992983471928538703964169884102914287597445351710911631599645472317868580506084852415182998183492030312046656097229816946781888750251564429409/1336718057423910621104742533779592368308754072044360437605593469861019299878371138540746164779243296863045405114583184722389376783308098043022434002841799677583597150330467628357760501428352
15,13/64,27/128,53/256,167384037417238046487598679137943157589368024445715627934153735403301271623681308030232397400007259207660137461127942296767652439935087184232261916735286526601906629338353576924491264/16726120141646801901204156910073162687291474817934739690094978356012577312379958420921392825805950323864203706406424612461828773145629704416543126950454537229927865892182857625233932225,167384037417239171079400105964342185859077481047024213578299402298495094441597367375642834974455308286586608661354274034497199574524705005559309694519707629532506629338353576924491264/16726120141646800473421715811064830304674590335375849759711318684558993169453563701000906123325004994481745002537319206391090431779188083449939833683599203455733865892182857625233932225,4699036647759668049208474019583561484147632311116860685476699775609985455451249006948354041394978854716293888617952001524430739166061455165186398391662138175116182663126400221100949567/2140943378130790643354132084489364823973308776695646680332157229569609895984634677877938281703161641454618074420022350395114082962640602165317520249658180765430766834199405776029943324800,38151276931053414371584929374500630094636507909394949097733642178766365257978026725083189000055284455164830911190666282806731977318350324161531474582121780035894714447492115471568814017/2140943378130790460597979623816298278998347562928108769243048791623551125690056153728115983785600639293663360324776858418059575267736074681592298711500698042333934834199405776029943324800
16,27/128,7/32,55/256,108601129860660853441574111936456107284802348464372118246549154823235128168772292679186746425173855193757732745492253406018614306020795937960610051245985276756059234675130922684554508800/10464860303555132273899398198545885674163596863493835300784057370224551383794942795683959891492152903962913017489055247292769043492913193025226653117871565035967746324942830744926704342409,108601129860661622310499105094180217158395319883011880262198205127040254248371092423572240585369315836822117566097141284705273754778093117203710497758881362529820013778805786799833971200/10464860303555131298603418799018736252189923292780794393665048675813399439737823015279382602250364559807046448415190643107615267688403730641127869349634100585679192987100593331380179670409,3436084318609456966622088129320496058291103739945795834774234447149545021807910667251943650930100560838076773933953188677613587677748687033731433441614550388807835713473927358696272783991/1339502118855056931059122969413873366292940398527210918500359343388742577125752677847546866110995571707252866238599071653474437567092888707229011599087560324603871529592682335350618155828352,24365804925719818954347304251073804048464524237806315067226418932074551983529322845496629397177636986920277496875624727549890308299999649643202813062770914989496154750787734041758927984009/1339502118855056806221237606274398240280310181475941682389126230504115128286441345955760973088046663655301945397144402317774754264115677522064367276753164874966936702348875946416662997812352
17,7/32,29/128,57/256,112592860200659483163509822734992247653570208335039158768200113350281774078962388633105509755522780242294275076640632700430574521570915525209108486668389274656963064945832976166112601600/10476216193149638682022823005409391761919583160875637950630398199138974899408550494067168531375441329228691733378400226936747323765554641597722960004577890590344815588625124339595803739241,112592860200660323978260563067655268376900643721440925753453564416770132194921950902079490826354384570852231190106902302643263448957196620459987867608279380512902989170665345406999078400/10476216193149637616403394817437869000426278030526096350241910318631263781280689657684474034256734434365676356127580402964817327381992721352192500278244239409553289834494613320702766990441,3935669912534775162906434304669615937737403506009374371699216309697092182698635250970336717331474541784975476431600758718366214995522545629042926288975936565746456724441496609666609265559/1340955672723153751298921344692402145525706644592081657680690969489788787124294463240597572016056490141272541872435229047903657441990994124508538880585969995564136395344015915468262878622848,24888102298834159085620746890097743352669560426870534846683966563977840702230699373150648860030095659434761948461263897703155048848513888771070947332104000115204872448339777532798649025641/1340955672723153614899634536632047232054563587907340332830964520784801764003928276183612676384862007598806573584330291579496617904895068333080640035615262644422821098815310505049954174776448
18,29/128,15/64,59/256,116590514658977747912745200831919934569274315409887595726671903422269238093965687724932863601108853184745589628851545100216611556394266383477688246927577244468644593456044781759055680000/10487893505799064315554616031591473466746516102267965999194130878215359916121973690331999550882441423532941361654867465436543769240816443944165250115898516750898010595980113319804745861841,116590514658978667133686301921264437655560996404771148766545861232495645356361334747071062524425781617929714481892325657736457620693115346973093962174319761133145330539306896631744320000/10487893505799063151589179024952749888927643232241245616954553520571479951669925458766681808332622659771152586039478387410366867133054193253187170695199846975405555512713836557326563461841,4435692370550087417276769674894278158120596270197646253819872759835102559905634338459406990059491784114494110838130307391182509977649653140978845490831370541088497366393618745354381178159/1342450368742280232390990852043708603743554061090299647896848752411566069263612632362495942512952502212216494291823035575877602462824504824853152014835010144114945356285454504935007470315648,25411479382148332544701025670874597908839450772051952659072423758330922557284176306391777811459122706866156039721696071600633442581772957665743197853512776400448157821745119326189836421841/1342450368742280083403414915193951985782738333726879438970182850633149433813750458722135271466575700450707531013053233588526958993030936736407957848985580412851911105627371079337800123115648
19,15/64,31/128,61/256,120594393951841987762041312645961798478401686879671637516120207316469802347982559818144176224468852446382486984618472979786532035210450510012804061226778674268922130512778535847422656000/10499893014093958195219136664919943863131214289299584845679515203605206427081687957083541562445508579432522871003848104970265185386421097655963206786086427298879181238982580554201895113409,120594393951842992405590265850848467713880960947295541414060177720545653195498796200578797349270210177124560937091882698622010642931999869896786486708646893166965775084406276664945344000/10499893014093956924202514958907765877902099331033426108482099776760182949551105059791456012256539379674000237508971801289047262095502226819348693803660564080017675761681027825567600841409,4936189411741816238322151353763166342104201631298384756383871332902928273460079699638912994286504533704435463027316436442410915120516567625675713050941243007542851466653072034268204854591/1343986305804026648988049493109752814480795429030346860246977946061466422666456058506693319993025098167362927488492557436193943729461900499963290468619062694256535198589770310937842574516352,25935975439929859952118068987816369745278862332287255409481802524990026558574950973465542072963126282345944037456732786712664624390798210166137364102367366405389294972485031238680604873409/1343986305804026486297921914740194032371468714372278541885708771425303417542541447653306369568837040598272030401148390564998049548224285032876632806868552202242262497495171561672652907700352
20,31/128,1/4,63/256,376876519591412576776240079416241503077292169235943094961901728546490182982723818867476517493479269135388623928103007677578153021014147443272314431847469288186799126701067531332096/31794980763091959679956859792875483151514595259471096988417739050980783548856226477422005365386256912220419229794778487741833986429694797485229249582289332338711244792549217176484025,376876519591415896804820853254897454125689013350820042821190063976456710475382904708989157637466721288203473663003083946515302723091185122050485971154109913186799126701067531332096/31794980763091955483325711464535691222097520758399102459110206978583573408307719906138937690596517853406684918037343447084818175892405345601794000253676051088711244792549217176484025,16445213744608850147401870372403429242378802402729619166705682202969959872932422337614988873779089537109324633002406494988169600260116075253626997694186736549199043425187426834024263/4069757537675770839034478053488061843393868193212300414517470598525540294253596989110016686769440884764213661413731646430954750263000934078109343946533034539355039333446299798589955200,80035175270793190274342780681162565350185714467304067940222535167570032349156731708889549868192258178296729546901738192238776924448077041224256204561402119976621533010285861186992313/4069757537675770301865691067460568476428482657075085114766106493258697396263388147985784024396354285236055669508779961226856726514227884237029632032470534539355039333446299798589955200
