index,s,value_lower,value_upper
1591,1591/32,1996233/250000000000000000000000000000,255517929/32000000000000000000000000000000
1592,199/4,247656367/32000000000000000000000000000000,30957059/4000000000000000000000000000000
1593,1593/32,240036781/32000000000000000000000000000000,120018443/16000000000000000000000000000000
1594,797/16,1861213/256000000000000000000000000000,23265173/3200000000000000000000000000000
1595,1595/32,225493687/32000000000000000000000000000000,225493791/32000000000000000000000000000000
1596,399/8,8742239/1280000000000000000000000000000,218556079/32000000000000000000000000000000
1597,1597/32,105915857/16000000000000000000000000000000,105915909/16000000000000000000000000000000
1598,799/16,205314337/32000000000000000000000000000000,205314441/32000000000000000000000000000000
1599,1599/32,99498739/16000000000000000000000000000000,99498791/16000000000000000000000000000000
1600,50,192874969/32000000000000000000000000000000,192875073/32000000000000000000000000000000
1601,1601/32,18694083/3200000000000000000000000000000,93470467/16000000000000000000000000000000
1602,801/16,36237853/6400000000000000000000000000000,181189369/32000000000000000000000000000000
1603,1603/32,175614657/32000000000000000000000000000000,175614761/32000000000000000000000000000000
1604,401/8,85105781/16000000000000000000000000000000,85105833/16000000000000000000000000000000
1605,1605/32,82487351/16000000000000000000000000000000,82487403/16000000000000000000000000000000
1606,803/16,39974741/8000000000000000000000000000000,39974767/8000000000000000000000000000000
1607,1607/32,15497939/3200000000000000000000000000000,77489747/16000000000000000000000000000000
1608,201/4,6008447/1280000000000000000000000000000,150211279/32000000000000000000000000000000
1609,1609/32,72794831/16000000000000000000000000000000,145589767/32000000000000000000000000000000
1610,805/16,141110339/32000000000000000000000000000000,141110443/32000000000000000000000000000000
1611,1611/32,13676883/3200000000000000000000000000000,68384467/16000000000000000000000000000000
1612,403/8,26512179/6400000000000000000000000000000,132560999/32000000000000000000000000000000
1613,1613/32,5139297/1280000000000000000000000000000,128482529/32000000000000000000000000000000
1614,807/16,31132359/8000000000000000000000000000000,6226477/1600000000000000000000000000000
1615,1615/32,30174517/8000000000000000000000000000000,30174543/8000000000000000000000000000000
1616,101/2,58492289/16000000000000000000000000000000,58492341/16000000000000000000000000000000
1617,1617/32,5669267/1600000000000000000000000000000,28346361/8000000000000000000000000000000
1618,809/16,109896839/32000000000000000000000000000000,109896943/32000000000000000000000000000000
1619,1619/32,26628917/8000000000000000000000000000000,26628943/8000000000000000000000000000000
1620,405/8,4129541/1280000000000000000000000000000,103238629/32000000000000000000000000000000
1621,1621/32,100062209/32000000000000000000000000000000,100062313/32000000000000000000000000000000
1622,811/16,48491809/16000000000000000000000000000000,48491861/16000000000000000000000000000000
1623,1623/32,18799949/6400000000000000000000000000000,93999849/32000000000000000000000000000000
1624,203/4,22776919/8000000000000000000000000000000,4555389/1600000000000000000000000000000
1625,1625/32,88304587/32000000000000000000000000000000,88304691/32000000000000000000000000000000
1626,813/16,4279387/1600000000000000000000000000000,21396961/8000000000000000000000000000000
1627,1627/32,41477241/16000000000000000000000000000000,41477293/16000000000000000000000000000000
1628,407/8,251257/100000000000000000000000000000,10050293/4000000000000000000000000000000
1629,1629/32,77928523/32000000000000000000000000000000,77928627/32000000000000000000000000000000
1630,815/16,37765457/16000000000000000000000000000000,37765509/16000000000000000000000000000000
1631,1631/32,2287721/1000000000000000000000000000000,9150897/4000000000000000000000000000000
1632,51,70954727/32000000000000000000000000000000,70954831/32000000000000000000000000000000
1633,1633/32,68771679/32000000000000000000000000000000,68771783/32000000000000000000000000000000
1634,817/16,16663949/8000000000000000000000000000000,666559/320000000000000000000000000000
1635,1635/32,16151253/8000000000000000000000000000000,16151279/8000000000000000000000000000000
1636,409/8,15654331/8000000000000000000000000000000,15654357/8000000000000000000000000000000
1637,1637/32,60690791/32000000000000000000000000000000,12138179/6400000000000000000000000000000
1638,819/16,58823531/32000000000000000000000000000000,11764727/6400000000000000000000000000000
1639,1639/32,57013721/32000000000000000000000000000000,2280553/1280000000000000000000000000000
1640,205/4,55259593/32000000000000000000000000000000,55259697/32000000000000000000000000000000
1641,1641/32,26779717/16000000000000000000000000000000,26779769/16000000000000000000000000000000
1642,821/16,51911583/32000000000000000000000000000000,51911687/32000000000000000000000000000000
1643,1643/32,50314431/32000000000000000000000000000000,10062907/6400000000000000000000000000000
1644,411/8,24383209/16000000000000000000000000000000,24383261/16000000000000000000000000000000
1645,1645/32,47266033/32000000000000000000000000000000,47266137/32000000000000000000000000000000
1646,823/16,4581181/3200000000000000000000000000000,22905957/16000000000000000000000000000000
1647,1647/32,5550291/4000000000000000000000000000000,173447/125000000000000000000000000000
