index,s,value_lower,value_upper
0,0,1/4,1/4
1,1/32,7287640730063971386604870145973/32000000000000000000000000000000,7287640730063971386604870145981/32000000000000000000000000000000
2,1/16,1661300850210629908841785825291/8000000000000000000000000000000,1661300850210629908841785825297/8000000000000000000000000000000
3,3/32,189541624466208414796483184947/1000000000000000000000000000000,3032665991459334636743730959169/16000000000000000000000000000000
4,1/8,5541494003849418836092728686111/32000000000000000000000000000000,5541494003849418836092728686159/32000000000000000000000000000000
5,5/32,79185667917290367635580081483/500000000000000000000000000000,5067882746706583528677125214969/32000000000000000000000000000000
6,3/16,4639331693242737394841231376761/32000000000000000000000000000000,4639331693242737394841231376827/32000000000000000000000000000000
7,7/32,850247922107538365151884164149/6400000000000000000000000000000,2125619805268845912879710410409/16000000000000000000000000000000
8,1/4,1949752448188841605699167499629/16000000000000000000000000000000,3899504896377683211398334999333/32000000000000000000000000000000
9,9/32,1790233992537453376030168932367/16000000000000000000000000000000,223779249067181672003771116551/2000000000000000000000000000000
10,5/16,1645430388079266786522257959619/16000000000000000000000000000000,102839399254954174157641122479/1000000000000000000000000000000
11,11/32,605552437394239789669171147203/6400000000000000000000000000000,189235136685699934271615983507/2000000000000000000000000000000
12,3/8,697139762446499760155793910537/8000000000000000000000000000000,2788559049785999040623175642247/32000000000000000000000000000000
13,13/32,642727919319476629758494054549/8000000000000000000000000000000,321363959659738314879247027287/4000000000000000000000000000000
14,7/16,2372723509323339071541907042207/32000000000000000000000000000000,593180877330834767885476760577/8000000000000000000000000000000
15,15/32,274014291390343128290375918549/4000000000000000000000000000000,1096057165561372513161503674247/16000000000000000000000000000000
16,1/2,2027396619227111192373011033999/32000000000000000000000000000000,2027396619227111192373011034101/32000000000000000000000000000000
17,17/32,375410925929304987035847658591/6400000000000000000000000000000,1877054629646524935179238293059/32000000000000000000000000000000
18,9/16,434931473017514169571628200403/8000000000000000000000000000000,1739725892070056678286512801717/32000000000000000000000000000000
19,19/32,1614184817399376528188881972743/32000000000000000000000000000000,1614184817399376528188881972849/32000000000000000000000000000000
20,5/8,749664081605984219528378529469/16000000000000000000000000000000,299865632642393687811351411809/6400000000000000000000000000000
21,21/32,34854053355332026886552617543/800000000000000000000000000000,348540533553320268865526175457/8000000000000000000000000000000
22,11/16,1297790922890030482284375527691/32000000000000000000000000000000,6488954614450152411421877639/160000000000000000000000000000
23,23/32,37793953750743283929664468313/1000000000000000000000000000000,604703260011892542874631493063/16000000000000000000000000000000
24,3/4,1128279645968209836073503871437/32000000000000000000000000000000,564139822984104918036751935773/16000000000000000000000000000000
25,25/32,1053751672068345950608891257501/32000000000000000000000000000000,105375167206834595060889125761/3200000000000000000000000000000
26,13/16,985227417679453557145223206871/32000000000000000000000000000000,985227417679453557145223206981/32000000000000000000000000000000
27,27/32,92216872224806348163816829347/3200000000000000000000000000000,922168722248063481638168293581/32000000000000000000000000000000
28,7/8,864088704126451177282933670493/32000000000000000000000000000000,172817740825290235456586734121/6400000000000000000000000000000
29,29/32,810546628443118207042415913447/32000000000000000000000000000000,20263665711077955176060397839/800000000000000000000000000000
30,15/16,95142914456576848800496505363/4000000000000000000000000000000,761143315652614790403972043017/32000000000000000000000000000000
31,31/32,178879257629130368045013334271/8000000000000000000000000000000,715517030516521472180053337197/32000000000000000000000000000000
32,1,67333979837771144656821431243/3200000000000000000000000000000,21041868699303482705256697267/1000000000000000000000000000000
33,33/32,317157050907658698258282722403/16000000000000000000000000000000,15857852545382934912914136123/800000000000000000000000000000
34,17/16,119633983244660971592545322849/6400000000000000000000000000000,299084958111652428981363307179/16000000000000000000000000000000
35,35/32,141165511910218343683756584081/8000000000000000000000000000000,282331023820436687367513168219/16000000000000000000000000000000
36,9/8,66695967545545208567992148057/4000000000000000000000000000000,533567740364361668543937184571/32000000000000000000000000000000
37,37/32,100936905112537622680323674761/6400000000000000000000000000000,3154278284766800708760114837/200000000000000000000000000000
38,19/16,59728535670803728296936943981/4000000000000000000000000000000,477828285366429826375495551963/32000000000000000000000000000000
39,39/32,452831509760663298473769693887/32000000000000000000000000000000,226415754880331649236884847001/16000000000000000000000000000000
40,5/4,429541726132472458984006049169/32000000000000000000000000000000,107385431533118114746001512321/8000000000000000000000000000000
41,41/32,509775104434981922479430119/40000000000000000000000000000,81564016709597107596708819063/6400000000000000000000000000000
42,21/16,193770037898900368516370978569/16000000000000000000000000000000,387540075797800737032741957253/32000000000000000000000000000000
43,43/32,184293194492891275182621339401/16000000000000000000000000000000,368586388985782550365242678917/32000000000000000000000000000000
44,11/8,175426930486194682743004384021/16000000000000000000000000000000,350853860972389365486008768157/32000000000000000000000000000000
45,45/32,66849308268854355463307621749/6400000000000000000000000000000,167123270672135888658269054427/16000000000000000000000000000000
46,23/16,7966921044702284361322595041/800000000000000000000000000000,318676841788091374452903801749/32000000000000000000000000000000
47,47/32,76016191954221242478025991431/8000000000000000000000000000000,304064767816884969912103965833/32000000000000000000000000000000
48,3/2,7258430593700787537331031913/800000000000000000000000000000,290337223748031501493241276629/32000000000000000000000000000000
49,49/32,138713691838563658183063193559/16000000000000000000000000000000,277427383677127316366126387227/32000000000000000000000000000000
50,25/16,66318530486058230871913424423/8000000000000000000000000000000,265274121944232923487653697801/32000000000000000000000000000000
51,51/32,126910748629438485918017012949/16000000000000000000000000000000,253821497258876971836034026007/32000000000000000000000000000000
52,13/8,243018285247410675244813103631/32000000000000000000000000000000,12150914262370533762240655187/1600000000000000000000000000000
53,53/32,46563510943830639488125254991/6400000000000000000000000000000,29102194339894149680078284383/4000000000000000000000000000000
54,27/16,111588141711797826041034318393/16000000000000000000000000000000,44635256684719130416413727379/6400000000000000000000000000000
55,55/32,214055009496192863668222387671/32000000000000000000000000000000,10702750474809643183411119389/1600000000000000000000000000000
56,7/4,205417515170649183590092613283/32000000000000000000000000000000,12838594698165573974380788337/2000000000000000000000000000000
57,57/32,24653817459512882605577703763/4000000000000000000000000000000,197230539676103060844621630213/32000000000000000000000000000000
58,29/16,189463518542649289897675070319/32000000000000000000000000000000,47365879635662322474418767607/8000000000000000000000000000000
59,59/32,182088346812105012663372772397/32000000000000000000000000000000,91044173406052506331686386253/16000000000000000000000000000000
60,15/8,43769790974067328947462172511/8000000000000000000000000000000,175079163896269315789848690153/32000000000000000000000000000000
61,61/32,2105151975564907537734324991/400000000000000000000000000000,168412158045192603018745999389/32000000000000000000000000000000
62,31/16,162065388585857631021714285663/32000000000000000000000000000000,40516347146464407755428571443/8000000000000000000000000000000
63,63/32,156018624269569129254407567457/32000000000000000000000000000000,78009312134784564627203783783/16000000000000000000000000000000
64,2,150253196226373327283806091017/32000000000000000000000000000000,75126598113186663641903045563/16000000000000000000000000000000
65,65/32,144751864168864887639683849749/32000000000000000000000000000000,72375932084432443819841924929/16000000000000000000000000000000
66,33/16,69749347308729821658527474927/16000000000000000000000000000000,139498694617459643317054949963/32000000000000000000000000000000
67,67/32,26895790007221069796280690443/6400000000000000000000000000000,33619737509026337245350863081/8000000000000000000000000000000
68,17/8,129678987872794391376613063967/32000000000000000000000000000000,32419746968198597844153266019/8000000000000000000000000000000
69,69/32,15635771074289107583362468279/4000000000000000000000000000000,125086168594312860666899746341/32000000000000000000000000000000
70,35/16,6034438594523137349089737173/1600000000000000000000000000000,120688771890462746981794743569/32000000000000000000000000000000
71,71/32,11647592030046846877894040363/3200000000000000000000000000000,116475920300468468778940403739/32000000000000000000000000000000
72,9/4,112437509584265450809898439261/32000000000000000000000000000000,11243750958426545080989843937/3200000000000000000000000000000
73,73/32,54282072612309070874604415843/16000000000000000000000000000000,21712829044923628349841766359/6400000000000000000000000000000
74,37/16,104847084503199832129960159579/32000000000000000000000000000000,13105885562899979016245019961/4000000000000000000000000000000
75,75/32,101278183645488848878300513783/32000000000000000000000000000000,25319545911372212219575128473/8000000000000000000000000000000
76,19/8,3057807799254207945918001117/1000000000000000000000000000000,97849849576134654269376035853/32000000000000000000000000000000
77,77/32,18910999173761386304487263009/6400000000000000000000000000000,47277497934403465761218157577/16000000000000000000000000000000
78,39/16,18277400502579036111463773721/6400000000000000000000000000000,45693501256447590278659434357/16000000000000000000000000000000
79,79/32,44169839577082861618957158601/16000000000000000000000000000000,88339679154165723237914317311/32000000000000000000000000000000
80,5/2,85407231497957875339133599791/32000000000000000000000000000000,854072314979578753391335999/320000000000000000000000000000
81,81/32,82584230592026630201262465121/32000000000000000000000000000000,8258423059202663020126246523/3200000000000000000000000000000
82,41/16,15973116946399838471542034191/6400000000000000000000000000000,9983198091499899044713771383/4000000000000000000000000000000
83,83/32,9655814219482814277010303173/4000000000000000000000000000000,77246513755862514216082425493/32000000000000000000000000000000
84,21/8,74722525515168726335126216257/32000000000000000000000000000000,37361262757584363167563108183/16000000000000000000000000000000
85,85/32,18072348582485604978276096599/8000000000000000000000000000000,14457878865988483982620877301/6400000000000000000000000000000
86,43/16,69943141251785188791226854301/32000000000000000000000000000000,4371446328236574299451678401/2000000000000000000000000000000
87,87/32,67680015975567441914074273097/32000000000000000000000000000000,16920003993891860478518568303/8000000000000000000000000000000
88,11/4,65496480254527612680049321461/32000000000000000000000000000000,8187060031815951585006165197/4000000000000000000000000000000
89,89/32,63389192686702118135687910859/32000000000000000000000000000000,31694596343351059067843955487/16000000000000000000000000000000
90,45/16,61354994752510083576575272181/32000000000000000000000000000000,7669374344063760447071909037/4000000000000000000000000000000
91,91/32,59390897994127325010034473969/32000000000000000000000000000000,59390897994127325010034474077/32000000000000000000000000000000
92,23/8,11498814447421198550135916743/6400000000000000000000000000000,57494072237105992750679583823/32000000000000000000000000000000
93,93/32,55661834763621549956527045107/32000000000000000000000000000000,11132366952724309991305409043/6400000000000000000000000000000
94,47/16,53891640354840576799257256901/32000000000000000000000000000000,53891640354840576799257257009/32000000000000000000000000000000
95,95/32,6522634015909569784480824611/4000000000000000000000000000000,13045268031819139568961649249/8000000000000000000000000000000
96,3,50527833094704522102116607219/32000000000000000000000000000000,50527833094704522102116607327/32000000000000000000000000000000
97,97/32,48929738393300911084716519937/32000000000000000000000000000000,9785947678660182216943304009/6400000000000000000000000000000
98,49/16,47384708113218369313974897937/32000000000000000000000000000000,9476941622643673862794979609/6400000000000000000000000000000
99,99/32,45890760684846918981116419571/32000000000000000000000000000000,45890760684846918981116419679/32000000000000000000000000000000
100,25/8,44446006772599291374327522547/32000000000000000000000000000000,8889201354519858274865504531/6400000000000000000000000000000
101,101/32,43048643633230652893126907669/32000000000000000000000000000000,43048643633230652893126907777/32000000000000000000000000000000
102,51/16,41696949899499458887528679899/32000000000000000000000000000000,41696949899499458887528680007/32000000000000000000000000000000
103,103/32,10097320188357747524738214449/8000000000000000000000000000000,2524330047089436881184553619/2000000000000000000000000000000
104,13/4,9781015864147354292453230333/8000000000000000000000000000000,244525396603683857311330759/200000000000000000000000000000
105,105/32,1515991728305050402235182947/1280000000000000000000000000000,37899793207626260055879573783/32000000000000000000000000000000
106,53/16,9178757324994629292888909407/8000000000000000000000000000000,4589378662497314646444454717/4000000000000000000000000000000
107,107/32,3556839155496182825762047271/3200000000000000000000000000000,17784195777480914128810236409/16000000000000000000000000000000
108,27/8,17229278503831979723959557871/16000000000000000000000000000000,689171140153279188958382317/640000000000000000000000000000
109,109/32,33384256825010872470452376027/32000000000000000000000000000000,6676851365002174494090475227/6400000000000000000000000000000
110,55/16,646885468743382324621808521/640000000000000000000000000000,16172136718584558115545213079/16000000000000000000000000000000
111,111/32,15668718932540057929992619621/16000000000000000000000000000000,626748757301602317199704787/640000000000000000000000000000
112,7/2,59302006305485431888181239/62500000000000000000000000000,7590656807102135281687198619/8000000000000000000000000000000
113,113/32,29418762419541408258383926899/32000000000000000000000000000000,29418762419541408258383927007/32000000000000000000000000000000
114,57/16,28504805930508809146896516797/32000000000000000000000000000000,5700961186101761829379303381/6400000000000000000000000000000
115,115/32,27619759820821989416972265851/32000000000000000000000000000000,27619759820821989416972265959/32000000000000000000000000000000
116,29/8,26762663815249748379335651429/32000000000000000000000000000000,26762663815249748379335651537/32000000000000000000000000000000
117,117/32,1037303740859550129227412389/1280000000000000000000000000000,25932593521488753230685309833/32000000000000000000000000000000
118,59/16,5025731751707095950726429631/6400000000000000000000000000000,25128658758535479753632148263/32000000000000000000000000000000
119,119/32,380468781052257942862607337/500000000000000000000000000000,6087500496836127085801717419/8000000000000000000000000000000
120,15/4,2949474604508318035926408463/4000000000000000000000000000000,5898949209016636071852816953/8000000000000000000000000000000
121,121/32,4573049342561182712239824381/6400000000000000000000000000000,22865246712805913561199122013/32000000000000000000000000000000
122,61/16,2215758349942697599265679301/3200000000000000000000000000000,11078791749713487996328396559/16000000000000000000000000000000
123,123/32,21472066320476960251660567167/32000000000000000000000000000000,858882652819078410066422691/1280000000000000000000000000000
124,31/8,2080798038178376682182301639/3200000000000000000000000000000,10403990190891883410911508249/16000000000000000000000000000000
125,125/32,2016463587373549798340140003/3200000000000000000000000000000,10082317936867748991700700069/16000000000000000000000000000000
126,63/16,19541366934657672501082212347/32000000000000000000000000000000,3908273386931534500216442491/6400000000000000000000000000000
127,127/32,18937530670077738663138076083/32000000000000000000000000000000,18937530670077738663138076191/32000000000000000000000000000000
128,4,4588126556001942997706985757/8000000000000000000000000000000,573515819500242874713373223/1000000000000000000000000000000
129,129/32,4446423474672002241783479297/8000000000000000000000000000000,1111605868668000560445869831/2000000000000000000000000000000
130,65/16,3447302863903748608363030239/6400000000000000000000000000000,8618257159759371520907575651/16000000000000000000000000000000
131,131/32,4176101910542119172933043247/8000000000000000000000000000000,3340881528433695338346434619/6400000000000000000000000000000
132,33/8,16188832799084252613170077371/32000000000000000000000000000000,8094416399542126306585038739/16000000000000000000000000000000
133,133/32,313785335656955061237813583/640000000000000000000000000000,1961158347855969132736334907/4000000000000000000000000000000
134,67/16,7602601982009928515833239073/16000000000000000000000000000000,3801300991004964257916619563/8000000000000000000000000000000
135,135/32,7368077720649258815557330141/16000000000000000000000000000000,3684038860324629407778665097/8000000000000000000000000000000
136,17/4,7140824210990778795502371007/16000000000000000000000000000000,357041210549538939775118553/800000000000000000000000000000
137,137/32,2768245126175727408970009809/6400000000000000000000000000000,13841225630878637044850049151/32000000000000000000000000000000
138,69/16,838402796622278819773654269/2000000000000000000000000000000,1341444474595646111637846841/3200000000000000000000000000000
139,139/32,6500438929564695831939191507/16000000000000000000000000000000,162510973239117395798479789/400000000000000000000000000000
140,35/8,12600110960725033633715487483/32000000000000000000000000000000,12600110960725033633715487589/32000000000000000000000000000000
141,141/32,6105871723131008177056514631/16000000000000000000000000000000,1526467930782752044264128671/4000000000000000000000000000000
142,71/16,11835387644275935077781891507/32000000000000000000000000000000,11835387644275935077781891613/32000000000000000000000000000000
143,143/32,2867667091005008443270492971/8000000000000000000000000000000,1147066836402003377308197199/3200000000000000000000000000000
144,9/2,5558611230975201631921592983/16000000000000000000000000000000,1389652807743800407980398259/4000000000000000000000000000000
145,145/32,10774698425981883280618051081/32000000000000000000000000000000,10774698425981883280618051187/32000000000000000000000000000000
146,73/16,10442755976571079640746951033/32000000000000000000000000000000,10442755976571079640746951139/32000000000000000000000000000000
147,147/32,126513321046843418021264703/400000000000000000000000000000,5060532841873736720850588173/16000000000000000000000000000000
148,37/8,4904654299636497648292684793/16000000000000000000000000000000,2452327149818248824146342423/8000000000000000000000000000000
149,149/32,1188396987895638575832780353/4000000000000000000000000000000,950717590316510860666224293/3200000000000000000000000000000
150,75/16,1842873712773759346239033537/6400000000000000000000000000000,9214368563868796731195167791/32000000000000000000000000000000
151,151/32,2232649252852312249814351433/8000000000000000000000000000000,4465298505704624499628702919/16000000000000000000000000000000
152,19/4,4327790411449913282661526731/16000000000000000000000000000000,16905431294726223760396589/62500000000000000000000000000
153,153/32,8389048419819368234934320733/32000000000000000000000000000000,8389048419819368234934320839/32000000000000000000000000000000
154,77/16,8130736776509348659013610687/32000000000000000000000000000000,8130736776509348659013610793/32000000000000000000000000000000
155,155/32,985048892421885273748491193/4000000000000000000000000000000,157607822787501643799758593/640000000000000000000000000000
156,39/8,7637764756306308270537992383/32000000000000000000000000000000,7637764756306308270537992489/32000000000000000000000000000000
157,157/32,7402618615861311129037114309/32000000000000000000000000000000,1480523723172262225807422883/6400000000000000000000000000000
158,79/16,1793680298946352956463919089/8000000000000000000000000000000,3587360597892705912927838231/16000000000000000000000000000000
159,159/32,6953848220459401425738887573/32000000000000000000000000000000,6953848220459401425738887679/32000000000000000000000000000000
160,5,6739782426896421916330297849/32000000000000000000000000000000,1347956485379284383266059591/6400000000000000000000000000000
161,161/32,3266156669463547017313168387/16000000000000000000000000000000,81653916736588675432829211/400000000000000000000000000000
162,81/16,6331237049232473163412048707/32000000000000000000000000000000,6331237049232473163412048813/32000000000000000000000000000000
163,163/32,6136356008902808995869669433/32000000000000000000000000000000,6136356008902808995869669539/32000000000000000000000000000000
164,41/8,5947478824217204166817649319/32000000000000000000000000000000,237899152968688166672705977/1280000000000000000000000000000
165,165/32,1441105015088803558848624669/8000000000000000000000000000000,2882210030177607117697249391/16000000000000000000000000000000
166,83/16,5587000051766300150721065451/32000000000000000000000000000000,5587000051766300150721065557/32000000000000000000000000000000
167,167/32,5415044718936920447664927307/32000000000000000000000000000000,5415044718936920447664927413/32000000000000000000000000000000
168,21/4,5248385391308012359185552749/32000000000000000000000000000000,1049677078261602471837110571/6400000000000000000000000000000
169,169/32,508685863610773054475992587/3200000000000000000000000000000,635857329513466318094990747/4000000000000000000000000000000
170,85/16,246515304643782742838504421/1600000000000000000000000000000,2465153046437827428385044263/16000000000000000000000000000000
171,171/32,955714862693060911619379543/6400000000000000000000000000000,4778574313465304558096897821/32000000000000000000000000000000
172,43/8,2315757303660880319123891089/16000000000000000000000000000000,1157878651830440159561945571/8000000000000000000000000000000
173,173/32,4488982891840550686555715411/32000000000000000000000000000000,4488982891840550686555715517/32000000000000000000000000000000
174,87/16,4350839547622738271199278093/32000000000000000000000000000000,4350839547622738271199278199/32000000000000000000000000000000
175,175/32,843389855689884636396063327/6400000000000000000000000000000,4216949278449423181980316741/32000000000000000000000000000000
176,11/2,510897621975829867336797623/4000000000000000000000000000000,408718097580663893869438109/3200000000000000000000000000000
177,177/32,1980703793899482572358675959/16000000000000000000000000000000,495175948474870643089669003/4000000000000000000000000000000
178,89/16,3839505992297087140079221661/32000000000000000000000000000000,3839505992297087140079221767/32000000000000000000000000000000
179,179/32,930339218542765965509949613/8000000000000000000000000000000,1860678437085531931019899279/16000000000000000000000000000000
180,45/8,3606844606467234288344985489/32000000000000000000000000000000,721368921293446857668997119/6400000000000000000000000000000
181,181/32,699171427078505703504997729/6400000000000000000000000000000,3495857135392528517524988751/32000000000000000000000000000000
182,91/16,211767866810967161754346259/2000000000000000000000000000000,13553143475901898352278161/128000000000000000000000000000
183,183/32,82100639231960696107794371/800000000000000000000000000000,1642012784639213922155887473/16000000000000000000000000000000
184,23/4,795743562010128901565950789/8000000000000000000000000000000,1591487124020257803131901631/16000000000000000000000000000000
185,185/32,1542516532817752059765492839/16000000000000000000000000000000,385629133204438014941373223/4000000000000000000000000000000
186,93/16,747526558308318462646912223/8000000000000000000000000000000,1495053116616636925293824499/16000000000000000000000000000000
187,187/32,724525229514462112366004721/8000000000000000000000000000000,289810091805784844946401899/3200000000000000000000000000000
188,47/8,702231787909744057805835811/8000000000000000000000000000000,56178543032779524624466867/640000000000000000000000000000
189,189/32,680624435239530960840095503/8000000000000000000000000000000,1361248870479061921680191059/16000000000000000000000000000000
190,95/16,527745636478684380718973401/6400000000000000000000000000000,2638728182393421903594867111/32000000000000000000000000000000
191,191/32,2557536578371612912225817137/32000000000000000000000000000000,2557536578371612912225817243/32000000000000000000000000000000
192,6,2478843556638402928504185949/32000000000000000000000000000000,495768711327680585700837211/6400000000000000000000000000000
193,193/32,2402572192061819847276734917/32000000000000000000000000000000,2402572192061819847276735023/32000000000000000000000000000000
194,97/16,291080991360780176630551663/4000000000000000000000000000000,232864793088624141304441341/3200000000000000000000000000000
195,195/32,141062407334855219455253921/2000000000000000000000000000000,1128499258678841755642031421/16000000000000000000000000000000
196,49/8,1093776961321870668800782879/16000000000000000000000000000000,273444240330467667200195733/4000000000000000000000000000000
197,197/32,2120246275974259777402793411/32000000000000000000000000000000,2120246275974259777402793517/32000000000000000000000000000000
198,99/16,513752449482845311833972461/8000000000000000000000000000000,41100195958627624946717799/640000000000000000000000000000
199,199/32,124486295988755338257035023/2000000000000000000000000000000,995890367910042706056280237/16000000000000000000000000000000
200,25/4,1930497301052701233192362851/32000000000000000000000000000000,1930497301052701233192362957/32000000000000000000000000000000
201,201/32,187109960848314297925129613/3200000000000000000000000000000,467774902120785744812824059/8000000000000000000000000000000
202,101/16,113345601101800189167673449/2000000000000000000000000000000,181352961762880302668277529/3200000000000000000000000000000
203,203/32,1757731075720130068537933277/32000000000000000000000000000000,1757731075720130068537933383/32000000000000000000000000000000
204,51/8,1703649462519935997756690291/32000000000000000000000000000000,1703649462519935997756690397/32000000000000000000000000000000
205,205/32,1651231936856412222919612041/32000000000000000000000000000000,1651231936856412222919612147/32000000000000000000000000000000
206,103/16,320085456963140048714402241/6400000000000000000000000000000,1600427284815700243572011311/32000000000000000000000000000000
207,207/32,1551185869541655452629771923/32000000000000000000000000000000,387796467385413863157443007/8000000000000000000000000000000
208,13/2,60138383303686824899818249/1280000000000000000000000000000,150345958259217062249545633/3200000000000000000000000000000
209,209/32,291440359360617888952496997/6400000000000000000000000000000,145720179680308944476248509/3200000000000000000000000000000
210,105/16,1412367320612343719894953961/32000000000000000000000000000000,706183660306171859947477033/16000000000000000000000000000000
211,211/32,684456176899246524887045553/16000000000000000000000000000000,1368912353798493049774091211/32000000000000000000000000000000
212,53/8,10614355556714685836906259/256000000000000000000000000000,16584930557366696620166031/400000000000000000000000000000
213,213/32,1285972448097696375672268357/32000000000000000000000000000000,642986224048848187836134231/16000000000000000000000000000000
214,107/16,155800810755360241687577887/4000000000000000000000000000000,1246406486042881933500623201/32000000000000000000000000000000
215,215/32,120805790771763523286801107/3200000000000000000000000000000,48322316308705409314720447/1280000000000000000000000000000
216,27/4,117088925216170621660784733/3200000000000000000000000000000,234177850432341243321569487/6400000000000000000000000000000
217,217/32,1134864211504407287897190023/32000000000000000000000000000000,70929013219025455493574383/2000000000000000000000000000000
218,109/16,68746724714982669269751753/2000000000000000000000000000000,1099947595439722708316028153/32000000000000000000000000000000
219,219/32,1066105296798704356406464973/32000000000000000000000000000000,533052648399352178203232539/16000000000000000000000000000000
220,55/8,258326064546252263404086727/8000000000000000000000000000000,1033304258185009053616347013/32000000000000000000000000000000
221,221/32,1001512439640517628835458169/32000000000000000000000000000000,500756219820258814417729137/16000000000000000000000000000000
222,111/16,485349393654512197103571591/16000000000000000000000000000000,970698787309024394207143287/32000000000000000000000000000000
223,223/32,940833203066999141179856757/32000000000000000000000000000000,470416601533499570589928431/16000000000000000000000000000000
224,7,28496453596606358338224609/1000000000000000000000000000000,911886515091403466823187599/32000000000000000000000000000000
225,225/32,88383044933549047284994937/3200000000000000000000000000000,883830449335490472849949481/32000000000000000000000000000000
226,113/16,214159400471108212676844711/8000000000000000000000000000000,171327520376886570141475791/6400000000000000000000000000000
227,227/32,415140706081755113451119473/16000000000000000000000000000000,830281412163510226902239057/32000000000000000000000000000000
228,57/8,402368068486221746197238863/16000000000000000000000000000000,804736136972443492394477837/32000000000000000000000000000000
229,229/32,779976825320292728161572793/32000000000000000000000000000000,389988412660146364080786449/16000000000000000000000000000000
230,115/16,188994823509034317317494521/8000000000000000000000000000000,755979294036137269269978189/32000000000000000000000000000000
231,231/32,366360052065766190842438913/16000000000000000000000000000000,732720104131532381684877931/32000000000000000000000000000000
232,29/4,22193016809108996191021759/1000000000000000000000000000000,710176537891487878112696393/32000000000000000000000000000000
233,233/32,344163288335720325517624747/16000000000000000000000000000000,688326576671440651035249599/32000000000000000000000000000000
234,117/16,166787219844599098915916679/8000000000000000000000000000000,667148879378396395663666821/32000000000000000000000000000000
235,235/32,25864910464603861639350711/1280000000000000000000000000000,16165569040377413524594197/800000000000000000000000000000
236,59/8,313364087733362689337057471/16000000000000000000000000000000,626728175466725378674115047/32000000000000000000000000000000
237,237/32,151861422477577580398978683/8000000000000000000000000000000,607445689910310321595914837/32000000000000000000000000000000
238,119/16,588756471827585850384854839/32000000000000000000000000000000,18398639744612057824526717/1000000000000000000000000000000
239,239/32,570642267602689704988715709/32000000000000000000000000000000,285321133801344852494357907/16000000000000000000000000000000
240,15/2,553085385286638907730274833/32000000000000000000000000000000,276542692643319453865137469/16000000000000000000000000000000
241,241/32,268034338655546950126544803/16000000000000000000000000000000,536068677311093900253089711/32000000000000000000000000000000
242,121/16,129893880933615512264442003/8000000000000000000000000000000,519575523734462049057768117/32000000000000000000000000000000
243,243/32,100717963200783522169353817/6400000000000000000000000000000,50358981600391761084676919/3200000000000000000000000000000
244,61/8,488095941217424515291802789/32000000000000000000000000000000,244047970608712257645901447/16000000000000000000000000000000
245,245/32,473078766870341563992830261/32000000000000000000000000000000,236539383435170781996415183/16000000000000000000000000000000
246,123/16,229261813035833692641446061/16000000000000000000000000000000,458523626071667385282892227/32000000000000000000000000000000
247,247/32,222208151607722615555560739/16000000000000000000000000000000,444416303215445231111121583/32000000000000000000000000000000
248,31/4,215371510046647971150837623/16000000000000000000000000000000,430743020093295942301675351/32000000000000000000000000000000
249,249/32,16699616897379264498272353/1280000000000000000000000000000,41749042243448161245680893/3200000000000000000000000000000
250,125/16,40464556686032310243589803/3200000000000000000000000000000,80929113372064620487179627/6400000000000000000000000000000
251,251/32,12256122132506313580050263/1000000000000000000000000000000,392195908240202034561608521/32000000000000000000000000000000
252,63/8,380129287436772651082806231/32000000000000000000000000000000,5939520116199572673168849/500000000000000000000000000000
253,253/32,184216959714195681467159993/16000000000000000000000000000000,368433919428391362934320091/32000000000000000000000000000000
254,127/16,178549190898571168207581431/16000000000000000000000000000000,357098381797142336415162967/32000000000000000000000000000000
255,255/32,346111603571196447528359609/32000000000000000000000000000000,173055801785598223764179857/16000000000000000000000000000000
256,8,41932856801323592990188683/4000000000000000000000000000000,335462854410588743921509569/32000000000000000000000000000000
257,257/32,162570867062918273872691573/16000000000000000000000000000000,325141734125836547745383251/32000000000000000000000000000000
258,129/16,315138162519146852471677207/32000000000000000000000000000000,2462016894680834784934979/250000000000000000000000000000
259,259/32,305442369538278044458422761/32000000000000000000000000000000,152721184769139022229211433/16000000000000000000000000000000
260,65/8,148022442866713768225573357/16000000000000000000000000000000,296044885733427536451146819/32000000000000000000000000000000
261,261/32,57387306601562789050942047/6400000000000000000000000000000,14346826650390697262735517/1600000000000000000000000000000
262,131/16,139054207826455139631048109/16000000000000000000000000000000,278108415652910279262096323/32000000000000000000000000000000
263,263/32,134775955829781756639758023/16000000000000000000000000000000,269551911659563513279516151/32000000000000000000000000000000
264,33/4,261258664296506198539634897/32000000000000000000000000000000,130629332148253099269817501/16000000000000000000000000000000
265,265/32,50644114789605531237723909/6400000000000000000000000000000,5064411478960553123772393/640000000000000000000000000000
266,133/16,30678723775353261910472957/4000000000000000000000000000000,245429790202826095283783761/32000000000000000000000000000000
267,267/32,118939352093154467675351897/16000000000000000000000000000000,237878704186308935350703899/32000000000000000000000000000000
268,67/8,115279970564423472257463839/16000000000000000000000000000000,230559941128846944514927783/32000000000000000000000000000000
269,269/32,22346635316271876491449717/3200000000000000000000000000000,8938654126508750596579891/1280000000000000000000000000000
270,135/16,54147753085176554409999729/8000000000000000000000000000000,216591012340706217639999021/32000000000000000000000000000000
271,271/32,209927203869517682581950549/32000000000000000000000000000000,104963601934758841290975327/16000000000000000000000000000000
272,17/2,25433552443928381238371377/4000000000000000000000000000000,203468419551427049906971121/32000000000000000000000000000000
