id,covariance_1d,covariance_3d,difference_between_floating_methods,distance_of_1d_to_exact_midpoint,float_1d_inside_exact_interval,interpretation
central_N24,0.012037131325864939,0.012037131325864966,2.7755575615628914e-17,2.1542543184387457e-17,True,"floating containment is recorded, never an exact proof gate"
central_N32,0.012037131325864939,0.012037131325864966,2.7755575615628914e-17,2.154524865986016e-17,False,"floating containment is recorded, never an exact proof gate"
negative_eta,-0.012487850911774553,-0.012487850911774567,1.3877787807814457e-17,1.7952685378709926e-17,True,"floating containment is recorded, never an exact proof gate"
signed_mixed,0.0190259911848897,0.0190259911848897,0.0,3.672621862300928e-16,True,"floating containment is recorded, never an exact proof gate"
conditional_h_zero,0.053257146397489866,0.05325714639748998,1.1102230246251565e-16,1.1562194809024406e-16,False,"floating containment is recorded, never an exact proof gate"
