center,left,right,point_lower,transported_lower,status
17/128,1/8,9/64,351962107454880898620583864794305164005998743711838801925079886423453815908906900918458285624073203493569922474088276895855287314573038368798199705179053144131648480000/54472431245739034975546612841082336645342741776310619916875443834935055551770076834321923478531482558744266259022474759653134000017704056543210891279666728427739638230961,-31946856368626657463829245494246806148958822178752936593670331103834011333600035175540593198590797535155791220680825038318395611885029600940126110148207327203314135510961/3486235599727298238434983221829269545301935473683879674680028405435843555313284917396603102626014883759633040577438384617800576001133059618765497041898670619375336846781504,insufficient
19/128,9/64,5/32,106394228250558561230458358079382915797344443878812905874286108604969656493724895017499036935242751774627598683330233206727764059495964051693633460538231979898419446016/14752591362841348748564668445749981514157593070394741134181167288102976124210984943073736270843570019504262300409462397700046923706571322769066746496639785569035828223025,-7943360754805600829815333528669474903127548662150715158226856337384918108612591661953797906988033905928095984676327472469470023898829623460674205022192938855536983678001/944165847221846319908138780527998816906085956505263432587594706438590471949503036356719121333988481248272787226205593452803003117220564657220271775784946276418293006273600,insufficient
21/128,5/32,11/64,73522152907489256258284337535616311648912982224389402490712693222631430908754333083845034425334165402918033607111628311123026875521334065383663040020404454540386175174400/9236018432966622906568225549680689536390143422584875256969094152932893241509698572913418237163367284941093458058695553372209616692418941110727726231504524052741075340833009,-4530600646887310506038027947401245590859712560223953497563481786684481663349421255547336033941980699154339307203551341460335896659053560926173291670198638962156360129671409/591105179709863866020366435179564130328969179045432016446022025787705167456620708666458767178455506236229981315756515415821415468314812231086574478816289539375428821813312576,insufficient
23/128,11/64,3/16,80560992112740572477505183294929868685631225942136840258716900949170091903490652240267208993366463695055492019530267418749356171192900566241015512563738123184588516384000/9252791337681854086992155506298986322383912002662989229837508010800915550470892957053121738479463324308770130938996717335515861532355097162072841566085250275948672552400841,-4096887842466457448431823775423474726503513542366231453279626350054029668647491213676020362904009647825218641689059602535557066576009460922647848762006010392135007503824841/592178645611638661567497952403135124632570368170431310709600512691258595230137149251399791262685652755761288380095789909473015138070726218372661860229456017660715043353653824,insufficient
25/128,3/16,13/64,87615028717604695531971291888199069195379410304754345365383945823498675301320389268491708270109082713154965190987392024227426429316433268180705409878972665267132305683200/9270692615923378895046358046283514753019202885657718214218450398825994497629359991662712165018686460849493457947528254238849413119488960417886148400048420895412325611916841,-3663330777996678381000195365438774324514920626153440110833877866122079278344855078479242835731705167207575685724335164688294121643237231254321002167794170318315858048192041/593324327419096249282966914962144944193228984682093965709980825524863647848279039466413578561195933494367581308641808271286362439647293466744713497603098937306388839162677824,insufficient
27/128,13/64,7/32,94686385300124884865896633478060967352882356665775159752489477452794260705930872427293297396784674860628323559094850160838275715422279730081995423264759779048897816480000/9289726905558512338298731419610189480671104690953899399430533780790840920933794799839499510448236471339225573571618177487365989195713275190645486333823235046111341290171409,-3229798246350519706881346877014287570086633864344289175271207223812008235754218964492728477054017280259012865789547767193716343408687372465397779244878609186981881035451409/594542521955744789651118810855052126762950700221049561563554161970613818939762867189727968668687134165710436708583563359191423308525649612201311125364687042951125842570970176,insufficient
29/128,7/32,15/64,451090036386891868267813746767646531658756887082261701257723315548395330115254180727489019891401734114131899701437643073239787119485705416630096813379338351976527616/41262711064392776653641536846082064514889197724786941227657962077404102696790955559727544449456235092868921679722782637920663151276784512213523427988847772693948075625,-12392948735631697084501457052952686488728756951522192347163669882306801569414687993168247176406524109564480098830773481233316775629699365549197231932570118167450308201/2640813508121137705833058358149252128952908654386364238570109572953862572594621155822562844765199045943610987502258088826922441681714208781665499391286257452412676840000,insufficient
31/128,15/64,1/4,108889574707570064152136276186581443146447367787221121383029596614030759790668467193783598839951907690690598993528465261296199110820650950903109496129784639689747573126400/9331214769448630807381369425262620935253130825101557585557250664615339590724489333444123484904731429845404867740244187151010682192538533313578067747965995794646759267494009,-2362281988164146701644647749321408573880499286719405817043356481317370964121707433041973159147809337641206532154422410428053939100016872455779059995659778854502914587404409/597197745244712371672407643216807739856200372806499685475664042535381733806367317340423903033902811510105911535375627977664683660322466132068996335869823730857392593119616576,insufficient
