case,max_full_vs_Radau_state_abs,max_full_vs_reduced_state_abs,max_constraint_scaled_full,max_constraint_scaled_reduced,max_electric_flux_scaled_error,max_magnetic_flux_scaled_error,wrong_model_max_constraint_abs,wrong_model_max_ward_Q_abs,wrong_model_max_invariant_residual
coupled_mixed,2.563921297493721e-12,2.8380076066980564e-15,5.551115123125783e-16,5.0133508455729725e-16,5.551115123125783e-16,3.95516952522712e-16,3.0216003773448144e-05,2.8842326965652964e-05,7.303897341538051e-16
pure_electric,2.1834097030382082e-12,1.9845236565174673e-15,1.8908485888147197e-16,1.491862189340054e-16,6.245004513516506e-16,0.0,6.899991075920951e-05,6.592531877863553e-05,2.6010348931106153e-16
pure_magnetic,3.042815999165782e-12,1.4988010832439613e-15,1.9255430583342559e-16,1.5265566588595902e-16,0.0,4.0245584642661925e-16,6.542669772974415e-05,6.592531877863575e-05,1.7729754838748113e-16
c0,1.9384320537607636e-12,1.3322676295501878e-15,3.0010716134398763e-16,2.5673907444456745e-16,3.7470027081099033e-16,3.191891195797325e-16,3.0184188481996443e-16,4.336808689942018e-19,3.405275417394675e-16
minkowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure_de_sitter,1.1102230246251565e-16,2.7755575615628914e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,6.938893903907228e-18,0.0,5.704595132317221e-18
nonzero_scalar,5.073677589173542e-12,3.164135620181696e-15,7.680488189887313e-15,7.631915932559963e-15,0.0,0.0,7.696100701171105e-15,1.3010426069826053e-18,8.136058342748482e-15
early_contraction,2.7569266314309004e-13,2.7755575615628914e-17,6.938893903907228e-18,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,2.9217301290157538e-08,1.7097561958719998e-07,5.915340613934112e-18
