center,left,right,point_lower,transported_lower,status
45/256,11/64,23/128,88720845522666501735384565370760337821476974690371400889360804803769921497690257517835389471622845046969504131360719893517128717535249346476601397296490670614765341273135971162577804800/10412876844428186500862495271029283701493157497398712737874128570208248897695309830795260171815531770560215948070115761229740820673640677106257823236794552623437793076371218100909044005409,943391382473125721266729096428039539655895262968826575964054444674301054009043131487669680552192395451880580744056385140451655170871239242747155617156253215252170606590186207900915008991/1332848236086807872110399394691748313791124159667035230447888456986655858904999658341793301992388066631707641352974817437406825046226006669601001374309702735800037513775515916916357632692352,positive
47/256,23/128,3/16,548446455066907543990609112274787845883688946664535378364287164151093983224741396069593347513354274807353378776604065393882044820169133560632829942788599032372878941705945365978790400/61672404533745348630089296495243983869767422851198332434068721699741178368013504899204068923526382288403249263623077389546121998109077601812878956639213865472240585228430476147081603889,8528741714818817000708669875928860403344762321862195996560035311598851484753393797703879558182964886937983219782242980870779738872571493948123276037726810671487919309930530698203567311/7894067780319404624651429951391229935330230124953386551560796377566870831105728627098120822211376932915615905743753905861903615757961933032048506449819374780446794909239100946826445297792,positive
49/256,3/16,25/128,334458419188130830386063812331076104049813118966105114907512101406222268227023728949382964908782163358979082589715524397623791659533389397164459556321358189664137044863735235055040000/36099355738297697107151930776046587738084463982737160811598490973410954596986338612910533181353566011426433732045465415371910726143997556134007568755959665827382254557269407643318450169,6711321917783049182264237202331153580291615244924293896563058006585495736072698692610486326970550898522888839438121707523934606276276286703043254453174182449627287185288702443726669831/4620717534502105229715447139333963230474811389790356583884606844596602188414251342452548247213256449462583517701819573167604572946431687185152968800762837225904928583330484178344761621632,positive
51/256,25/128,13/64,100634240954432222404879189059623966892960289030750208559240906233625799561761174656679349750528102088576321816190379600120517285216884909756082421887614600187492535888763109604530496000/10443109823624302543621109579150492521102453983814206096950177818939105800561852541901242208054361393314723647068662612620589706020820372819074623355223109125581570125982532700236004749409,2438073018543021924203426620481375241196463012121820598632658178964996543343577814153714560013235674023045545403705976194836506486940895629703926646391559698417474467779145329143898738591/1336718057423910725583502026131263042701114109928218380409622760824205542471917125363359002630958258344284626824788814415435482370665007720841551789468557968074440976125764185630208607924352,positive
53/256,13/64,27/128,167384037417238046487598679137943157589368024445715627934153735403301271623681308030232397400007259207660137461127942296767652439935087184232261916735286526601906629338353576924491264/16726120141646801901204156910073162687291474817934739690094978356012577312379958420921392825805950323864203706406424612461828773145629704416543126950454537229927865892182857625233932225,4699036647759668049208474019583561484147632311116860685476699775609985455451249006948354041394978854716293888617952001524430739166061455165186398391662138175116182663126400221100949567/2140943378130790643354132084489364823973308776695646680332157229569609895984634677877938281703161641454618074420022350395114082962640602165317520249658180765430766834199405776029943324800,positive
55/256,27/128,7/32,108601129860660853441574111936456107284802348464372118246549154823235128168772292679186746425173855193757732745492253406018614306020795937960610051245985276756059234675130922684554508800/10464860303555132273899398198545885674163596863493835300784057370224551383794942795683959891492152903962913017489055247292769043492913193025226653117871565035967746324942830744926704342409,3436084318609456966622088129320496058291103739945795834774234447149545021807910667251943650930100560838076773933953188677613587677748687033731433441614550388807835713473927358696272783991/1339502118855056931059122969413873366292940398527210918500359343388742577125752677847546866110995571707252866238599071653474437567092888707229011599087560324603871529592682335350618155828352,positive
57/256,7/32,29/128,112592860200659483163509822734992247653570208335039158768200113350281774078962388633105509755522780242294275076640632700430574521570915525209108486668389274656963064945832976166112601600/10476216193149638682022823005409391761919583160875637950630398199138974899408550494067168531375441329228691733378400226936747323765554641597722960004577890590344815588625124339595803739241,3935669912534775162906434304669615937737403506009374371699216309697092182698635250970336717331474541784975476431600758718366214995522545629042926288975936565746456724441496609666609265559/1340955672723153751298921344692402145525706644592081657680690969489788787124294463240597572016056490141272541872435229047903657441990994124508538880585969995564136395344015915468262878622848,positive
59/256,29/128,15/64,116590514658977747912745200831919934569274315409887595726671903422269238093965687724932863601108853184745589628851545100216611556394266383477688246927577244468644593456044781759055680000/10487893505799064315554616031591473466746516102267965999194130878215359916121973690331999550882441423532941361654867465436543769240816443944165250115898516750898010595980113319804745861841,4435692370550087417276769674894278158120596270197646253819872759835102559905634338459406990059491784114494110838130307391182509977649653140978845490831370541088497366393618745354381178159/1342450368742280232390990852043708603743554061090299647896848752411566069263612632362495942512952502212216494291823035575877602462824504824853152014835010144114945356285454504935007470315648,positive
61/256,15/64,31/128,120594393951841987762041312645961798478401686879671637516120207316469802347982559818144176224468852446382486984618472979786532035210450510012804061226778674268922130512778535847422656000/10499893014093958195219136664919943863131214289299584845679515203605206427081687957083541562445508579432522871003848104970265185386421097655963206786086427298879181238982580554201895113409,4936189411741816238322151353763166342104201631298384756383871332902928273460079699638912994286504533704435463027316436442410915120516567625675713050941243007542851466653072034268204854591/1343986305804026648988049493109752814480795429030346860246977946061466422666456058506693319993025098167362927488492557436193943729461900499963290468619062694256535198589770310937842574516352,positive
63/256,31/128,1/4,376876519591412576776240079416241503077292169235943094961901728546490182982723818867476517493479269135388623928103007677578153021014147443272314431847469288186799126701067531332096/31794980763091959679956859792875483151514595259471096988417739050980783548856226477422005365386256912220419229794778487741833986429694797485229249582289332338711244792549217176484025,16445213744608850147401870372403429242378802402729619166705682202969959872932422337614988873779089537109324633002406494988169600260116075253626997694186736549199043425187426834024263/4069757537675770839034478053488061843393868193212300414517470598525540294253596989110016686769440884764213661413731646430954750263000934078109343946533034539355039333446299798589955200,positive
