case,degree,dimension,duration,action_endpoint,analytic_state_error_upper,bound_below_two,empirical_final_D6_difference,empirical_max_D6_difference,D5_D6_final_difference,Gram_condition,metric_transform_defect,max_norm_defect,max_work_defect,time_step_error_certified
original,3,20,2,5,2,False,0.004155159788832834,0.004601775185249419,2.2632724117889686e-05,282.01875871795875,6.7413704839692655e-16,4.2787995369053533e-13,3.3710811919718253e-12,False
original,4,35,2,5,2,False,0.00034883170478923914,0.00039297325976049563,2.2632724117889686e-05,1927.079647077442,5.5407362761235865e-15,6.787903572558207e-13,5.801581437481218e-12,False
reduced,3,20,2,1/2,1/384,True,7.339455358206941e-07,7.339455358206941e-07,7.220810973868733e-11,282.01875871795875,6.7413704839692655e-16,3.7625458304546555e-13,1.2682077610293163e-12,False
reduced,4,35,2,1/2,1/3840,True,6.6420624979971055e-09,6.6420624979971055e-09,7.220810973868733e-11,1927.079647077442,5.5407362761235865e-15,3.9668268669856843e-13,1.1514122988387498e-12,False
short,3,20,1/5,1/2,1/384,True,6.278643539640821e-05,6.278643539640821e-05,9.569759969223905e-08,282.01875871795875,6.7413704839692655e-16,1.5978329770405253e-12,4.746603110561409e-11,False
short,4,35,1/5,1/2,1/3840,True,2.6781179492020246e-06,2.6781179492020246e-06,9.569759969223905e-08,1927.079647077442,5.5407362761235865e-15,2.298827794788849e-12,6.728573254122239e-11,False
slow,3,20,4,1/2,1/384,True,2.4111139839834125e-08,2.4111139839834125e-08,3.238283578655633e-11,282.01875871795875,6.7413704839692655e-16,1.006972283335017e-13,1.6917023337725823e-13,False
slow,4,35,4,1/2,1/3840,True,1.0159648818470304e-10,1.6584763694563704e-10,3.238283578655633e-11,1927.079647077442,5.5407362761235865e-15,7.283063041541027e-14,1.2275597205402278e-13,False
