case,degree,time,time_float,action_lower,action_upper,analytic_error_upper,analytic_error_upper_float,empirical_D6_difference
slow,4,3/2,1.5,40460005579/1000000000000,2023000279/50000000000,33882832849419881700388055205479334947837737399/37500000000000000000000000000000000000000000000000000000,9.035422093178635e-10,7.196581033827524e-12
slow,4,8/5,1.6,48634654271/1000000000000,759916473/15625000000,84471078699732473862251089695073386563844531/37252902984619140625000000000000000000000000000000000,2.2675032529574574e-09,6.0107770513902134e-12
slow,4,17/10,1.7,28871260327/500000000000,11548504131/200000000000,68471117424510304176602641463951976043643826803217/12800000000000000000000000000000000000000000000000000000000,5.3493060487898674e-09,7.53188355735484e-12
slow,4,9/5,1.8,1695112959/25000000000,67804518361/1000000000000,1433155045086748289622853864839661317186182813602447801/120000000000000000000000000000000000000000000000000000000000000,1.1942958709056236e-08,2.4289584921740876e-11
slow,4,19/10,1.9,39417839241/500000000000,78835678483/1000000000000,3045187568618725678205827687981016739622879009926072643/120000000000000000000000000000000000000000000000000000000000000,2.5376563071822715e-08,3.237971181003026e-11
slow,4,2,2.0,22711264227/250000000000,90845056909/1000000000000,6187375973628621002312349451624079837218230706058563549/120000000000000000000000000000000000000000000000000000000000000,5.1561466446905175e-08,2.3270196499233644e-11
slow,4,21/10,2.1,51917839241/500000000000,103835678483/1000000000000,12070715808691086368009204702386721913085569134926072643/120000000000000000000000000000000000000000000000000000000000000,1.0058929840575905e-07,1.1669668649791775e-11
slow,4,11/5,2.2,2945112959/25000000000,117804518361/1000000000000,7562902218213962234780483767333413886478314354534149267/40000000000000000000000000000000000000000000000000000000000000,1.8907255545534905e-07,8.36317639604601e-12
slow,4,23/10,2.3,66371260327/500000000000,26548504131/200000000000,4396216022198508944518874491728286324941668826803217/12800000000000000000000000000000000000000000000000000000000,3.434543767342585e-07,1.5494409423505076e-11
slow,4,12/5,2.4,148634654271/1000000000000,2322416473/15625000000,67561691861594996243910603487844231417504033593/111758708953857421875000000000000000000000000000000000,6.045317854332914e-07,1.9572793664379742e-11
slow,4,5/2,2.5,165460005579/1000000000000,8273000279/50000000000,38753880420861980750848326918591329999979087737399/37500000000000000000000000000000000000000000000000000000,1.0334368112229862e-06,1.8958452756407947e-11
slow,4,13/5,2.6,45797976837/250000000000,183191907349/1000000000000,206315293586306205295024440450660525915049066802679311749/120000000000000000000000000000000000000000000000000000000000000,1.7192941132192184e-06,2.759604358072618e-11
slow,4,27/10,2.7,50449525791/250000000000,40359620633/200000000000,107086660871823978273736345448452278318681973040198393/38400000000000000000000000000000000000000000000000000000000,2.7887151268704162e-06,5.866160111545008e-11
slow,4,14/5,2.8,221240946299/1000000000000,2212409463/10000000000,17668768566255662557626864682530957575617601181/4000000000000000000000000000000000000000000000000000,4.417192141563916e-06,3.627575332289872e-11
slow,4,29/10,2.9,120738815909/500000000000,241477631819/1000000000000,821078235404025737460185648401278423413606013737143115099/120000000000000000000000000000000000000000000000000000000000000,6.842318628366881e-06,3.226242951618448e-11
slow,4,3,3.0,820188939/3125000000,262460460481/1000000000000,1245430313842878917313969746853011355801526851149564126401/120000000000000000000000000000000000000000000000000000000000000,1.0378585948690658e-05,3.941529062234955e-11
slow,4,31/10,3.1,142068566413/500000000000,284137132827/1000000000000,617331892655652687324987392831694662476990462106147790969/40000000000000000000000000000000000000000000000000000000000000,1.5433297316391317e-05,5.178772445500516e-11
slow,4,16/5,3.2,306451071621/1000000000000,153225535811/500000000000,84460907512978205097291711711990927051669002321496800051/3750000000000000000000000000000000000000000000000000000000000,2.252290867012752e-05,5.6139611677388e-11
slow,4,33/10,3.3,329341770667/1000000000000,82335442667/250000000000,3783851848737888082367459579432188861172230441114698107/117187500000000000000000000000000000000000000000000000000000,3.228886910922998e-05,6.729808593177913e-11
slow,4,17/5,3.4,352745167849/1000000000000,7054903357/20000000000,17476535532699900409864368427237478085557397908557/384000000000000000000000000000000000000000000000000000,4.5511811283072655e-05,6.570270478220785e-11
slow,4,7/2,3.5,376594040099/1000000000000,3765940401/10000000000,252491032733701825496970211678418001420997100667/4000000000000000000000000000000000000000000000000000,6.312275818342546e-05,7.558612725575824e-11
slow,4,18/5,3.6,80163683569/200000000000,200409208923/500000000000,107762364992198765833613963334819491011924677157112020281/1250000000000000000000000000000000000000000000000000000000000,8.620989199375901e-05,9.428880282449466e-11
slow,4,37/10,3.7,1063365041/2500000000,425346016401/1000000000000,4640775867052954965433935072043018709341023400058286560667/40000000000000000000000000000000000000000000000000000000000000,0.00011601939667632387,8.860942965650035e-11
slow,4,19/5,3.8,225051340809/500000000000,450102681619/1000000000000,18473875050666094689685809104395743815055644046379836844099/120000000000000000000000000000000000000000000000000000000000000,0.00015394895875555078,9.494132179035416e-11
slow,4,39/10,3.9,118753211771/250000000000,95002569417/200000000000,2579618611569093692930266162729608647169831433840835619/12800000000000000000000000000000000000000000000000000000000,0.00020153270402883545,1.0374488748471577e-10
slow,4,4,4.0,1/2,1/2,1/3840,0.00026041666666666666,1.0159648818470304e-10
