degree,width,log10_width,status
4,25509778173/5242880000,0.6871367644884288,certified-enclosure-inconclusive
8,5616197741114289583070439493470758818301553461760/434318011621292674998923856857107688739356011355281,-1.888365449884276,certified-positive
12,117472549274322413124789097099398657446567514870524657419782725969055744/6587431814579541578543829591461599728761544931112352607271340626845907280625,-4.748779739444657,certified-positive
16,51337347967184118002015253639819844865370872398027189799842534388836997681355156296084516615422246712377344/6689128149196519601475594651987908674331923918884077581590252967462748636708310578706609850150620612286501118292529,-8.114936086449589,certified-positive
24,846739184837940601903282372828627218945895520555529769664187568449993650941615855487477456537413980935047270614271934254704890975296452383794090192442319889728798720000/7646892350567709678186343180089779656418358892838272402639620051428244623813416100668213848461683189458697783024146922766837797841436040084500868588375052775749672042949960109045694881,-15.955735318203551,certified-positive
32,2535393354791083817880960493241452342295630246418676324107725861495560440330812867248440933335269959811414323658593624060789659938102821461414987111405429901841250431998444279878268055945068954589590681204641476261349289488573128117825044480/19949640582906245477538532439947248471212971647960365558528628945984174627927012747574952866041479746752513226231035769426854282489173607887130717605622950178312153047948804291453370855772641633690683145054104200980373121023090933187956216037559850537318075189854241,-24.895889728031023,certified-positive
