epsilon,epsilon_exact,polynomial_degree,rtol,initial_analytic_bound,max_mean_difference,at_kappa_half,at_kappa_five,nfev
0.5,1/2,3,2e-13,2.0429823133680554e-05,2.0011611654074946e-05,2.0011611654074946e-05,2.2474133665184581e-10,1055
0.25,1/4,3,2e-13,6.364451514350043e-07,7.554169710599634e-08,7.554169710599634e-08,8.489875469308572e-13,1160
0.125,1/8,3,2e-13,1.9873388939433627e-08,2.9256294609147915e-10,2.9256294609147915e-10,3.6637359812630166e-15,1292
0.0625,1/16,3,2e-13,6.209221383970645e-10,1.1411427358609672e-12,1.1411427358609672e-12,3.3306690738754696e-16,1424
