kind,M,duration,residual_budget,other
gaussian,35/1664,0.5,1.0,1.0
gaussian,35/1664,0.5471698113207547,1.0,1.0
gaussian,35/1664,0.5943396226415094,1.0,1.0
gaussian,35/1664,0.6415094339622642,1.0,1.0
gaussian,35/1664,0.6886792452830188,1.0,1.0
gaussian,35/1664,0.7358490566037736,1.0,1.0
gaussian,35/1664,0.7830188679245284,1.0,1.0
gaussian,35/1664,0.8301886792452831,1.0,1.0
gaussian,35/1664,0.8773584905660378,1.0,1.0
gaussian,35/1664,0.9245283018867925,1.0,1.0
gaussian,35/1664,0.9716981132075472,1.0,0.9676796794307819
gaussian,35/1664,1.0188679245283019,1.0,0.9288479092641054
gaussian,35/1664,1.0660377358490567,1.0,0.8934525789351879
gaussian,35/1664,1.1132075471698113,1.0,0.8610568528714331
gaussian,35/1664,1.1603773584905661,1.0,0.83129492567465
gaussian,35/1664,1.207547169811321,0.974831184775936,0.8038581490401155
gaussian,35/1664,1.2547169811320755,0.9430297659434036,0.7784842879420125
gaussian,35/1664,1.3018867924528301,0.9135327977509098,0.7549491124307284
gaussian,35/1664,1.349056603773585,0.8860985546068418,0.7330597533887648
gaussian,35/1664,1.3962264150943398,0.8605179765400759,0.7126494050928799
gaussian,35/1664,1.4433962264150944,0.8366093316802882,0.6935730664895364
gaussian,35/1664,1.4905660377358492,0.8142138921913731,0.6757040910889363
gaussian,35/1664,1.5377358490566038,0.7931924060453363,0.6589313718478821
gaussian,35/1664,1.5849056603773586,0.7734221988365634,0.6431570287521288
gaussian,35/1664,1.6320754716981134,0.7547947781716503,0.6282944973960144
gaussian,35/1664,1.679245283018868,0.7372138418137549,0.6142669397115919
gaussian,35/1664,1.7264150943396228,0.7205936123606624,0.6010059152339683
gaussian,35/1664,1.7735849056603774,0.7048574376657132,0.5884502643987716
gaussian,35/1664,1.8207547169811322,0.6899366088098805,0.5765451654203207
gaussian,35/1664,1.8679245283018868,0.6757693571689889,0.5652413340670444
gaussian,35/1664,1.9150943396226416,0.6622999996975992,0.5544943416966878
gaussian,35/1664,1.9622641509433962,0.6494782074892572,0.5442640316518292
gaussian,35/1664,2.009433962264151,0.6372583773564242,0.5345140178532082
gaussian,35/1664,2.056603773584906,0.6255990898902348,0.5252112523939733
gaussian,35/1664,2.1037735849056602,0.6144626404270138,0.5163256513051079
gaussian,35/1664,2.150943396226415,0.6038146317297234,0.5078297695622452
gaussian,35/1664,2.19811320754717,0.5936236191138616,0.4996985179371019
gaussian,35/1664,2.2452830188679247,0.5838608003053891,0.4919089155399059
gaussian,35/1664,2.2924528301886795,0.5744997435878003,0.4844398729121418
gaussian,35/1664,2.3396226415094343,0.5655161488346303,0.47727200135807785
gaussian,35/1664,2.3867924528301887,0.5568876368780284,0.47038744488520223
gaussian,35/1664,2.4339622641509435,0.5485935633693567,0.46376973168646907
gaussian,35/1664,2.4811320754716983,0.5406148538724217,0.45740364256373334
gaussian,35/1664,2.528301886792453,0.532933857416417,0.4512750940799057
gaussian,35/1664,2.5754716981132075,0.525534216141951,0.44537103455152965
gaussian,35/1664,2.6226415094339623,0.5184007490140484,0.43967935126518143
gaussian,35/1664,2.669811320754717,0.5115193478623968,0.4341887875295876
gaussian,35/1664,2.716981132075472,0.5048768842507332,0.4288888683681463
gaussian,35/1664,2.764150943396227,0.4984611258817884,0.4237698338197235
gaussian,35/1664,2.811320754716981,0.4922606614178419,0.4188225789541338
gaussian,35/1664,2.858490566037736,0.4862648327447846,0.41403859982668223
gaussian,35/1664,2.905660377358491,0.48046367383383953,0.4094099446968752
gaussian,35/1664,2.9528301886792456,0.4748478554631803,0.4049291699226531
gaussian,35/1664,3.0,0.4694086351544915,0.4005893000155449
gaussian,35/1664,3.047169811320755,0.46413781175938434,0.3963837914058704
gaussian,35/1664,3.0943396226415096,0.4590276841994939,0.39230649952210056
gaussian,35/1664,3.1415094339622645,0.45407101392368426,0.38835164883604156
gaussian,35/1664,3.1886792452830193,0.44926099069745473,0.3845138055667298
gaussian,35/1664,3.2358490566037736,0.44459120138452646,0.38078785277174215
gaussian,35/1664,3.2830188679245285,0.44005560141967076,0.37716896758580576
gaussian,35/1664,3.3301886792452833,0.43564848870594414,0.37365260039380527
gaussian,35/1664,3.377358490566038,0.4313644796993048,0.3702344557490673
gaussian,35/1664,3.4245283018867925,0.42719848746970795,0.3669104748686473
gaussian,35/1664,3.4716981132075473,0.4231457015506979,0.36367681955562997
gaussian,35/1664,3.518867924528302,0.41920156940967745,0.36052985741454335
gaussian,35/1664,3.566037735849057,0.4153617793887898,0.35746614824015216
gaussian,35/1664,3.6132075471698117,0.41162224498202454,0.3544824314724031
gaussian,35/1664,3.660377358490566,0.407979090328011,0.35157561462134856
gaussian,35/1664,3.707547169811321,0.40442863681023183,0.34874276257566433
gaussian,35/1664,3.7547169811320757,0.4009673906672713,0.34598108771705766
gaussian,35/1664,3.8018867924528306,0.3975920315253767,0.3432879407705752
gaussian,35/1664,3.849056603773585,0.3942994017742149,0.340660802327683
gaussian,35/1664,3.8962264150943398,0.39108649671436446,0.33809727498510295
gaussian,35/1664,3.9433962264150946,0.38795045541192674,0.3355950760478478
gaussian,35/1664,3.9905660377358494,0.3848885522017452,0.3331520307497712
gaussian,35/1664,4.037735849056604,0.38189818878619414,0.33076606594931324
gaussian,35/1664,4.084905660377359,0.3789768868813948,0.3284352042620298
gaussian,35/1664,4.132075471698114,0.37612228136711595,0.32615755859500406
gaussian,35/1664,4.179245283018869,0.37333211390056353,0.3239313270513874
gaussian,35/1664,4.2264150943396235,0.3706042269578181,0.3217547881761551
gaussian,35/1664,4.273584905660377,0.3679365582698794,0.3196262965167116
gaussian,35/1664,4.320754716981132,0.36532713562316205,0.31754427847428646
gaussian,35/1664,4.367924528301887,0.36277407199689216,0.31550722842413836
gaussian,35/1664,4.415094339622642,0.36027556101220926,0.31351370508446347
gaussian,35/1664,4.462264150943397,0.3578298726699086,0.31156232811560625
gaussian,35/1664,4.5094339622641515,0.3554353493556896,0.3096517749327084
gaussian,35/1664,4.556603773584906,0.3530904020935248,0.30778077771633017
