epsilon,beta,gamma,L,state_term,dynamic_term,envelope
0.000009999999999999999,0,2,1,0.00000002070212204594611740852102992778273311636153449691879769167185129110322,0.000009999800001749991500052499475002999991750052499550001249998250030002569,0.00001002050212379593761746102050493078272486641403404692004768992188129367
0.00001096478196143185,0,2,1,0.00000002376923359889264663295104835513550691772543577751330147608214248358104,0.00001096454151085186496911984111168235314480181862946813017957984106339453,0.00001098831074445075761575279216003748865171954406524564348105592320587811
0.00001202264434617413,0,2,1,0.00000002729075328927116957209951571505931770601177488062678043466750349400679,0.00001202235526126111659507415302037437757066623727353823920512203084569879,0.00001204964601455038776464625253608943688837224904841886598555669834919279
0.000013182567385564074,0,2,1,0.00000003133400448136960878512544275879905152435360407698493982146225751325981,0.00001318221982940731986750495478723258931543723301135722143042088159011731,0.00001321355383388868947629008022999138836696158661543420637024234384763057
0.00001445439770745928,0,2,1,0.00000003597628503827449321454791935278562488552456367108851224910429059561867,0.00001445397985351799196391617145098476625259763231975185411150912025690767,0.00001448995613855626645713071937033755187748315688342294262375822454750329
0.00001584893192461114,0,2,1,0.00000004130634515729887194741758626432240512940432473795235282959038087267109,0.00001584842955429166624666179578234777212615502064600976327149936545076896,0.00001588973589944896511860921336861209453128442497074771562432895583164163
0.000017378008287493764,0,2,1,0.00000004742608417209849902937253781666344439929069027679259402919900045709774,0.00001737740430633374574986792142536263763691689753061669022903086341610913,0.00001742483039050584424889729396317930108131618822089348282306006241656623
0.000019054607179632484,0,2,1,0.00000005445249876736729358396478958964916626253328637308175723391856714097051,0.00001905388103562988691852725499828841050023185776200058829007383297473894,0.00001910833353439725421211121978787805966649439104837367004730775154187991
0.00002089296130854041,0,2,1,0.00000006251991986032187856974314887347279515848196019072511710934053150428015,0.00002089208829283597644646963155955993125765799125302937082043249016788676,0.00002095460821269629832503937470843340405281647321322009593754183069939104
0.000022908676527677746,0,2,1,0.00000007178258092422028649608770372053972203139944465621268194117871572966465,0.00002290762693379666749282173020239820801521403322254766578831894354118383,0.0000229794095147208877793178179061187477372454326672038784702601222569135
0.000025118864315095822,0,2,1,0.00000008241756686859516791535411278446125439871988384078810422369475867215355,0.0000251176024281421939003439244768744311411056821458664393263083033019266,0.00002520001999501078906825927858965889239550440202970722743053199806059875
0.00002754228703338169,0,2,1,0.00000009462819987007717115491320428533303268037602315776800208399975758762828,0.00002754076991479388234162557739054959741239508257718371727707468255028773,0.00002763539811466395951278049059483493044507545860034148527915868230787536
0.000030199517204020192,0,2,1,0.0000001086479269060134183437283406437147694291855097610787520422344263966599,0.00003019769323053985866561975005845992803476512778797640969695201927519684,0.0000303063411574458720839634783991036428041943132977374884489942537015935
0.000033113112148259076,0,2,1,0.0000001247447833406032683201529720090987627136946942366416380938928846358913,0.00003311091925540454752581953951131230353310248752104830793323365783751269,0.00003323566403874515079413969248332140229581618221528494957132755072214859
0.000036307805477010174,0,2,1,0.0000001432265179338017816318750208370899654834767004896924248670617783727344,0.00003630516904729202399374988038914542561905933465768905205266413838064273,0.00003644839556522582577538175540998251558454281135817874447753120015901547
0.000039810717055349695,0,2,1,0.0000001644464772978690865004762981281926093832147784247235243141519011480997,0.00003980754737938042415952908377256885195586549200349764681676218570834527,0.00003997199385667829324602956007069704456524870678192237034107633760949337
0.000043651583224016566,0,2,1,0.0000001888103623576807811432397894846624348101638584315970962064987609170468,0.00004364777244813657638837064490021720845229956951355418694412008205935036,0.00004383658281049425716951388468970187088710973337198578404032658082026741
0.000047863009232263804,0,2,1,0.0000002167839860571355288290598408170536341615172626674582330033733144619047,0.00004785842768883801676023092098746764194198478594100071041207267119100961,0.00004807521167489515228905998082828469557614630320366816864507604450547151
