z,single_deficit,sum_real_deficit,sum_imaginary
0.0,0.0,0.0,0.0
6.25e-09,0.000000000000000000005536068594104308390002243699975699211405436346584214028732618674590168,0.00000000000000000001107213718820861678000448739995139842281087269316842805746523734918034,0.00000000007440476190476190476135554875058489004067387383837081972020382392616717
1.25e-08,0.000000000000000000022144274376417233559763790356073772416502396798056621600077626288169,0.000000000000000000044288548752834467119527580712147544833004793596113243200155252576338,0.0000000001488095238095238095194158185761076917539989050587268292540591332309019
1.875e-08,0.0000000000000000000498246173469387755085490866368071463279464091685689671098994006017493,0.0000000000000000000996492346938775510170981732736142926558928183371379342197988012034986,0.0000000002232142857142857142708855305515063168128086799447117187345005556900596
2.5e-08,0.00000000000000000008857709750566893423513221032303069880020859841168231768604747290655087,0.0000000000000000001771541950113378684702644206460613976004171968233646353720949458131017,0.0000000002976190476190476190124694057517186768903016425832861789330176925582451
3.125e-08,0.0000000000000000001384017148526077097377968703079412588296435545153293028904669349031349,0.0000000000000000002768034297052154194755937406158825176592871090306586057809338698062698,0.0000000003720238095238095237408721652516826836602235237663864015789043270186188
3.75e-08,0.0000000000000000001992984693877551020143364065970776065545843475547612503021471170218656,0.0000000000000000003985969387755102040286728131941552131091686951095225006042942340437311,0.0000000004464285714285714284527985301263362487970497698925825796784736986852232
4.375e-08,0.0000000000000000002712673611111111110620537903083204732554646899034802169809026468743721,0.0000000000000000005425347222222222221241075806166409465109293798069604339618052937487442,0.0000000005208333333333333331449532214506172839761679718687374078342285328419998
5e-08,0.0000000000000000003543083900226757368777616236718925413549682456021559168119793132941632,0.0000000000000000007086167800453514737555232473437850827099364912043118336239586265883264,0.0000000005952380952380952378140409602994637008740602940116645825639745131026725
5.625e-08,0.0000000000000000004484215561224489794577821400303584444182050868855275437314754781930231,0.0000000000000000008968431122448979589155642800607168888364101737710550874629509563860462,0.0000000006696428571428571424567664677478134111684859029497873026198658861756668
6.25e-08,0.000000000000000000553606859410430838797947203838624767152915297867290490832568095228297,0.000000000000000001107213718820861677595894407677249534305830595734580981665136190456594,0.0000000007440476190476190470698344648706043265386633965247967693073718874182413
6.875e-08,0.0000000000000000006698642998866213148935983106639400454096997253829679653525307110446525,0.000000000000000001339728599773242629787196621327880090819399450765935930705061422089305,0.0000000008184523809523809516499496727427743586654532326933106868041526758640024
7.5e-08,0.0000000000000000007971938775510204077395865871858947661822778769907674995405291416223796,0.000000000000000001594387755102040815479173174371789532364555753981534999081058283244759,0.000000000892857142857142856193816812439261419231540158428531762478833467407975
8.124999999999999e-08,0.0000000000000000009355955924036278870298192764572068022908488648257001767725004974292312,0.000000000000000001871191184807255774059638552914413604581697729651400353545000994858462,0.0000000009672619047619046416505215574159562463957072593971452710935616211647304
8.75e-08,0.000000000000000001085069444444444443659527311599794238967024104440017837348846232669618,0.000000000000000002170138888888888887319054623199588477934048208880035674697692465339236,0.000000001041666666666666665159625771604938272422560284984782235703062903364457
9.375e-08,0.00000000000000000124561543367346938672073016841262972068492564123080247066767481379427,0.000000000000000002491230867346938773441460336825259441369851282461604941335349627588541,0.000000001116071428571428569574977033224003888423626284950068566812003010429004
1e-07,0.000000000000000001417233560090702946506771012763886104330793650119984115952314713000321,0.000000000000000002834467120181405893013542025527772208661587300239968231904629426000642,0.000000001190476190476190473940899110967138179616619830573892923854280718315644
1.0624999999999999e-07,0.00000000000000000159992382369614482184791760762050203016942572954636116208819973194301,0.00000000000000000319984764739228964369583521524100406033885145909272232417639946388602,0.000000001264880952380952259206477678290232200516951974172961488434092709328967
1.125e-07,0.000000000000000001793686224489795916222473424159204499408190950094837350739281971681267,0.000000000000000003587372448979591832444946848318408998816381900189674701478563943362535,0.000000001339285714285714282511274599125364434359478923547712633242518085688536
1.1875e-07,0.000000000000000001998520762471655326135462449022892849704139449851674685719393983928975,0.000000000000000003997041524943310652270924898045785699408278899703349371438787967857949,0.000000001413690476190476186709137451690332221307368738240984957410153582171817
1.25e-07,0.00000000000000000221442743764172335273994437706425477965781584242072698356688404192003,0.00000000000000000442885487528344670547988875412850955931563168484145396713376808384006,0.000000001488095238095238090844390004679120330243599491082666251789775667991813
1.3125e-07,0.000000000000000002441406249999999996026357014973958336567092272970411511007821698310888,0.000000000000000004882812499999999992052714029947916673134184545940823022015643396621777,0.000000001562499999999999994913736979166666672875483830769856766791134658786986
1.375e-07,0.000000000000000002679457199546485255984647800555013518877031621089564241896546515952241,0.000000000000000005358914399092970511969295601110027037754063242179128483793093031904483,0.000000001636904761904761898913883096227909160913982984032826759194599668091594
