a_in_reference_length_units,L_reference,n_cells,gH_squared_diagnostic,alpha_reference_energy,lambda_reference_energy,kappa,E_links,P_plaquettes,log10_a_times_gap_bound,illustrative_target_a_m_for_m1
1.0,1.0,1,1.0,0.5,2.0,4.0,13,6,-172.36105728181826,1.0
0.5,1.0,2,0.5906161091496412,0.5906161091496412,6.772588722239782,11.466989500152367,55,36,-2892.9649179507123,0.5
0.25,1.0,4,0.41905978419640516,0.8381195683928103,19.090354888959126,22.777603111650354,301,240,-38119.753974733794,0.25
0.125,1.0,8,0.3247342047137871,1.2989368188551484,49.27106466687737,37.93184083449394,1945,1728,-456325.0971912767,0.125
0.0625,1.0,16,0.2650699754534338,2.1205598036274704,120.722839111673,56.92970266868314,13873,13056,-5170953.939968617,0.0625
