q_independent_copies,one_square_kappa,numerical_one_square_gap_over_alpha,analytic_tensor_gap_lower_bound_over_alpha,global_one_square_comparison_over_alpha,global_one_square_log10_comparison,two_square_kappa1,two_square_kappa2,global_two_square_comparison_over_alpha,global_two_square_log10_comparison
1,0.5,3.0289863271013857,2.5,0.1461621058955417,-0.8351652083195539,0.25,0.25,0.027015165835425233,-1.5683923621544344
2,0.5,3.0289863271013857,2.5,0.00712112039993985,-2.14745167135877,0.25,0.25,0.0002432730617051757,-3.613905979028531
3,0.5,3.0289863271013857,2.5,0.00034694598466363674,-3.4597381343979867,0.25,0.25,2.1906873684189852e-06,-5.659419595902628
4,0.5,3.0289863271013857,2.5,1.6903451916813145e-05,-4.772024597437203,0.25,0.25,1.9727260850470053e-08,-7.704933212776725
8,0.5,3.0289863271013857,2.5,9.524222890133821e-11,-10.021170449594068,0.25,0.25,1.2972160688749647e-16,-15.886987680273112
16,0.5,3.0289863271013857,2.5,3.0236940553649538e-21,-20.5194621539078,0.25,0.25,5.609231764491403e-33,-32.25109661526589
32,0.5,3.0289863271013857,2.5,3.0475752468164605e-42,-41.51604556253526,0.25,0.25,1.0487826995926172e-65,-64.97931448525145
64,0.5,3.0289863271013857,2.5,3.0959049616694778e-84,-83.50921237979018,0.25,0.25,3.6664838365494764e-131,-130.43575022522253
128,0.5,3.0289863271013857,2.5,3.194875843896571e-168,-167.49554601430003,0.25,0.25,4.481034574559278e-262,-261.34862170516476
