final_a,final_x,max_energy_mismatch,max_r2_error,nK,nmode
-0.5960551432143811,0.14873628347990087,9.419548474554063e-16,1.9984014443252818e-15,64,128
-0.5960461313361718,0.14869100808518082,1.528291382335567e-15,2.220446049250313e-15,128,256
-0.5960465448632649,0.14869106858022513,7.962380754733545e-16,2.4424906541753444e-15,256,512
