Kmax,b,final_a,final_phi,final_x,g,max_defect_integral_residual,max_energy_mismatch,min_Z,nK,ncut,nu,phi0,y0
20.0,10.0,-0.5964521485153353,-0.3072211144629434,0.14893930891283294,0.05,1.5057399771478686e-15,1.5057399771478686e-15,0.9973143951165807,64,1,0.5,0.4,0.1
20.0,10.0,-0.5964430209868612,-0.30722110056118784,0.14889346767212988,0.05,9.003214840319629e-16,9.003214840319629e-16,0.9973295121727543,128,1,0.5,0.4,0.1
20.0,10.0,-0.5960551432143811,0.4013430970579356,0.14873628347990087,0.1,9.419548474554063e-16,9.419548474554063e-16,0.9971006438382151,64,1,0.5,0.4,0.1
20.0,10.0,-0.5960461313361718,0.4013431377881142,0.14869100808518082,0.1,1.528291382335567e-15,1.528291382335567e-15,0.9973293979235788,128,1,0.5,0.4,0.1
