time,coupling,energy,integrated_work,work_defect,norm,last_character_probability
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.005,0.00015421177605168257,0.00015421177602691053,0.00015421177602666664,2.438912787006142e-16,1.0,0.0
0.01,0.0006168375916970614,0.0006168375901117213,0.0006168375901116651,5.616167253474913e-17,1.0,0.0
0.015,0.0013878489099972136,0.0013878488919406213,0.0013878488919696244,-2.9003058635290735e-14,0.9999999999999892,8.153086482126e-239
0.02,0.002467198171342,0.0024671980698984953,0.00246719806992622,-2.7724784273930325e-14,0.9999999999999897,6.5922231147435335e-239
0.025,0.003854818796385495,0.0038548184094606914,0.003854818409484502,-2.3810814431257654e-14,0.999999999999991,5.046652633327157e-239
0.03,0.005550625190149927,0.005550624034988611,0.005550624035070648,-8.203767526415717e-14,0.9999999999999624,1.8945067039124665e-237
0.035,0.007554512747310338,0.007554509834989921,0.0075545098350692985,-7.937747681374674e-14,0.9999999999999151,1.3009001516948573e-236
0.04,0.009866357858642205,0.009866351370893216,0.009866351370653881,2.3933459381009214e-13,0.9999999999998808,2.883143344035604e-236
0.045,0.012486017918649783,0.012486004769439271,0.012486004768384013,1.0552583112888314e-12,0.9999999999998767,2.283571524549734e-236
0.05,0.01541333133436018,0.01541330659877329,0.015413306596534249,2.2390405501893085e-12,0.9999999999998884,1.2485385457593475e-237
0.055,0.018648117535293718,0.018648073728360356,0.01864807372511853,3.2418269457767934e-12,0.9999999999998911,1.6735436875041053e-236
0.06,0.02219017698460002,0.022190103172834406,0.022190103169574673,3.259732761495826e-12,0.9999999999998869,5.315599686122328e-236
0.065,0.02603929119136761,0.026039171919914034,0.026039171918073194,1.8408399804492603e-12,0.9999999999999202,2.732653479033535e-236
0.07,0.030195222724101467,0.03019503674250555,0.03019503674241473,9.082318230824171e-14,0.9999999999999977,6.046687775466091e-239
0.075,0.034657715225368535,0.034657433995220865,0.03465743399531945,-9.85878045867139e-14,0.999999999999973,2.4338417039524514e-170
0.08,0.03942649342761062,0.03942607939565582,0.03942607939578215,-1.26329502414535e-13,0.9999999999999711,2.938650895702631e-170
0.085,0.044501263170125815,0.04450066779017164,0.04450066779025309,-8.145567553796695e-14,0.9999999999999841,7.94495389645044e-171
0.09,0.049881711417212315,0.04988087290482991,0.04988087290508929,-2.593758541280522e-13,0.999999999999939,2.097703209996493e-169
0.095,0.055567506277476864,0.055566347081461166,0.05556634708207513,-6.139672104055194e-13,0.9999999999998408,2.0957417112318838e-168
0.1,0.06155829702431115,0.06155672099918487,0.06155672099985919,-6.743217095817045e-13,0.9999999999997518,6.892242314745212e-168
0.105,0.06785371411752283,0.0678516033816356,0.06785160338146708,1.6851797735029095e-13,0.9999999999997264,1.019509188469583e-167
0.11,0.07445336922613066,0.07445058069017942,0.07445058068795705,2.2223611839677915e-12,0.9999999999997561,6.063686979727304e-168
0.115,0.08135685525232028,0.08135321680339623,0.0813532167982844,5.111827627857224e-12,0.9999999999997781,1.1892589960753012e-169
0.12,0.0885637463565564,0.08855905268310114,0.08855905267544192,7.659220480071838e-12,0.9999999999997367,5.607411200551588e-168
0.125,0.09607359798384785,0.09606760602716925,0.09606760601894254,8.226710979108987e-12,0.9999999999996615,1.7249404325683202e-167
0.13,0.10388594689117125,0.10387837090942048,0.10387837090371076,5.709724359981294e-12,0.9999999999996911,1.267799723723551e-167
0.135,0.11200031117604647,0.1119908174067794,0.11199081740544951,1.3298806500472438e-12,0.9999999999999173,7.974193369669738e-169
0.14,0.12041619030626283,0.120404391214072,0.12040439121400051,7.148448499805227e-14,1.0000000000000062,4.549238328312138e-142
0.145,0.1291330651507533,0.12911851324872073,0.1291185132486658,5.492828414332962e-14,1.0000000000000058,1.1616202503775757e-141
0.15,0.13815039801161721,0.13813257924202135,0.13813257924196448,5.687117443642364e-14,1.000000000000006,9.403736879458374e-142
0.155,0.14746763265728768,0.1474459593198025,0.14744595931985466,-5.215272658176673e-14,0.9999999999999902,4.884824110847225e-140
0.16,0.15708419435684462,0.15705799757266525,0.15705799757285543,-1.9018120411828932e-13,0.9999999999999751,2.922959222476413e-139
0.165,0.16699948991546365,0.16696801161577365,0.16696801161588398,-1.1032841307212493e-13,0.9999999999999835,4.310140102080918e-139
