kappa,mean,second,variance,true_residual,collapsed_residual,variance_lower
-5,-0.719340581364313,0.5683956511814123,0.05094477918386453,1.3322676295501878e-15,-0.2547238959193221,1.1349982440621214e-05
-2,-0.43312742672231175,0.35030885991653227,0.16270949213744074,4.996003610813204e-16,-0.3254189842748818,0.004578909722183545
-1,-0.24019372387008975,0.2794188283897308,0.2217258034031499,1.5265566588595902e-16,-0.22172580340314985,0.033833820809153176
0,3.413584174257759e-17,0.25,0.25,1.1102230246251565e-16,-1.0240752522773276e-16,0.25
1,0.24019372387008972,0.2794188283897308,0.2217258034031499,1.942890293094024e-16,0.22172580340314996,0.033833820809153176
2,0.4331274267223118,0.3503088599165324,0.1627094921374408,3.885780586188048e-16,0.32541898427488136,0.004578909722183545
5,0.7193405813643129,0.5683956511814123,0.05094477918386464,8.881784197001252e-16,0.254723895919323,1.1349982440621214e-05
