dataset,scope,Z_N_infinity,error_note,log10_N_critical_asymptotic,log10_N_plus_1,method
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.9980659529324921,direct floating evaluation,,0.0,scipy.digamma
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.9959329526219395,direct floating evaluation,,1.0,scipy.digamma
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.9905492004621996,direct floating evaluation,,4.0,scipy.digamma
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.9834178463221274,direct floating evaluation,,8.0,scipy.digamma
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.9762865270178404,direct floating evaluation,,12.0,scipy.digamma
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.9620238884162338,omitted digamma argument-shift O((N+1)^-1) and higher corrections below displayed floating precision; not an interval error bound,,20.0,asymptotic_log_guard
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,0.819397502400171,omitted digamma argument-shift O((N+1)^-1) and higher corrections below displayed floating precision; not an interval error bound,,100.0,asymptotic_log_guard
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,-0.7851493402805354,omitted digamma argument-shift O((N+1)^-1) and higher corrections below displayed floating precision; not an interval error bound,,1000.0,asymptotic_log_guard
full_window_tail,fixed b=10; exact small N and labeled asymptotic log guard,,formal base-10 logarithm only; no allocation or exact threshold claim,559.6050003302413,,asymptotic_log_guard
