kappa,mean,variance,point_closure_mean
-8.0,-0.8192494103556205425832999793788895073539303356968359569160270440122342,0.02161187474861035701429976950734097006162206084216861488521412688438729,-0.8299262872562316492095634943739895721255253945865010008627789337864701
-7.933333333333334,-0.8177971672010923907774750519483260856194914715463412712860482434777585,0.02195676370401009488016542075407353822811926443787199223959720399724878,-0.8286422058671396171935955296501906087968049670033424563919255574636731
-7.866666666666666,-0.8163216599291995705971230066572930206660134396365241290901512835941182,0.02230983993031774141813608488136856605018604747801074967063909710098763,-0.8273387757825822946215549897843242720027646744879318157931788021269665
-7.8,-0.8148223342864362917670103152201720699816952767102865004551636820031373,0.02267135805321987917699577871299145190665209395087910438014289798632284,-0.8260155611441328113239285474445873309813153511112191510890636198121538
-7.733333333333333,-0.8132986187274116453607206980498761082935158171604412204517595292452024,0.02304158226976080697953847791681151323406647846253384008090231640110745,-0.8246721130662369028037252485351989549915606134316893137554053712211614
-7.666666666666667,-0.8117499237633299545712315875556740891342781368798840854278540042425366,0.0234207867541423861367976510744636330135533263818764299612965213495371,-0.8233079691528665462330271280744535888836519317148902289670364073527553
-7.6,-0.8101756412828261929592868225461283182261185386159043240197643749459041,0.02380925608137204788079424316856955414541916426778690023276270141275055,-0.8219226529928585615185622287823953678576899278475677009462514929864732
-7.533333333333333,-0.808575143843944517558066976647308124333724590064371226686922265233978,0.02420728566944792880982089812043472883622058109153976389930432853311968,-0.8205156736328568638300105119162476036730253956904627716487906758631479
-7.466666666666667,-0.8069477839360003148045750994777603368897357932137677256654475233444044,0.02461518224077804027632567365583199648039528268249686241765266225637133,-0.819086525026714176392501073339416336463242297781085287595067903586297
-7.4,-0.8052928932100203586166751934084673793075091708847854312443915768826761,0.02503326430353460121211316796169305242383477845241749404342667692073418,-0.8176346854601442817637495984242589921990953963724132732748831681796618
-7.333333333333333,-0.8036097816764088956939501533092979024478074119308036231170652250019932,0.02546186265364532083620004891390688380475057305538987555257147063793583,-0.8161596169493463445612631425036136405634635171321492320192585571788361
-7.266666666666667,-0.8018977368684401146784290577742460653906825495919874913017179704253911,0.02590132089811981902289280127593575873558210249492121847776420909996079,-0.8146607646122483345405860345669816600022037224205941964161360234189726
-7.2,-0.8001560229701318339797072323109331951730758429596568379631336029435761,0.02635199600040025938176560910852192076619130856306374333585189088212482,-0.8131375560109385711493281561815474875038856269378045934334258697062559
-7.133333333333333,-0.7983838799070097952521851984261370890702248180572403666110186207817848,0.02681425884841027246871531331021308022883155916558396068498971045109851,-0.8115894004637708854862096089193885078757270137323855058386339143793086
-7.066666666666666,-0.7965805223982269677384015056816398084640200150624248828341377535224436,0.02728849484595445690678476148476129470118938650922622123276548640434587,-0.8100156883255394028647307749828342845632476254599166581690049007841787
-7.0,-0.7947451389684606459003240652930482804401548078736685867110632757026442,0.02777510452809047032898643947035995759146214650464152628769189825248929,-0.8084157902340252253171143736452672881283460359255058684257390360769422
-6.933333333333334,-0.7928768909179692006733879824487307040900103417184136030309514892534955,0.02827450420105659042376417401915226211912056183894896724243032443312127,-0.8067890563211161289345669248174826700146408757301490220392471106346713
-6.866666666666667,-0.7909749112491536538685552162290455231089404616426013507085471453613618,0.02878712660728755204285202887093416202992265752234699038952759609661276,-0.8051348153865938914071477769328369639320271366702762654632057274119661
-6.8,-0.7890383035479353169655514115300116904732655287948543218161875151159025,0.02931342161598952791043320467400661075230451724743789534803326643033509,-0.8034523740325696558633100221687587797753840845695003529127870749156425
-6.733333333333333,-0.7870661408182317729691758784189272620656440882976231880750058538716244,0.02985385693966929815652042476453618778984584458630701899603523744175639,-0.8017410157564265321563349185221028749205069071499092959763088011608289
-6.666666666666667,-0.78505746426779053712665729265158224291499516515971036008192549393322,0.03040891887692105996538255062517659258352901996776340453114562991251051,-0.8000000000000000087804878048780484002263461064117049615876840291001885
-6.6,-0.7830112820436224250985732013587119156684085965135206792016440125824149,0.03097911308166530804343461678655563669841670417121009052647527537766702,-0.7982285611525888809924124764158463999473682803795937262521231997952456
-6.533333333333333,-0.7809265679152686919001621325165671014976052781878600169729276771219498,0.03156496535890481762868002077561379981436104800499457931627034631170781,-0.7964259075052438706959256209337293713859670541391015536517720064098255
-6.466666666666667,-0.7788022599041355331602292900896298881038299205686062259311387961258802,0.03216702248691135586112356878006912300616524289581780190945933048017408,-0.7945912201536245042114743804135594481295905823030059546863182607112793
-6.4,-0.776637258857141888667952207103416596958662283708036880631941756568229,0.03278585306557952268816583641131811736135464646811080813762053739055349,-0.7927236518465497430992894627307455263493964980057583718615869580467116
-6.333333333333333,-0.7744304269629507772304842829314854096315102917453436220320068185177237,0.03342204839047874276957024275068469705917281326654638060447300114255495,-0.7908223257771913580561234277147217382007774190546645954425971401809696
-6.266666666666667,-0.7721805862090924951492162983553503758876795094382502477608111589074882,0.03407622335189758762942234407794544778801479194748757029502079465155991,-0.7888863343136703003172474707062697024436638783898266710960497179217508
-6.2,-0.7698865167783447979739386296231730233896022810650524898362953566185663,0.03474901735790186646967593654534937608740758201191360193253391405889599,-0.7869147376656168981701739484989936160358237535322152215248551327780985
-6.133333333333333,-0.7675469553828106298600233433459919580042753176041772039769137567092787,0.0354410952801159667410490515457449943456043089007726437864913213435034,-0.7849065624830426370666325613732043007427054402100634119024752412249984
-6.066666666666666,-0.7651605935342306343505771235443252556860059446713448716536062523446082,0.03615314842058144957596321158050392121329876477966818658304688979875116,-0.7828608003836435927146437910137739896698937342233369602324123573988484
-6.0,-0.7627260757491918047240166915803003938847942083470907866343013551995626,0.03688589549764222279807187513716451045368282279603411445606622415277171,-0.7807764064044151374553524639935192562867998063434051085996583932737386
-5.933333333333334,-0.7602419976880443633777437315931520380394119924562049112178563695986131,0.03764008364834781280299274562587890334916600424291791623588524848864788,-0.7786522973731997859196206693367461740001938806952604410442818859609038
-5.866666666666667,-0.7577069042265238412286868433325533106105372208501190896460927783902762,0.03841648944434866667803387200613146074067737284964859246144120019749002,-0.7764873501955173137315059065044121649539275484010143170503452678070546
-5.8,-0.7551192874592955730228733017190651832960474282160016013016212279433637,0.03921591991767492590994985872775295754577148046227403271545252557074122,-0.774280400051735100207718605716288268462277124115847083639251049243349
-5.733333333333333,-0.7524775846349007626204825624083036458228017287205349752821623249948001,0.04003921359213580290298235204781650590067371380408981722480828942105033,-0.7720302384993275525585392598867507066201626082639328992443150935954933
-5.666666666666666,-0.7497801760218919778786576839421362243079803731312476732165049160920732,0.04088724151534370578154158713459885684915551750934210313477433292834311,-0.7697356114746455207507628523358716737435953988733087953703186137502629
-5.6,-0.7470253827063052892035471086013696282568559783129515978253514987232456,0.04176090828554885647600352114792125768866311568380294621993601233757321,-0.7673952171882674410440659868663166161012584972921629050049335148592207
-5.533333333333333,-0.7442114643210336731261848817341038220107326012109735607190982990997512,0.04266115306655827827491412207359049046686711673286179060438982174802017,-0.7650077039076337689477500283838408889680151518091057420658552786401511
-5.466666666666667,-0.7413366167081487816703427427027109999353642574831209465082039748310814,0.04358895058299953063017791041580283809708925493804946430961257673250529,-0.7625716676202745241736219403608040328912361278918846654571360018909559
-5.4,-0.7383989695157691818084372849073280844909156941598739807362220244611398,0.04454531208706729577286969946134559359943604867668477755290847406923185,-0.7600856495705224638039344158157254539563238586783174304568538498181888
-5.333333333333334,-0.7353965837317070700331998018831844989534447719907892338193958109989517,0.04553128628664917715978850701744396670149790756587885369619634479381051,-0.7575481336621663632825564846573608500660259055268835299769729784450259
-5.266666666666667,-0.7323274491568411871391628436148936185117777188433837699545035557890239,0.04654796022336011848566867901180758962049537468382194520833949054979679,-0.7549575437190314349585380925886749791227625561617040316393885137314986
-5.2,-0.7291894818219804738602079101305282871825964030632994887652486710620461,0.04759646008751056546017154582150953614068531326380854000137444688931178,-0.7523122405949852492365866022720453562303809601799100438524821989795144
-5.133333333333333,-0.7259805213528995454776269415776381481725437249522859725196568174126782,0.04867795195538669089640309246392685130719833436657048888350868526475779,-0.749610519124348008810961240591028175091130958451291396226935815728943
-5.066666666666666,-0.7226983282892628776789974593763233400194929027671302232427290909559684,0.0497936424324201648840390680294488626482029701216616281016630786861027,-0.7468506049031434696688633409644166421874281878984383523861044951177995
-5.0,-0.7193405813643129268503612432251535476186457197455628146513925967963861,0.05094477918386453782436063187170267583657603575890259775834773835586243,-0.7440306508910550179757754022548047678289849837719799753005397249004704
-4.933333333333334,-0.715904874753492946626314155760259334764076952138575701338745545828325,0.05213265133246695247495417553179697202305505814727502163561492831237532,-0.741148733823353822432419497203617667613700852313005832913988269546504
-4.866666666666667,-0.712388715301619096688985011394655642435872348231580886375184889442653,0.05335858970032160917059039516468304520863172464748017996636744630808702,-0.7382028504214430189837012400930249054202520768294781892603261589027032
-4.8,-0.7087895197398183368758164801029761551991372690928234254347880444211739,0.05462396686961121162210367702901774530703113607225980130838389955135173,-0.735190913390013133027855972282254547412542811721649692015969599145237
-4.733333333333333,-0.705104611905222517864698445731584296171553144979651376151702965868046,0.05593019703428109132292770748526569155183991721077583009105130274615326,-0.7321107471881329925680442891417608453096818784142364167016470991078953
-4.666666666666666,-0.7013312199783672852195941947343738513964345669330232883874017511153662,0.05727873561184739159096036121066517143144577945847164566660760437664938,-0.7289600835609101566769073172594377585796392333197621047107304907194851
-4.6,-0.6974664737553967266843318076832730929863379091341974052874978091785244,0.05867107858151897167401891281411132180151043662339616571961220179047511,-0.725736556817647376936515789738117871359315990364051886222390528998964
-4.533333333333333,-0.6935074019745348366872642942843745923510701998135885902654449802846896,0.06010876151161816118244506165146227096319812985133464905363341737512855,-0.7224376988417036402691064117660822423616908599754134174537352470438602
-4.466666666666667,-0.6894509297188647929464277986857076369455966862817745043488101412813473,0.06159335823592858122266412829398069532239970676530145931803789994613243,-0.7190609338165472845396569155633561902486885278265626256866790763530665
-4.4,-0.6852938759202619965992963792834344869903771646447792807341400241287926,0.06312647913509682986951486840205129232460298631209315211387529685538501,-0.7156035726517690228845543724215445055724456584583102436115779721376045
-4.333333333333334,-0.6810329509923753664840483423852139132113117463757218614773684073410861,0.06470976897558782498974801338823616466673536635730938439827977071311566,-0.7120628070921234484184990072729782000864878411292714248734030476898451
-4.266666666666667,-0.6766647546238377776738670327948529985613910962468708391452707217522,0.06634490425497551062300593836383251654178304426661821438915551285556372,-0.7084357034919917914584802118191057590212181114969393291082783359690679
-4.2,-0.6721857737664306536970329461555489111670717698020863088069587586307513,0.06803358999857444067366115124064806132720705667771721526713652667439107,-0.7047191962370361087580005867093854751034989652657758257545067721608455
-4.133333333333333,-0.6675923808567165777395249884293093481940078243158626519631530539161864,0.06977755594863731939994979048732289007591313025212736129370665247757673,-0.700910080794254696800220525058247481199287374237174765604156630761029
-4.066666666666666,-0.6628808323136995948331377373560633182509187574743822547985722084436435,0.07157855208361349123004838902157005948531892751936455227619628361384787,-0.6970050063711883504095201137987050064800686149307231933157119758012522
-4.0,-0.6580472673593595855628314264880248330997701586560645709647072736804086,0.07343834340135983539898936443377911486413416091699196664662863596936861,-0.6930004681646913959839560407799633043243069161916602802385814067214561
-3.9333333333333336,-0.6530877072134288300697260876101533114218785550629718916770651704147399,0.0753587038968033492808472880113324213313491648201018761734951175267758,-0.688892799179514681088962760236726852337169332649471807567625227194956
-3.866666666666667,-0.6479980547185181061713605099328212366278896264822670060397584908925926,0.07734140966147654773870969728199290122270629228998194484062226953268599,-0.6846781615969987077261012573897214782941514443507097279685455841339423
-3.8,-0.6427740944566273049054336664951451567996858206761912992097511784039021,0.07938823102970436076943484849633956094723098101703043457530941521095372,-0.6803525376744998312137629416015194053026091448051607693650422112677166
-3.7333333333333334,-0.6374114934231645657986467793728357513674426511253841947878672361685266,0.08150092369415094710986737546526819552932913971774900219098222172472188,-0.6759117201568483742967373089843263608288071441514372332455760216274325
-3.666666666666667,-0.6319058023297986015251732853380281581562233372212107256773821086661887,0.08368121871209832387231757738312046630469962401130130512653199937260777,-0.6713513021822466452941841510267316303764226509734006660640117206848616
-3.5999999999999996,-0.6262524576127314440871627235581164243321355891753585536137763165407681,0.08593081132340441121743168437542158298015707729772821113584177100354069,-0.6666666666666666381766381766381743155181682466361814479013058963751007
-3.533333333333333,-0.6204467842282325362862829397677596307649857941966892640399474097930689,0.08825134850177964696655877477785343065024477416950847159107052854372219,-0.6618529751531257638613538704480003949208827829992163205106421181385586
-3.466666666666667,-0.6144839993224382163029780195099089662030820087877621291396336983887464,0.09064441516305334444268301148256625298624080901967939005940025145327878,-0.6569051561153567981725906842363908717850343510847678595233300050425944
-3.4000000000000004,-0.6083592168674005575683730832714271974623620379695094093284891741570147,0.09311151895771796222412860326452160043424979639107599567609904451175639,-0.6518178927095321794080068469790343615237763922188518287449038691687243
-3.333333333333333,-0.6020674533600440130147501528610634986781543399290822035561615150821276,0.09565407358051156120364341678446835675707756177422418878218755799388647,-0.6465856099730654142938140646022808098776697882196825431684674180946868
-3.2666666666666666,-0.5956036346849301938388428715088274377927884928385276618009744660504891,0.09827338053740921305268077152906465424893882001754671146095786269628192,-0.6412024614763599614928260815687226838612391503221706276734638098473809
-3.2,-0.5889626042453854554421257112884870420932829946667826846117334316506069,0.100970609320444605820952463492864888115588862850478950251499203072565,-0.6356623154420182397208328285229671508716281433159000319351025592537136
-3.1333333333333337,-0.5821391324704427157139727435218761053519519856892763349478802994658002,0.1037467759535833444028191842838672313356702709464415350171754256927318,-0.629958740356833333986060962723141890224798741234812602280299981334891
-3.0666666666666664,-0.575127927806986569080346919984798841770214886598515415980485456919823,0.1066027198887373438795934869098252918280284664848620007690966648227075,-0.6240849901152965729648959983781892509728986481153895823925594325320543
-3.0,-0.5679236493072664226356555962101115901910051542708549963246654682673237,0.1095390792502506403530963018967407940644848032758478630545469109575083,-0.6180339887498948482045868343656381177203091798057628621354486227052605
-2.9333333333333336,-0.5605209209213073577335864456536634649147807099964964208922727566290024,0.1125562644491015762462843416444247878441670788232396516949762638790401,-0.6117983148237431045633266712641687301290289969357764345288585659352707
-2.866666666666667,-0.5529143476014638204257306273697933335706230831900458855425174747504025,0.1156544302149158017946188112917333615058300521572558152170864573989624,-0.6053701855858309905718450384683640246503787141599142087047746282662916
-2.8,-0.5450985333221411944643428282716191649009538744978794789602331874834871,0.118833446124899246070238598966776287639460926674255660635786189679947,-0.5987414410191850736261958673505873293088998731401347635702317114204875
-2.7333333333333334,-0.5370681011112848663006648676152566852898615316378905313001936398275414,0.1220928657441377589187336783352703756752787894283271670475620288836136,-0.5919035279485469455620682796181566962609149006779747448191429050188863
-2.666666666666667,-0.5288177151813051093039228450045025891680152793533741890079387308696494,0.1254318945314558941253550152180884294207740453270327132513071508148527,-0.5848474844178637419967390582548926966616076601438885424056600676716466
-2.5999999999999996,-0.5203421052353808388629247044961311170563481475167952137450399299937572,0.1288493567091569461623692903426247048872024795905905506500590354193702,-0.5775639246002795234216617376083814296581760386631982855333221976401878
-2.533333333333333,-0.51163609301027423760867530769168420900068351508497872951341431341666,0.132343661343330858848512798655101265345580769750124578653805877874307,-0.5700430245658706117218091458125529973325990804746170057589152936645405
-2.466666666666667,-0.5026946210986180422341670831264765249922742201389909979230585774268361,0.135912767933711195839028580819393205358901887898072449031980602811729,-0.5622745093067365278719737139778198086194326594752924801889391802752257
-2.4000000000000004,-0.4935127840718683060975032325015754113760364555580179455419557293590809,0.1395541518677982085410332628158827519493054919562135443388594219372486,-0.5542476415070755253735262968715763424030575919932151224108774343981967
-2.333333333333333,-0.4840858618995285277687996946384571575824795989100350845826328106111842,0.1432647701524538269991897511727805384256765392893389126358987918719612,-0.5459512126495169627481206665194892831151779630943102052681622166892389
-2.2666666666666666,-0.4744093556307009757382356557164661163647298565566155578239189765609896,0.1470410278964882491090122295871178979596938669331322404035005393803934,-0.5373735371703640930113492414252730839440770151557597087363445251948452
-2.2,-0.4644790252704203106540702550161699943695558347797708529447317442443254,0.1508787460787216450239049973554276031109679966527568984976237550230403,-0.5285024505176679533837657793014080427623631812939460951678238894360917
-2.1333333333333337,-0.4542909297455808856772030509152783981075878204922232912946369355996419,0.1547731311961726813644264210373324405455782036879899959350663860731671,-0.5193253121292906461722127433028125759826297199387032584865584701208774
-2.0666666666666664,-0.4438414688136796610227674942923121859543243337159596616304764707807817,0.1587187474446835757432810515855162645057937707946112207483958369728714,-0.5098290145351486835899106186879647757688965967114999436523249238168397
-2.0,-0.4331274267223117583171834557759918204315127679059805234344286363943092,0.1627094921374408207035790165926706865908710226055105357199770675141802,-0.5
-1.9333333333333336,-0.4221460173787287136266075347000092307784720239329989114223916036102186,0.1667385751132508509986670705386035614199621093595977347696627242521456,-0.4898242863608934481930023312303175834350157191570614509802372909937297
-1.8666666666666671,-0.4108949307373543704740128377103034433266469124466972292012255191528181,0.1707985029235968124688659106919324069614275340256719967244932361105228,-0.4792875039758436383612684508289843627685887858397007630378663711742829
-1.7999999999999998,-0.3993723800596295376155749067559682935643745433772785545411021235706517,0.1748810686127908493009746299676573099117001592045025850580231493120939,-0.4683749459844423657053611656339103635049071947488484857531280585603665
-1.7333333333333334,-0.3875771496458290579161931394380690318615289813117088438087360242642071,0.1789773479161720541265657875609910098823502118633685784005403606311361,-0.4570716343810918849431830807020454109019447826135533848401921736261586
-1.666666666666667,-0.3755086425836167191474974207312156895711253206163205132268706786390084,0.1830777026944996330658631896027518315309013502369951791214889007652135,-0.4453624047073710913026568541760919846164317279198418217616925992738406
-1.5999999999999996,-0.363166928004344100632571242664035309549603921828766325189685724382552,0.1871717923957421897161050368794076796763696502830181224362791762648575,-0.4332320124663317269579565625696359922947027980017466577723457559481886
-1.5333333333333332,-0.3505527872868696028464520741651831781864847726159081345407095552717257,0.1912485942858792098805163018812853609335953312343669223021620432170247,-0.4206652646257538235120771464399392241126109227184111517464502655436486
-1.4666666666666668,-0.3376677586015681020663519810788571393853176967824475279670659857844474,0.1952964331159675304919164381741671653362749475973886451637646329344514,-0.4076471797781421516008628423714834743138457343737087014322063907773459
-1.4000000000000004,-0.3245141791459323874814643110998147375574799057752153769634462196495349,0.1993030207919582123744590318823538956128668376199046615984456721002216,-0.3941631806202280153671440827338302045701112957896434977097690463624061
-1.333333333333333,-0.3110952243895125957186517548282058729572778236423259756583453694090567,0.2032555064856352920584189530196285258417264145094504071782053950297358,-0.3801993223490368639749010085766159410679727635949437204672286292544763
-1.2666666666666666,-0.2974149436217551473651654269121100682894745449569483283764885353100827,0.2071405374694691368791145090402800079591008257360101524900743180788771,-0.3657425602765496390982532984880087898374655407675696253634800538923375
-1.2000000000000002,-0.2834782910833729385022204150722158301229717663936102205262985972191765,0.2109443307760182546089374475770386504373022292389785367106687658749014,-0.3507810593582122172743857846907994102401426939205878869690409500679944
-1.1333333333333337,-0.2692911519619396209756787071029436498589750428650451548417818502307513,0.2146527555757598353691023254104525453602321013895202650292369366482509,-0.3353045473180676159712660583765234690227913429672088005360423477568676
-1.0666666666666664,-0.2548603625469652774493421795453155879377979947025656066183834813696347,0.2182514259390893964515221203769822817834961839859292882668636412029542,-0.3193047115348153386377464028263724905372688705883940686780916647654885
-1.0,-0.2401937238700897411052206417298297720272468672903936535447776204253891,0.2217258034031498584069437558868868548871338930590961539973295335876667,-0.3027756377319946465596106337352479731256482869226231063552265281135835
-0.9333333333333336,-0.2253000082031471219891446374300590598643353714716777475989845528322609,0.2250613085078320114831317570157040999193938592769835899796050198294923,-0.2857142857142857835964574509048859998718099632249461410968083340070384
-0.8666666666666671,-0.210188957851258612246760469142016919519074830180955095034212961582145,0.2282434402045839212112484897944177991020905321231175472853844485131027,-0.2681209938748128729928225317982962232284329649579831334239062439951607
-0.7999999999999998,-0.1948712757598116854015262332868867089289093826900422121287678375516635,0.2312579017844494276869531950248401241993807176040112160785388549756464,-0.2499999999999999448529411764705858977457765112966096261146368965491576
