a,g_H_squared,T,physical_boundary_distance_b,lambda,radius_proxy_b_over_a,z,z_over_radius,scope
1/2,1/2,1,1,8,2,256,128,coefficient dictionary diagnostic; not a fitted Yang-Mills running law
1/4,1/4,1,1,32,4,1024,256,coefficient dictionary diagnostic; not a fitted Yang-Mills running law
1/8,1/8,1,1,128,8,4096,512,coefficient dictionary diagnostic; not a fitted Yang-Mills running law
1/16,1/16,1,1,512,16,16384,1024,coefficient dictionary diagnostic; not a fitted Yang-Mills running law
