time_s,numerical_x_m,analytic_x_m,absolute_error_m
0.0,1.0,1.0,0.0
0.02,0.9968093675925059,0.9968093675932586,7.526201883933936e-13
0.04,0.9872883462454785,0.9872883462486132,3.1347147100291295e-12
0.06,0.9715430343956737,0.9715430343988598,3.1861180360692742e-12
0.08,0.9497184405393903,0.949718440541958,2.567723811353062e-12
0.1,0.9219972798617863,0.9219972798663768,4.590550162220097e-12
0.12,0.8885985391745358,0.8885985391817012,7.16537940093076e-12
0.14,0.8497758209562946,0.8497758209632869,6.9922956313916984e-12
0.16,0.8058154786409009,0.8058154786500514,9.150569191263003e-12
0.18,0.7570345565599882,0.7570345565778779,1.7889689729599922e-11
0.2,0.7037785490439549,0.7037785490802713,3.631639433621103e-11
0.22,0.6464189942869337,0.6464189943362183,4.92845764199501e-11
0.24,0.5853509194441943,0.5853509194866843,4.249001150924414e-11
0.26,0.5209901543453929,0.5209901543706097,2.5216828625218568e-11
0.28,0.4537705319307173,0.45377053194416356,1.3446244118142658e-11
0.3,0.3841409940303983,0.3841409940396488,9.250489263479267e-12
0.32,0.31256262158007475,0.3125626215899494,9.87465664792353e-12
0.34,0.2395056087732315,0.2395056087886174,1.538591476446527e-11
0.36,0.16544620086072476,0.16544620087335032,1.2625567258339743e-11
0.38,0.09086361531469433,0.09086361531122196,3.472375165181063e-12
0.4,0.016236966131729577,0.016236966127921526,3.808051096676479e-12
0.42,-0.05795778902883682,-0.05795778903841144,9.574625814412485e-12
0.44,-0.13125085985631238,-0.13125085986348614,7.17376158476668e-12
0.46,-0.20318157333849277,-0.20318157335426126,1.5768497618751098e-11
0.48,-0.2733012445872406,-0.273301244592144,4.903411010559466e-12
0.5,-0.34117595047184757,-0.34117595047370264,1.855071651846174e-12
0.52,-0.4063891894634212,-0.4063891894660406,2.619404693149363e-12
0.54,-0.4685444112381869,-0.4685444112423306,4.143685394808472e-12
0.56,-0.527267400997925,-0.5272674010080786,1.0153544671709369e-11
0.58,-0.5822085043388617,-0.5822085043638132,2.4951485322333156e-11
0.6,-0.6330446796255901,-0.6330446796677941,4.22040180581007e-11
0.62,-0.6794813660068237,-0.6794813660553113,4.84875473105717e-11
0.64,-0.7212541564805777,-0.7212541565310457,5.0468074164200516e-11
0.66,-0.7581302668164173,-0.7581302668692778,5.2860493759965266e-11
0.68,-0.7899097923677709,-0.7899097924246421,5.6871174436423644e-11
0.7000000000000001,-0.8164267463031808,-0.8164267463645625,6.138167751856827e-11
0.72,-0.8375498742094042,-0.837549874274184,6.477984815234095e-11
0.74,-0.8531832414803265,-0.8531832415461621,6.583555922645701e-11
0.76,-0.8632665913750466,-0.8632665914415807,6.653411155355116e-11
0.78,-0.8677754731185395,-0.867775473185102,6.65624222406791e-11
0.8,-0.8667211408624146,-0.8667211409277197,6.530509466529111e-11
0.8200000000000001,-0.8601502258007536,-0.8601502258649206,6.416700504274786e-11
0.84,-0.8481441851609796,-0.8481441852274602,6.648059880376422e-11
0.86,-0.8308185331920738,-0.8308185332574214,6.534761620713425e-11
0.88,-0.8083218605730762,-0.808321860635087,6.201084090662334e-11
0.9,-0.7808346500640797,-0.7808346501241062,6.00265392947108e-11
0.92,-0.7485678973853749,-0.7485678974455335,6.01586558346412e-11
0.9400000000000001,-0.7117615475031838,-0.7117615475680753,6.489153658861824e-11
0.96,-0.6706827576305225,-0.6706827577052593,7.47367723263892e-11
0.98,-0.6256239992548241,-0.625623999333737,7.891287623351673e-11
1.0,-0.5769010124209946,-0.5769010124846197,6.362510518442832e-11
1.02,-0.5248506263652271,-0.5248506264062092,4.0982106597198253e-11
1.04,-0.46982846141226525,-0.46982846144705687,3.479161403419084e-11
1.06,-0.41220652762686055,-0.41220652765881005,3.1949498602301674e-11
1.08,-0.35237073613813386,-0.3523707361653578,2.7223945320287157e-11
1.1,-0.29071833976712824,-0.29071833978569883,1.857058951060253e-11
