time_s,numerical_mode_amplitude,analytic_mode_amplitude,max_absolute_error
0.0,1.0,1.0,0.0
0.01,0.9921363874573405,0.9921354055113971,9.817613081386511e-07
0.02,0.9843346113169007,0.9843326628692644,1.948081270852775e-06
0.03,0.9765941853211764,0.9765912856339108,2.8991420378821076e-06
0.04,0.968914627036395,0.9689107911912967,3.835123844608823e-06
0.05,0.9612954578224625,0.9612907007229459,4.7562050412564005e-06
0.06,0.9537362028031351,0.953730539176095,5.6625621108752355e-06
0.07,0.9462363908363807,0.9462298352340783,6.55436965479872e-06
0.08,0.9387955544850841,0.9387881212869448,7.431800478241435e-06
0.09,0.9314132299878385,0.9314049334023056,8.295025530125066e-06
0.1,0.9240889572301163,0.9240798112964123,9.144213998557582e-06
0.11,0.9168222797155029,0.9168122983054612,9.979533241999405e-06
0.12,0.909612744537353,0.9096019413571247,1.0801148911165903e-05
0.13,0.9024599023504173,0.9024482909423049,1.1609224824904452e-05
0.14,0.8953633073430597,0.895350901087111,1.2403923205783762e-05
0.15,0.8883225172092013,0.8883093293250557,1.3185404433513348e-05
0.16,0.8813370931209606,0.8813231366694713,1.3953827262991325e-05
0.17,0.8744065997011596,0.8743918875861423,1.4709348704511349e-05
0.18,0.8675306049963769,0.8675151499661532,1.5452124221826402e-05
0.19,0.8607086804497802,0.8606924950989499,1.6182307505774318e-05
0.2,0.8539404008746433,0.8539234976456128,1.690005072385592e-05
0.21,0.8472253444276083,0.8472077356123406,1.760550429097396e-05
0.22,0.8405630925827312,0.8405447903241421,1.829881722326121e-05
0.23,0.8339532301050144,0.8339342463987349,1.8980136781365786e-05
0.24,0.8273953450247761,0.8273756917206502,1.964960872347099e-05
0.25,0.8208890286118615,0.8208687174155399,2.0307377216144396e-05
0.26,0.8144338753503242,0.8144129178246872,2.0953585002092545e-05
0.27,0.8080294829129623,0.8080078904797161,2.158837323029683e-05
0.28,0.8016754521363025,0.8016532360775016,2.2211881525402433e-05
0.29,0.7953713869957546,0.7953485584552759,2.282424803856653e-05
0.3,0.7891168945808921,0.7890934645659302,2.3425609426808158e-05
0.31,0.7829115850710552,0.7828875644535124,2.4016100957147124e-05
0.32,0.7767550717109055,0.7767304712289156,2.4595856372044977e-05
0.33,0.7706469707864076,0.7706218010457586,2.5165007993654953e-05
