coupling,interior_nodes,spacing,gap,mathieu_gap_float,absolute_error,observed_order
0,256,0.012224095928364953,2.9998132182569,3.0,0.00018678174309982865,
0,512,0.006123962287699402,2.999953121608668,3.0,4.687839133188376e-05,1.9943584778097694
0,1024,0.0030649684425266273,2.9999882574888597,3.0,1.1742511140333534e-05,1.9971821011103896
0,2048,0.0015332321393800846,2.9999970615888616,3.0,2.9384111384089806e-06,1.9986327872890493
1,256,0.012224095928364953,3.1136788901461845,3.1138638115063593,0.00018492136017478344,
1,512,0.006123962287699402,3.113817400108456,3.1138638115063593,4.641139790306781e-05,1.994360822363725
1,1024,0.0030649684425266273,3.1138521859811714,3.1138638115063593,1.1625525187852759e-05,1.9971832598500276
1,2048,0.0015332321393800846,3.1138609021486374,3.1138638115063593,2.9093577218475275e-06,1.9985232921280565
10,256,0.012224095928364953,7.49571400083734,7.4962602082425045,0.0005462074051640897,
10,512,0.006123962287699402,7.496123135473778,7.4962602082425045,0.00013707276872665375,1.9945068838544164
10,1024,0.0030649684425266273,7.496225873921225,7.4962602082425045,3.433432127941671e-05,1.9972186397808642
10,2048,0.0015332321393800846,7.496251616435929,7.4962602082425045,8.591806575530825e-06,1.9986180248224308
100,256,0.012224095928364953,26.976296715505953,26.984486763981373,0.008190048475420042,
100,512,0.006123962287699402,26.98243170837607,26.984486763981373,0.002055055605303835,1.9946945603401482
100,1024,0.0030649684425266273,26.98397202523124,26.984486763981373,0.0005147387501338585,1.9972651310914085
100,2048,0.0015332321393800846,26.98435795531927,26.984486763981373,0.00012880866210451813,1.9986107795566213
