time,interval,light_mass,heavy_mass,light_amplitude,heavy_amplitude,log_C,effective_mass,light_spectral_fraction,heavy_spectral_fraction
0.0,0.5,0.1,1.0,1e-12,1.0,1.000088900581841e-12,0.9999999999988635,9.999999999990026e-13,0.9999999999989999
0.25,0.5,0.1,1.0,1e-12,1.0,-0.24999999999874767,0.9999999999985767,1.2523227161903011e-12,0.9999999999987477
0.5,0.5,0.1,1.0,1e-12,1.0,-0.4999999999984317,0.9999999999982174,1.568312185487712e-12,0.9999999999984317
0.75,0.5,0.1,1.0,1e-12,1.0,-0.749999999998036,0.9999999999977676,1.9640329759659916e-12,0.999999999998036
1.0,0.5,0.1,1.0,1e-12,1.0,-0.9999999999975404,0.9999999999972043,2.4596031111509015e-12,0.9999999999975404
1.25,0.5,0.1,1.0,1e-12,1.0,-1.2499999999969198,0.999999999996499,3.0802168489085467e-12,0.9999999999969198
1.5,0.5,0.1,1.0,1e-12,1.0,-1.4999999999961426,0.9999999999956156,3.8574255306821e-12,0.9999999999961426
1.75,0.5,0.1,1.0,1e-12,1.0,-1.7499999999951692,0.9999999999945092,4.830741618086939e-12,0.9999999999951692
2.0,0.5,0.1,1.0,1e-12,1.0,-1.9999999999939504,0.999999999993124,6.049647464376354e-12,0.9999999999939504
2.25,0.5,0.1,1.0,1e-12,1.0,-2.249999999992424,0.9999999999913887,7.576110944579458e-12,0.9999999999924238
2.5,0.5,0.1,1.0,1e-12,1.0,-2.4999999999905125,0.9999999999892162,9.487735836268536e-12,0.9999999999905125
2.75,0.5,0.1,1.0,1e-12,1.0,-2.7499999999881184,0.9999999999864951,1.1881707112958269e-11,0.9999999999881184
3.0,0.5,0.1,1.0,1e-12,1.0,-2.9999999999851203,0.9999999999830874,1.4879731724651444e-11,0.9999999999851203
3.25,0.5,0.1,1.0,1e-12,1.0,-3.2499999999813665,0.9999999999788199,1.8634226049551803e-11,0.9999999999813665
3.5,0.5,0.1,1.0,1e-12,1.0,-3.499999999976664,0.9999999999734758,2.3336064580398175e-11,0.999999999976664
3.75,0.5,0.1,1.0,1e-12,1.0,-3.749999999970776,0.9999999999667831,2.92242837803809e-11,0.9999999999707758
4.0,0.5,0.1,1.0,1e-12,1.0,-3.9999999999634017,0.9999999999584015,3.659823444233858e-11,0.9999999999634017
4.25,0.5,0.1,1.0,1e-12,1.0,-4.249999999954167,0.9999999999479051,4.5832800364232794e-11,0.9999999999541673
4.5,0.5,0.1,1.0,1e-12,1.0,-4.499999999942602,0.9999999999347607,5.7397457042151815e-11,0.9999999999426024
4.75,0.5,0.1,1.0,1e-12,1.0,-4.74999999992812,0.9999999999182994,7.188013930449237e-11,0.9999999999281197
5.0,0.5,0.1,1.0,1e-12,1.0,-4.999999999909983,0.9999999998976845,9.001713129241868e-11,0.9999999999099831
5.25,0.5,0.1,1.0,1e-12,1.0,-5.249999999887271,0.9999999998718676,1.1273049836136159e-10,0.9999999998872706
5.5,0.5,0.1,1.0,1e-12,1.0,-5.499999999858825,0.9999999998395371,1.4117496390154662e-10,0.9999999998588249
5.75,0.5,0.1,1.0,1e-12,1.0,-5.749999999823204,0.9999999997990487,1.7679661424517548e-10,0.9999999998232036
6.0,0.5,0.1,1.0,1e-12,1.0,-5.999999999778595,0.9999999997483439,2.2140641615516648e-10,0.9999999997785949
6.25,0.5,0.1,1.0,1e-12,1.0,-6.249999999722728,0.9999999996848458,2.7727228444625455e-10,0.9999999997227276
6.5,0.5,0.1,1.0,1e-12,1.0,-6.499999999652767,0.9999999996053247,3.4723438035816344e-10,0.9999999996527666
6.75,0.5,0.1,1.0,1e-12,1.0,-6.7499999995651505,0.9999999995057396,4.3484950232723455e-10,0.9999999995651505
