degree,dimension,alpha,lambda1,lambda2,rho,E0_Ritz,E1_Ritz,gap_Ritz_estimate,gap_certified_lower,gap_certified_upper
1,4,1,2,3,1,4.130882357431235,7.886130973496366,3.7552486160651304,,
2,10,1,2,3,1,4.027214387573505,7.427393840450219,3.4001794528767144,3.298424243149775,3.415962109066338
3,20,1,2,3,1,4.022396712660588,7.385997215215571,3.3636005025549833,3.361585565693971,3.363773344322165
4,35,1,2,3,1,4.022307083276439,7.384714159004966,3.3624070757285276,3.362386061099721,3.362408390681595
5,56,1,2,3,1,4.022306276751355,7.384698079399127,3.362391802647772,,
