steps,t,energy,integrated_work,work_defect,norm_defect
80,0.025,0.001927409228478555,0.0019274092866318653,-5.815331029224158e-11,-2.220446049250313e-16
80,0.05,0.0077066604688775945,0.007706661755367407,-1.2864898122494361e-09,-1.1102230246251565e-16
80,0.07500000000000001,0.01732881097443687,0.017328817802254804,-6.827817932569813e-09,0.0
80,0.1,0.030778911829634464,0.030778933687327488,-2.185769302359697e-08,-3.3306690738754696e-16
80,0.125,0.04803594272572472,0.04803599621741115,-5.349168642754254e-08,-7.771561172376096e-16
80,0.15,0.06907272318956181,0.06907283384702936,-1.1065746755023476e-07,-6.661338147750939e-16
80,0.17500000000000002,0.09385580276063638,0.09385600669420184,-2.0393356546521968e-07,-4.440892098500626e-16
80,0.2,0.12234533325607402,0.12234567861324566,-3.4535717163830526e-07,-9.992007221626409e-16
80,0.225,0.15449492685853577,0.1544954750623298,-5.48203794026314e-07,2.220446049250313e-16
80,0.25,0.19025150429799642,0.19025233103997474,-8.267419783214436e-07,-2.220446049250313e-16
80,0.275,0.229555137866647,0.2295563338333198,-1.1959666728067475e-06,0.0
80,0.30000000000000004,0.272338894399144,0.27234056571424925,-1.6713151052560882e-06,1.1102230246251565e-15
80,0.32500000000000007,0.31852868366175546,0.3185309520310273,-2.2683692718628023e-06,6.661338147750939e-16
80,0.35000000000000003,0.368043117818626,0.3680461203679196,-3.0025492936402998e-06,8.881784197001252e-16
80,0.37500000000000006,0.4207933877777636,0.42079727657976107,-3.888801997475877e-06,-3.3306690738754696e-16
80,0.4,0.4766831622614083,0.47668810355044056,-4.94128903227864e-06,-2.220446049250313e-16
80,0.42500000000000004,0.5356085153942454,0.535614688473135,-6.173078889615269e-06,4.440892098500626e-16
80,0.45000000000000007,0.5974578884597713,0.597465484306673,-7.595846901686798e-06,-2.3314683517128287e-15
80,0.47500000000000003,0.6621120912415416,0.6621213108287779,-9.219587236319882e-06,-1.5543122344752192e-15
80,0.5,0.7294443480458739,0.729455400386559,-1.1052340685102635e-05,-1.2212453270876722e-15
80,0.525,0.7993203931003797,0.7993334930419823,-1.3099941602590093e-05,-3.3306690738754696e-16
80,0.55,0.871598619543159,0.8716139853304707,-1.5365787311760748e-05,-2.220446049250313e-16
80,0.5750000000000001,0.9461302856674425,0.946148136300251,-1.7850632808458222e-05,-1.1102230246251565e-16
80,0.6000000000000001,1.0227597814714737,1.0227803338849224,-2.0552413448671203e-05,-1.2212453270876722e-15
80,0.6250000000000001,1.1013249578904862,1.1013484239884677,-2.346609798142829e-05,-5.551115123125783e-16
80,0.65,1.1816575203627906,1.1816841039369756,-2.65835741850573e-05,4.440892098500626e-16
80,0.675,1.2635834876118586,1.2636133811809014,-2.9893569042815926e-05,8.881784197001252e-16
80,0.7000000000000001,1.3469237157160765,1.3469570973215421,-3.338160546562108e-05,2.220446049250313e-16
80,0.7250000000000001,1.4314944866936246,1.4315315166910014,-3.702999737686952e-05,0.0
80,0.7500000000000001,1.517108159956249,1.5171489778412781,-4.081788502907635e-05,-4.440892098500626e-16
80,0.775,1.6035738840877787,1.6036186054000845,-4.472131230581766e-05,1.3322676295501878e-15
80,0.8,1.6906983654854333,1.6907470788333392,-4.8713347905904314e-05,1.3322676295501878e-15
80,0.8250000000000001,1.7782866894700216,1.7783394537220716,-5.2764252050030436e-05,-1.1102230246251565e-16
80,0.8500000000000001,1.86614318852991,1.8662000302203992,-5.6841690489140007e-05,-1.1102230246251565e-15
80,0.8750000000000001,1.95407235142087,1.954133262418057,-6.091099718696924e-05,-1.3322676295501878e-15
80,0.9,2.041879765907028,2.0419447013938825,-6.49354868547114e-05,-7.771561172376096e-16
