degree,tolerance,t,lambda1,lambda2,energy,integrated_work,work_defect,norm_defect,V1,V2
3,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,1e-09,0.0125,0.00019275951793518153,0.0002891392769027723,0.00048189879405180995,0.00048189879406870004,-1.6890080913739558e-14,-1.3766765505351941e-14,0.999999996235293,0.9999999943529465
3,1e-09,0.025,0.000770963759277099,0.0011564456389156486,0.0019274093478934664,0.0019274093480717439,-1.7827753162613647e-13,-1.3711254354120683e-13,0.9999999397754573,0.9999999096632541
3,1e-09,0.037500000000000006,0.0017343898152840653,0.002601584722926098,0.004335973965528408,0.004335973965769959,-2.415507030506525e-13,-1.9739765377835283e-13,0.9999996952030262,0.9999995428046375
3,1e-09,0.05,0.003082666266872036,0.004623999400308054,0.0077066624515859695,0.0077066624521445245,-5.585549384123922e-13,-9.896528041508645e-13,0.999999037094997,0.9999985556429873
3,1e-09,0.0625,0.004815273327803071,0.007222909991704607,0.012038171063206102,0.012038171060440403,2.765699128048915e-12,-1.5381029783156919e-12,0.9999976504184751,0.9999964756284766
3,1e-09,0.07500000000000001,0.006931543045073707,0.01039731456761056,0.017328821052737906,0.017328821040590137,1.2147768901904499e-11,-1.3379297669757761e-12,0.9999951310977685,0.9999926966473215
3,1e-09,0.08750000000000001,0.009430659556422749,0.014145989334634124,0.02357655681164663,0.023576556791568573,2.0078057272332472e-11,-1.2329026688462363e-12,0.9999909867512559,0.9999864801275107
3,1e-09,0.1,0.01231165940486223,0.018467489107293344,0.030778943628449067,0.030778943615813716,1.2635351098744252e-11,-9.896528041508645e-13,0.9999846375794931,0.999976956369745
3,1e-09,0.1125,0.015573431910108404,0.023360147865162606,0.03893316507456571,0.038933165075202475,-6.367614768798546e-13,-2.483568906086475e-13,0.9999754173745883,0.9999631260620118
3,1e-09,0.125,0.01921471959676957,0.028822079395154354,0.0480360200386539,0.048036020065044066,-2.6390167828793665e-11,-7.062794793455396e-12,0.9999625747281412,0.9999438620957373
3,1e-09,0.1375,0.023234118679127613,0.03485117801869142,0.05808391942832906,0.05808391945022473,-2.1895672774885355e-11,-4.204858683465318e-12,0.9999452743896756,0.9999179115866006
3,1e-09,0.15000000000000002,0.027630079602323443,0.041445119403485164,0.06907288256767949,0.06907288259438966,-2.6710175737854058e-11,-5.331846075762314e-12,0.9999225987851558,0.9998838981805027
3,1e-09,0.1625,0.03240090763974024,0.04860136145961036,0.08099853331078394,0.08099853339721233,-8.642839222083865e-11,-2.011824040693e-11,0.9998935496754913,0.9998403245236747
3,1e-09,0.17500000000000002,0.03754476354635272,0.05631714531952908,0.09385609589507263,0.09385609606504691,-1.6997428464726738e-10,-3.9176328847645436e-11,0.9998570499156784,0.9997855748939889
3,1e-09,0.1875,0.043059664267791176,0.06458949640168676,0.10764039057040406,0.10764039075366733,-1.8326326567397189e-10,-4.784206364405463e-11,0.9998119453798218,0.9997179180956965
3,1e-09,0.2,0.04894348370484647,0.0734152255572697,0.12234582904081003,0.12234582907744734,-3.663731817926674e-11,-4.299205436097964e-11,0.9997570070620123,0.9996355106194172
