kappa,regular_mean,pure_K_branch,kappa_times_K_branch
0.001,0.00024999998958333427,-2000.0070237152227,-2.0000070237152228
0.01,0.0024999895833984383,-200.04722477574572,-2.000472247757457
0.1,0.02498958983941267,-20.246306804975628,-2.024630680497563
0.5,0.12371792827832075,-4.5580754184765855,-2.2790377092382927
1,0.2401937238700899,-2.699483935593772,-2.699483935593772
5,0.7193405813643129,-1.3125960697660568,-6.562980348830284
