d,kappa,degree,lower,upper,width,width_status,sign_status
2,1/64,8,72973424507585781353/37316485197975563211584142,72973424623680839273/37316485197975447116526222,165076512051659065184889792921600/53060511641926725226264141194559157137995759121,target-met,positive
2,0,8,0,0,0,target-met,exact-zero
2,-1/64,8,67701129102048052841/37316378450010282529456782,67701129218143110761/37316378450010166434398862,165076016509872272767837769072640/53060208071345354510522316994708618226654457361,target-met,positive
1,1/64,8,11799939504816721189/14948758284122252681089137,11799939513816721189/14948758284122243681089137,14948770084061757497810326000000000/24829486026345949075059475817786796492580837711641,target-met,positive
1,0,8,0,0,0,target-met,exact-zero
1,-1/64,8,10743901838483947813/14948736902159834164900977,10743901847483947813/14948736902159825164900977,14948747646061672648848790000000000/24829414996666117869278289292585401844352801728281,target-met,positive
0,1/64,8,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,261651827516294822871286625075200/3242994126331995496446649008104830722977965089867,target-met,positive
0,0,8,0,0,0,target-met,exact-zero
0,-1/64,8,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,261651827516294822871286625075200/3242994126331995496446649008104830722977965089867,target-met,positive
